vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0138,16,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,17,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,17,ALIANZA PROGRESISTAS                                                                                
0133,17,ALIANZA COMPROMISO FEDERAL                                                                          
0135,17,ALIANZA CAMBIEMOS                                                                                   
0137,17,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,17,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,18,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,18,ALIANZA PROGRESISTAS                                                                                
0133,18,ALIANZA COMPROMISO FEDERAL                                                                          
0135,18,ALIANZA CAMBIEMOS                                                                                   
0137,18,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,18,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,19,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,19,ALIANZA PROGRESISTAS                                                                                
0133,19,ALIANZA COMPROMISO FEDERAL                                                                          
0135,19,ALIANZA CAMBIEMOS                                                                                   
0137,19,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,19,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,20,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,20,ALIANZA PROGRESISTAS                                                                                
0133,20,ALIANZA COMPROMISO FEDERAL                                                                          
0135,20,ALIANZA CAMBIEMOS                                                                                   
0137,20,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,20,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,21,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,21,ALIANZA PROGRESISTAS                                                                                
0133,21,ALIANZA COMPROMISO FEDERAL                                                                          
0135,21,ALIANZA CAMBIEMOS                                                                                   
0137,21,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,21,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,22,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,22,ALIANZA PROGRESISTAS                                                                                
0133,22,ALIANZA COMPROMISO FEDERAL                                                                          
0135,22,ALIANZA CAMBIEMOS                                                                                   
0137,22,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,22,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,23,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,23,ALIANZA PROGRESISTAS                                                                                
0133,23,ALIANZA COMPROMISO FEDERAL                                                                          
0135,23,ALIANZA CAMBIEMOS                                                                                   
0137,23,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,23,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,24,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,24,ALIANZA PROGRESISTAS                                                                                
0133,24,ALIANZA COMPROMISO FEDERAL                                                                          
0135,24,ALIANZA CAMBIEMOS                                                                                   
0137,24,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,24,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
