vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0501,18,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0502,18,ALIANZA CAMBIEMOS                                                                                   
0518,18,ALIANZA COMPROMISO CON SAN JUAN                                                                     
0526,18,ALIANZA FRENTE PROGRESISTA POPULAR                                                                  
0040,19,MOVIMIENTO LIBRES DEL SUR                                                                           
0057,19,MOVIMIENTO DE ACCION VECINAL                                                                        
0131,19,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0133,19,ALIANZA COMPROMISO FEDERAL                                                                          
0134,19,MST - NUEVA IZQUIERDA                                                                               
0135,19,ALIANZA CAMBIEMOS                                                                                   
0198,19,DE LOS TRABAJADORES SOCIALISTAS                                                                     
0013,20,MOVIMIENTO AL SOCIALISMO                                                                            
0038,20,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0501,20,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0504,20,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0509,20,ALIANZA UNION PARA VIVIR MEJOR                                                                      
0081,21,PARTIDO POPULAR                                                                                     
0131,21,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0133,21,ALIANZA COMPROMISO FEDERAL                                                                          
0134,21,MST - NUEVA IZQUIERDA                                                                               
0135,21,ALIANZA CAMBIEMOS                                                                                   
0136,21,ALIANZA FRENTE POPULAR                                                                              
0137,21,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,21,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0180,21,DEL CAMPO POPULAR                                                                                   
0188,21,UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 
0525,21,ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          
0038,22,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0040,22,MOVIMIENTO LIBRES DEL SUR                                                                           
0061,22,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
0507,22,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            
0522,22,ALIANZA FRENTE CAMBIEMOS                                                                            
0532,22,ALIANZA FRENTE CIVICO Y SOCIAL                                                                      
0038,23,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0060,23,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0136,23,ALIANZA FRENTE POPULAR                                                                              
0137,23,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0177,23,PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       
0501,23,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0522,23,ALIANZA FRENTE CAMBIEMOS                                                                            
0072,24,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0076,24,DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             
0081,24,PARTIDO POPULAR                                                                                     
0154,24,MOVIMIENTO POPULAR FUEGUINO                                                                         
0161,24,OBRERO                                                                                              
0187,24,SOCIAL PATAGONICO                                                                                   
0202,24,FRENTE RENOVADOR AUTENTICO                                                                          
0501,24,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0517,24,ALIANZA CAMBIEMOS TIERRA DEL FUEGO                                                                  
