codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0022,0038,0045,0048,0050,0060,0131,0134,0193,0194,0195,0196
23,Capital                                 ,001,0005 ,0069,335,0,0,10,4,0,2,0,22,47,1,79,29,2,0,2,6
23,Capital                                 ,001,0005 ,0070,335,32,2,9,2,1,2,1,28,38,0,80,41,1,1,0,4
23,Capital                                 ,001,0005 ,0071,335,1,1,17,1,1,0,0,32,30,0,84,0,0,0,0,2
23,Capital                                 ,001,0005 ,0072,335,33,1,19,4,2,3,0,15,36,0,92,35,0,0,2,7
23,Capital                                 ,001,0005 ,0073,335,30,7,15,2,2,3,2,24,39,0,89,38,1,0,1,2
23,Capital                                 ,001,0005 ,0074,334,0,0,14,0,0,0,0,28,33,1,62,35,2,0,0,3
23,Capital                                 ,001,0005 ,0075,334,30,1,19,5,3,4,1,20,34,1,85,34,3,2,0,1
23,Capital                                 ,001,0005 ,1561,330,36,1,7,2,0,3,1,16,34,0,97,42,2,0,0,5
23,Capital                                 ,001,0005 ,1562,330,39,3,7,3,5,1,2,28,26,0,89,32,3,2,1,4
23,Capital                                 ,001,0005 ,1563,330,36,1,11,5,3,2,0,30,37,1,96,33,3,0,1,3
23,Capital                                 ,001,0005 ,1564,330,0,0,15,0,1,0,2,48,24,1,88,49,1,0,1,8
23,Capital                                 ,001,0005 ,1565,330,27,6,10,5,1,7,1,24,33,0,91,31,0,1,0,3
23,Capital                                 ,001,0005 ,1566,330,21,0,11,2,1,4,1,23,39,1,97,38,2,2,1,2
23,Capital                                 ,001,0005 ,1567,330,32,0,8,4,0,2,2,25,28,2,81,53,1,0,0,12
23,Capital                                 ,001,0005 ,1568,330,0,0,17,1,0,2,0,31,23,1,85,35,4,4,0,1
23,Capital                                 ,001,0005 ,1569,330,2,2,8,2,1,0,3,21,25,0,118,37,0,0,1,6
23,Capital                                 ,001,0005 ,1570,330,25,5,10,1,1,2,0,40,23,0,102,26,0,1,3,0
23,Capital                                 ,001,0005 ,1571,330,34,0,16,2,1,2,0,17,33,0,85,39,2,1,6,9
23,Capital                                 ,001,0005 ,1572,330,0,0,14,0,4,0,1,24,21,1,91,38,0,2,1,3
23,Capital                                 ,001,0005 ,1573,330,24,3,15,2,2,5,0,20,37,1,82,37,1,0,1,2
23,Capital                                 ,001,0006 ,0076,319,33,2,13,1,2,3,2,9,33,0,60,64,1,4,1,6
23,Capital                                 ,001,0006 ,0077,319,0,0,16,4,2,0,0,14,30,0,78,46,1,1,3,5
23,Capital                                 ,001,0006 ,0078,319,0,0,15,2,1,0,0,15,32,0,72,50,0,0,2,3
23,Capital                                 ,001,0006 ,0079,318,0,0,14,2,3,0,1,12,41,0,71,43,0,0,3,6
23,Capital                                 ,001,0006 ,0080,318,26,2,10,2,3,0,0,19,35,0,66,61,1,2,0,1
23,Capital                                 ,001,0006 ,0081,318,4,4,19,4,4,1,0,11,34,0,78,47,1,2,2,4
23,Capital                                 ,001,0006 ,0082,318,2,2,14,3,1,1,0,1,40,0,64,57,0,2,2,1
23,Capital                                 ,001,0006 ,0083,318,0,1,14,0,1,2,0,12,31,0,82,60,1,2,0,2
23,Capital                                 ,001,0006 ,1574,303,30,1,8,5,3,1,0,15,24,0,69,46,0,4,2,1
23,Capital                                 ,001,0006 ,1575,303,0,0,6,3,0,2,1,27,25,1,63,50,1,2,3,4
23,Capital                                 ,001,0006 ,1576,303,23,2,10,3,0,2,1,10,34,1,76,62,0,1,1,0
23,Capital                                 ,001,0006 ,1577,303,26,0,11,2,1,2,0,11,38,0,81,41,1,1,0,3
23,Capital                                 ,001,0006 ,1578,303,32,0,13,1,1,3,1,18,27,0,76,39,0,2,1,4
23,Capital                                 ,001,0006 ,1579,303,0,0,14,1,1,4,1,8,32,1,77,47,0,2,5,4
23,Capital                                 ,001,0006 ,1580,302,0,0,12,3,0,1,0,21,31,0,0,0,0,0,1,2
23,Capital                                 ,001,0007 ,0084,337,0,0,15,2,1,1,0,5,23,0,60,1,0,0,0,8
23,Capital                                 ,001,0007 ,0085,337,0,0,12,7,1,4,0,12,33,0,48,88,0,1,2,4
23,Capital                                 ,001,0007 ,0086,337,0,0,12,5,2,1,1,1,32,1,52,77,0,0,0,5
23,Capital                                 ,001,0007 ,0087,337,0,0,0,4,0,0,0,0,35,0,0,86,0,0,1,8
23,Capital                                 ,001,0007 ,0088,336,0,0,14,4,4,0,1,9,38,1,51,99,1,0,1,6
23,Capital                                 ,001,0007 ,0089,336,0,0,4,1,1,2,2,6,37,1,54,86,0,2,0,5
23,Capital                                 ,001,0007 ,0090,336,0,0,4,4,0,0,0,5,24,0,68,83,0,0,0,3
23,Capital                                 ,001,0007 ,0091,336,0,0,7,6,2,5,1,6,22,0,59,95,2,3,0,8
23,Capital                                 ,001,0007 ,1581,334,0,0,12,4,1,4,0,6,0,0,67,0,0,0,1,6
23,Capital                                 ,001,0007 ,1582,334,0,0,8,4,0,3,1,9,23,1,57,71,0,2,5,6
23,Capital                                 ,001,0007 ,1583,334,0,0,15,2,4,2,0,9,16,2,55,102,0,1,0,6
23,Capital                                 ,001,0007 ,1584,334,0,0,6,5,1,2,2,5,0,1,61,82,1,0,0,7
23,Capital                                 ,001,0007 ,1585,334,1,4,10,4,2,3,0,8,37,1,67,66,0,0,0,3
23,Capital                                 ,001,0007 ,1586,333,35,0,3,3,4,2,1,7,22,2,58,92,1,0,0,6
23,Capital                                 ,001,0007 ,1587,333,1,2,3,7,1,3,0,12,27,0,60,78,3,0,0,6
23,Capital                                 ,001,0007A,0092,326,0,0,12,1,0,1,3,4,20,0,49,110,0,3,0,5
23,Capital                                 ,001,0007A,0093,326,27,2,8,3,3,0,0,11,31,1,58,92,2,0,2,6
23,Capital                                 ,001,0007A,0094,326,0,3,9,4,0,0,2,4,24,0,53,98,1,0,0,3
23,Capital                                 ,001,0007A,0095,326,27,1,12,4,1,2,3,8,32,0,51,90,0,1,0,7
23,Capital                                 ,001,0007A,0096,326,0,0,8,3,3,0,0,9,27,0,63,95,0,0,0,2
23,Capital                                 ,001,0007A,0097,326,32,3,14,1,0,2,2,6,37,0,39,101,0,0,1,2
23,Capital                                 ,001,0007A,0098,325,0,0,7,2,0,5,2,4,15,0,54,92,0,0,1,4
23,Capital                                 ,001,0007A,0099,325,4,2,7,6,2,2,2,6,30,1,51,87,0,1,1,1
23,Capital                                 ,001,0007A,0100,325,1,3,10,2,0,0,1,4,22,2,57,97,0,0,1,6
23,Capital                                 ,001,0007A,0101,325,3,2,14,1,2,0,3,3,34,0,46,82,0,0,2,4
23,Capital                                 ,001,0007A,0102,325,25,4,5,3,1,1,1,6,24,0,59,107,1,0,0,3
