codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05088,093816,0,0,14,132,21,51,12,6,2,3,3
22,001,CAPITAL,05088,093817,0,0,16,112,34,49,19,6,1,1,12
22,001,CAPITAL,05088,093818,0,0,20,123,16,59,15,6,0,2,8
22,001,CAPITAL,05088,093819,0,0,23,108,26,59,14,7,1,2,9
22,001,CAPITAL,05088,093820,0,0,17,134,22,49,22,4,0,0,4
22,001,CAPITAL,05088,093821,0,0,15,115,33,74,16,6,1,4,4
22,001,CAPITAL,05088,093822,0,0,1,132,41,41,13,4,0,3,3
22,001,CAPITAL,05088,093823,0,0,21,112,19,63,15,11,0,2,8
22,001,CAPITAL,05088,093824,0,0,24,38,4,31,13,6,130,1,6
22,001,CAPITAL,05088,093825,0,0,46,129,31,49,0,5,0,5,3
22,001,CAPITAL,05088,093826,0,0,21,115,26,60,9,7,0,1,5
22,001,CAPITAL,05088,093827,0,0,31,135,25,45,15,4,0,3,0
22,001,CAPITAL,05088,093828,0,0,2,124,34,56,15,8,0,1,3
22,001,CAPITAL,05088,093829,0,0,12,96,30,68,19,5,0,2,4
22,001,CAPITAL,05088,093830,0,0,17,120,30,61,15,6,0,0,6
22,001,CAPITAL,05088,093831,0,0,1,129,13,62,17,5,0,3,4
22,001,CAPITAL,05088,093832,0,0,25,108,26,66,14,7,1,2,0
22,001,CAPITAL,05088,093833,0,0,10,105,40,63,12,6,1,5,6
22,001,CAPITAL,05088,093834,0,0,27,126,30,62,13,5,0,4,3
22,001,CAPITAL,05088,093835,0,0,30,96,31,57,17,8,0,2,4
22,001,CAPITAL,05088,093836,0,0,18,121,24,66,17,5,1,1,4
22,001,CAPITAL,05088,093837,0,0,36,119,21,49,12,5,1,5,4
22,001,CAPITAL,05088,093838,0,0,26,111,31,54,26,6,4,3,8
22,001,CAPITAL,05088,093839,0,0,24,119,25,53,15,8,1,1,4
22,001,CAPITAL,05088,093840,0,0,25,132,28,45,17,6,0,2,8
22,001,CAPITAL,05088,093841,0,0,22,108,23,60,12,6,1,7,6
22,001,CAPITAL,05088,093842,0,0,19,100,43,67,16,9,2,1,2
22,001,CAPITAL,05088,093843,0,0,33,123,28,52,7,6,0,2,3
22,001,CAPITAL,05088,093844,0,0,28,115,19,69,0,6,21,1,4
22,001,CAPITAL,05089,093845,0,0,14,137,35,50,8,4,0,1,3
22,001,CAPITAL,05089,093846,0,0,20,139,35,37,12,3,0,0,9
22,001,CAPITAL,05089,093847,0,0,30,121,30,33,17,7,1,3,7
22,001,CAPITAL,05089,093848,0,0,14,125,34,48,21,10,4,3,1
22,001,CAPITAL,05089,093849,0,0,24,134,44,37,3,4,1,6,4
22,001,CAPITAL,05089,093850,0,0,29,140,45,35,9,8,0,1,4
22,001,CAPITAL,05089,093851,0,0,21,142,41,32,11,1,0,5,3
22,001,CAPITAL,05089,093852,0,0,21,126,36,52,9,2,0,3,2
22,001,CAPITAL,05089,093853,0,0,23,117,39,51,12,4,0,0,6
22,001,CAPITAL,05089,093854,0,0,0,114,40,44,44,4,0,4,0
22,001,CAPITAL,05089,093855,0,0,60,171,0,0,22,2,1,3,5
22,001,CAPITAL,05089,093856,0,0,20,116,58,30,17,3,2,2,7
22,001,CAPITAL,05089,093857,0,0,25,145,28,45,9,6,0,3,3
22,001,CAPITAL,05089,093858,0,0,16,130,45,32,18,7,1,3,5
22,001,CAPITAL,05089,093859,0,0,4,154,22,58,14,3,0,1,1
22,001,CAPITAL,05089,093860,0,0,18,124,42,53,13,7,0,2,1
22,001,CAPITAL,05089,093861,0,0,8,148,35,32,12,4,0,3,3
22,001,CAPITAL,05089,093862,0,0,16,132,36,52,13,2,1,3,0
22,001,CAPITAL,05089,093863,0,0,15,116,46,51,19,4,0,2,3
22,001,CAPITAL,05089,093864,0,0,77,0,107,43,14,6,1,2,1
22,001,CAPITAL,05089,093865,0,0,0,146,36,35,15,10,0,2,4
22,001,CAPITAL,05089,093866,0,0,17,132,45,30,19,0,1,1,0
22,001,CAPITAL,05089,093867,0,0,13,124,36,59,14,4,1,4,7
22,001,CAPITAL,05090,093868,0,0,12,116,44,47,15,5,0,3,5
22,001,CAPITAL,05090,093869,0,0,38,121,40,48,2,0,0,2,5
22,001,CAPITAL,05090,093870,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05090,093871,0,0,21,115,47,47,25,1,1,2,2
22,001,CAPITAL,05090,093872,0,0,17,149,40,36,14,3,1,6,2
22,001,CAPITAL,05090,093873,0,0,25,121,33,60,13,5,1,2,4
22,001,CAPITAL,05090,093874,0,0,1,134,41,35,15,7,1,2,0
22,001,CAPITAL,05090,093875,0,0,12,147,32,52,14,6,0,2,3
22,001,CAPITAL,05090,093876,0,0,25,135,49,39,11,6,0,5,8
22,001,CAPITAL,05090,093877,0,0,23,120,42,52,13,3,0,2,5
22,001,CAPITAL,05090,093878,0,0,24,103,45,52,20,2,0,2,5
22,001,CAPITAL,05090,093879,0,0,25,124,40,44,12,7,2,0,6
22,001,CAPITAL,05090,093880,0,0,22,123,29,44,19,10,1,2,4
22,001,CAPITAL,05090,093881,0,0,17,152,46,28,12,5,0,1,2
22,001,CAPITAL,05090,093882,0,0,20,141,42,47,22,8,1,2,2
22,001,CAPITAL,05090,093883,0,0,22,121,47,55,8,6,0,3,7
