codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0002 ,0027,367,4,10,1,12,75,3,3,4,10,0,3,6,1,4,1,3,1,1,5,4,7,1,56,18,2
04,Capital,001,0002 ,0028,367,4,6,2,16,82,1,3,2,1,1,1,0,2,10,6,1,2,0,0,5,13,2,59,12,7
04,Capital,001,0002 ,0029,367,4,7,1,10,96,0,2,6,5,4,3,0,0,5,3,1,1,0,0,6,3,1,71,8,10
04,Capital,001,0002 ,0030,367,1,6,0,15,69,1,3,4,5,3,2,4,3,3,4,2,2,2,0,8,6,3,76,10,3
04,Capital,001,0002 ,0031,367,0,9,2,10,79,6,5,1,1,3,3,2,2,3,0,1,2,0,3,3,6,0,66,9,9
04,Capital,001,0002 ,3610,379,0,3,2,19,77,2,2,2,3,5,4,3,0,1,0,0,2,1,0,14,4,4,88,12,6
04,Capital,001,0002 ,3611,379,5,5,2,13,85,3,3,3,5,2,3,1,1,1,0,0,1,0,1,6,9,3,66,15,0
04,Capital,001,0002 ,3612,379,3,3,2,10,77,0,3,3,0,0,2,1,3,1,3,1,1,0,13,3,0,6,58,17,19
04,Capital,001,0002 ,3613,378,7,3,0,18,72,1,6,2,7,0,3,0,1,1,0,1,1,0,4,7,2,4,86,8,2
04,Capital,001,0002 ,3614,378,3,8,2,22,67,0,3,4,6,7,2,3,0,5,1,2,1,1,1,4,5,3,72,6,11
04,Capital,001,0002 ,3615,378,6,1,2,9,59,6,4,6,9,0,0,1,2,2,4,1,3,0,2,4,4,1,78,12,11
04,Capital,001,0002 ,3616,378,4,3,1,8,58,10,5,3,7,0,7,2,0,3,5,0,0,4,0,9,2,2,71,13,10
04,Capital,001,0003 ,0032,379,4,2,2,10,91,1,2,4,2,1,2,0,1,3,1,6,1,1,7,7,6,3,75,14,10
04,Capital,001,0003 ,0033,379,7,3,2,17,92,1,8,5,6,3,3,1,0,2,1,0,2,1,0,3,6,3,64,20,8
04,Capital,001,0003 ,0034,379,3,5,1,5,95,2,3,2,7,3,7,2,0,1,1,2,1,0,0,6,1,3,67,10,12
04,Capital,001,0003 ,0035,379,2,4,2,11,101,1,2,1,1,2,0,1,4,3,5,2,2,1,2,13,10,3,80,11,7
04,Capital,001,0003 ,0036,379,3,4,0,4,95,1,2,5,6,1,1,4,5,2,12,6,2,0,2,9,2,3,76,18,5
04,Capital,001,0003 ,0037,379,3,3,0,3,97,3,1,3,6,3,2,7,3,2,3,1,2,0,0,9,7,3,61,17,6
04,Capital,001,0003 ,0038,379,3,8,0,3,91,3,4,4,1,6,5,0,3,1,5,5,1,3,2,9,5,2,78,18,5
