codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0033,0065,0171,0174,0188,0202,0211,0259,0502,0503,0510,0530,0546,0554,0560,0580
21,Belgrano,001,0404A,0082,351,3,22,1,0,0,0,7,15,2,3,2,96,5,6,6,66,10,2,2
21,Belgrano,001,0404A,0083,351,29,0,0,0,0,1,6,9,4,1,15,104,2,6,2,59,11,0,3
21,Belgrano,001,0404A,0084,351,11,27,1,1,3,2,9,21,2,4,7,98,1,11,6,37,11,3,2
21,Belgrano,001,0404A,0085,351,39,0,1,1,4,0,4,14,4,1,7,127,3,3,6,36,4,4,0
21,Belgrano,001,0404A,0086,351,10,20,0,0,1,0,12,10,1,3,0,113,4,16,4,53,15,2,2
21,Belgrano,001,0404A,0087,352,26,0,0,0,2,0,3,12,5,1,6,104,3,8,5,55,10,6,2
21,Belgrano,001,0404A,0088,351,25,0,1,1,2,0,6,16,6,0,5,109,5,8,2,50,8,3,3
21,Belgrano,001,0404A,0089,351,12,25,0,1,2,2,9,22,8,2,0,95,2,6,4,38,26,4,1
21,Belgrano,001,0404A,0090,350,29,0,0,0,1,2,6,20,9,0,6,115,6,9,2,44,17,2,2
21,Belgrano,001,0404A,0091,351,19,0,0,0,3,0,6,23,2,4,1,127,3,5,2,32,11,1,5
21,Belgrano,001,0404A,0092,351,36,0,2,1,2,0,9,17,2,1,6,111,0,6,7,40,16,5,4
21,Belgrano,001,0404A,0093,351,11,33,0,1,3,0,19,10,3,1,1,81,1,6,4,38,19,0,2
21,Belgrano,001,0404A,0094,231,25,0,1,1,1,1,7,1,2,0,2,62,0,8,3,31,10,2,0
21,Belgrano,001,0404B,0095,350,6,18,3,1,2,0,5,18,4,5,4,69,0,5,1,81,27,0,0
21,Belgrano,001,0404B,0096,350,14,16,0,1,0,2,7,6,5,0,2,70,3,14,3,89,30,5,3
21,Belgrano,001,0404B,0097,350,14,12,0,0,1,2,5,26,2,2,5,78,5,8,1,45,34,4,2
21,Belgrano,001,0404B,0098,220,15,0,0,1,0,3,2,15,2,4,3,65,0,4,0,40,24,1,3
21,Belgrano,001,0405 ,0099,351,12,16,0,0,2,0,4,14,4,3,3,122,2,3,1,19,40,7,5
21,Belgrano,001,0405 ,0100,350,18,20,1,0,5,1,5,9,7,1,4,85,2,8,6,40,58,8,1
21,Belgrano,001,0405 ,0101,351,19,14,0,0,1,1,7,20,6,2,3,98,2,12,0,36,59,4,3
21,Belgrano,001,0405 ,0102,352,25,0,2,0,1,3,14,9,4,3,5,93,2,7,3,35,54,3,3
21,Belgrano,001,0405 ,0103,350,36,0,0,1,5,0,5,12,6,1,4,121,2,3,5,30,49,3,0
21,Belgrano,001,0405 ,0104,351,28,0,2,0,1,1,3,16,3,2,8,128,1,2,2,21,49,4,1
21,Belgrano,001,0405 ,0105,346,20,15,0,1,0,0,6,8,5,1,0,106,1,3,2,33,63,4,6
21,Belgrano,001,0406 ,0106,350,17,20,0,1,1,1,3,16,3,0,4,47,4,5,2,94,42,3,2
21,Belgrano,001,0406 ,0107,351,32,0,0,0,0,0,6,8,3,1,2,62,3,3,4,98,31,8,1
21,Belgrano,001,0406 ,0108,351,8,18,0,0,1,0,9,3,1,0,4,70,3,8,4,93,45,1,2
21,Belgrano,001,0406 ,0109,351,8,12,1,0,3,1,8,17,4,2,2,52,5,5,6,86,65,5,1
21,Belgrano,001,0406 ,0110,351,7,9,1,0,0,1,3,7,2,2,0,57,2,1,2,89,79,7,0
21,Belgrano,001,0406 ,0111,154,7,3,0,0,0,0,1,8,1,2,1,13,1,2,0,55,16,4,1
21,Caseros,002,0364 ,0112,351,6,13,1,0,1,1,6,10,6,6,4,19,5,34,5,50,84,6,3
21,Caseros,002,0364 ,0113,350,12,22,0,1,4,0,3,12,3,4,1,28,1,31,1,47,97,4,1
21,Caseros,002,0364 ,0114,351,9,9,1,1,2,0,4,14,4,1,2,42,2,19,3,44,107,4,0
21,Caseros,002,0364 ,0115,351,7,14,3,1,3,1,6,20,1,2,3,13,1,45,4,35,97,0,3
21,Caseros,002,0364 ,0116,351,2,22,1,0,1,0,4,13,2,3,1,35,4,23,1,31,122,2,0
21,Caseros,002,0364 ,0117,351,6,15,0,0,0,0,4,11,1,1,0,33,3,28,7,32,113,6,2
21,Caseros,002,0364 ,0118,350,23,0,4,0,3,2,4,7,3,4,3,23,3,30,3,49,97,1,2
21,Caseros,002,0364 ,0119,351,6,8,1,0,0,0,6,7,1,4,1,32,2,43,3,47,100,10,1
21,Caseros,002,0364 ,0120,351,6,19,1,0,1,0,7,8,4,2,1,22,5,35,2,42,107,3,1
21,Caseros,002,0364 ,0121,350,23,18,0,0,0,2,4,17,1,1,7,29,3,35,14,44,90,0,0
21,Caseros,002,0364 ,0122,351,9,6,0,2,2,1,9,24,4,3,3,30,3,32,5,47,86,6,0
21,Caseros,002,0364 ,0123,350,21,0,0,0,0,0,3,3,3,5,2,31,5,51,9,46,87,4,2
21,Caseros,002,0364 ,0124,351,16,0,2,0,1,0,4,16,1,3,1,25,1,43,8,32,103,3,1
