codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00007,00055,00056,00008,00005,00009,00001,00002,00003,00057,00004,00006
01,001,Comuna 1,00007,000156,332,12,5,1,0,0,5,31,145,12,2,20,0,14,0
01,001,Comuna 1,00007,000157,337,8,2,1,0,1,1,37,165,9,0,13,0,5,0
01,001,Comuna 1,00007,000158,336,9,2,2,1,0,4,45,148,16,1,13,0,10,0
01,001,Comuna 1,00007,000159,334,12,1,2,0,1,3,40,166,13,1,6,0,6,0
01,001,Comuna 1,00007,000160,338,5,2,0,1,0,8,33,182,11,0,9,0,6,0
01,001,Comuna 1,00007,000161,337,5,2,4,1,0,2,38,166,6,0,5,0,9,0
01,001,Comuna 1,00007,000162,355,5,3,0,0,0,3,46,142,8,2,13,0,11,1
01,001,Comuna 1,00007,000163,335,8,3,3,0,0,5,43,140,20,1,9,0,12,0
01,001,Comuna 1,00007,000164,337,7,5,0,1,0,7,36,156,12,3,9,0,8,0
01,001,Comuna 1,00007,000165,337,3,1,3,0,0,3,43,152,15,1,11,0,5,1
01,001,Comuna 1,00007,000166,335,9,0,2,0,1,4,35,147,16,4,11,0,7,0
01,001,Comuna 1,00007,000167,347,15,2,1,0,0,7,33,168,5,1,10,0,4,0
01,001,Comuna 1,00008,000168,347,4,1,2,1,2,5,61,122,13,1,2,0,13,0
01,001,Comuna 1,00008,000169,350,4,0,4,0,0,4,53,121,16,1,7,0,8,0
01,001,Comuna 1,00008,000170,350,14,0,4,0,0,1,43,130,17,2,6,0,8,0
01,001,Comuna 1,00008,000171,348,6,0,3,1,0,4,54,139,12,2,8,0,5,0
01,001,Comuna 1,00008,000172,347,8,5,1,0,0,6,56,118,12,3,8,0,7,2
01,001,Comuna 1,00008,000173,347,7,2,3,0,1,7,49,135,5,1,6,1,8,0
01,001,Comuna 1,00008,000174,349,8,0,1,1,0,5,46,150,5,0,4,0,10,0
01,001,Comuna 1,00008,000175,349,5,2,0,0,0,11,31,142,18,3,8,0,7,0
01,001,Comuna 1,00008,000176,349,4,3,1,0,0,9,47,119,17,0,4,0,3,0
01,001,Comuna 1,00008,000177,350,10,0,4,0,0,8,43,148,12,2,2,0,11,1
01,001,Comuna 1,00008,000178,349,10,3,1,0,1,7,45,140,12,2,4,0,8,0
01,001,Comuna 1,00008,000179,347,9,1,1,1,0,6,47,121,12,1,8,1,12,1
01,001,Comuna 1,00008,000180,348,6,0,0,0,2,3,36,138,13,2,8,0,7,0
01,001,Comuna 1,00008,000181,349,11,0,3,0,2,9,55,144,8,3,6,0,10,0
01,001,Comuna 1,00008,000182,345,10,1,0,0,1,9,62,113,10,3,13,0,7,0
01,001,Comuna 1,00008,000183,362,9,0,4,0,0,4,39,145,15,2,10,0,9,0
01,001,Comuna 1,00008,000184,348,20,1,4,0,2,0,45,135,13,1,6,1,7,0
01,001,Comuna 1,00008,000185,348,13,2,2,0,0,9,37,144,11,2,6,1,7,0
01,001,Comuna 1,00008,000186,350,13,0,2,1,1,2,47,148,7,3,7,0,3,1
01,001,Comuna 1,00008,000187,348,8,6,2,1,0,6,41,139,9,1,2,0,6,0
01,001,Comuna 1,00008,000188,349,13,1,3,0,0,8,62,115,11,3,1,0,9,0
01,001,Comuna 1,00008,000189,348,5,2,3,0,2,5,45,130,12,1,6,0,4,0
01,001,Comuna 1,00008,000190,347,9,1,0,1,0,2,56,134,16,3,2,0,7,0
01,001,Comuna 1,00008,000191,348,3,1,5,2,0,3,61,123,14,1,3,0,10,0
01,001,Comuna 1,00008,000192,372,13,1,1,0,1,7,60,115,13,0,1,0,12,0
01,001,Comuna 1,00009,000193,347,16,1,1,0,0,4,57,116,22,1,1,0,9,1
01,001,Comuna 1,00009,000194,348,1,3,5,0,1,7,67,112,17,1,0,0,5,0
01,001,Comuna 1,00009,000195,346,9,1,5,1,0,7,51,115,15,1,4,1,7,0
01,001,Comuna 1,00009,000196,345,14,0,0,0,1,5,66,114,9,1,1,0,10,0
