codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0006 ,1326,345,5,8,7,4,20,4,53,38,19,1,1,19,9,33,17
23,Capital                                 ,001,0007 ,0073,386,3,1,3,5,14,6,126,19,10,0,2,29,6,23,28
23,Capital                                 ,001,0007 ,0074,386,2,7,7,4,15,3,107,12,11,0,0,29,4,31,21
23,Capital                                 ,001,0007 ,0075,386,2,4,3,4,13,5,110,19,11,0,1,20,4,21,31
23,Capital                                 ,001,0007 ,0076,385,7,8,6,6,18,1,112,11,13,1,0,23,3,28,23
23,Capital                                 ,001,0007 ,0077,385,2,6,2,2,12,2,115,18,13,0,0,24,5,25,30
23,Capital                                 ,001,0007 ,0078,385,2,3,4,3,14,1,119,23,14,0,2,17,6,29,27
23,Capital                                 ,001,0007 ,0079,385,1,3,4,2,14,1,126,18,20,0,0,24,4,16,26
23,Capital                                 ,001,0007 ,1327,387,6,6,8,5,11,6,103,13,11,0,1,29,3,24,27
23,Capital                                 ,001,0007 ,1328,387,9,7,5,4,14,3,85,19,9,1,0,32,5,33,26
23,Capital                                 ,001,0007 ,1329,387,1,6,4,5,17,1,112,24,15,0,0,26,3,17,20
23,Capital                                 ,001,0007 ,1330,386,9,4,3,1,12,4,93,18,11,0,0,38,6,30,24
23,Capital                                 ,001,0007 ,1331,386,7,9,3,4,10,1,80,27,12,0,1,20,8,29,28
23,Capital                                 ,001,0007 ,1332,386,9,6,5,3,15,4,112,19,11,0,0,27,3,33,20
23,Capital                                 ,001,0007A,0080,394,1,7,1,7,12,3,125,14,19,0,0,17,2,26,31
23,Capital                                 ,001,0007A,0081,394,2,3,2,3,13,2,141,17,15,1,0,18,4,20,39
23,Capital                                 ,001,0007A,0082,394,2,8,3,6,10,4,131,12,23,0,0,21,6,25,26
23,Capital                                 ,001,0007A,0083,394,5,14,3,3,18,3,115,18,7,1,0,19,5,32,32
23,Capital                                 ,001,0007A,0084,394,3,3,3,2,13,1,124,15,19,0,0,18,4,34,29
23,Capital                                 ,001,0007A,0085,394,5,5,0,5,8,3,127,19,12,1,1,20,5,24,27
23,Capital                                 ,001,0007A,0086,393,4,5,2,3,9,3,141,14,12,0,1,28,1,19,24
23,Capital                                 ,001,0007A,0087,393,3,2,1,4,17,1,108,20,25,0,0,19,4,34,30
23,Capital                                 ,001,0007A,0088,393,2,4,2,2,13,1,126,19,12,0,0,18,3,21,39
23,Capital                                 ,001,0007A,1333,381,10,4,6,6,8,1,118,13,9,0,0,26,4,23,22
23,Capital                                 ,001,0007A,1334,381,6,12,2,5,20,6,98,11,9,0,0,21,3,25,22
23,Capital                                 ,001,0007A,1335,381,9,7,11,9,13,4,81,24,16,1,1,29,6,24,24
23,Capital                                 ,001,0007A,1336,381,4,7,4,6,12,2,103,21,15,1,0,30,7,31,27
23,Capital                                 ,001,0007A,1337,381,6,12,2,4,11,2,73,13,13,0,0,39,7,24,25
23,Capital                                 ,001,0007A,1338,381,6,5,4,4,20,8,100,22,9,1,1,27,5,28,29
23,Capital                                 ,001,0007A,1339,381,2,7,3,3,4,3,101,19,10,1,2,22,3,28,16
23,Capital                                 ,001,0007A,1340,380,9,9,3,2,18,1,113,12,7,0,0,37,1,30,17
23,Capital                                 ,001,0008 ,0089,380,2,4,3,2,13,3,114,20,17,0,2,23,8,21,32
23,Capital                                 ,001,0008 ,0090,380,3,3,5,0,13,2,105,22,12,1,1,28,4,21,30
23,Capital                                 ,001,0008 ,0091,379,5,1,3,3,19,0,114,18,13,0,0,24,18,23,26
23,Capital                                 ,001,0008 ,0092,379,3,6,7,5,8,0,116,17,15,1,3,30,5,18,27
23,Capital                                 ,001,0008 ,0093,379,2,6,1,4,11,2,127,17,17,0,0,27,5,24,32
23,Capital                                 ,001,0008 ,0094,379,3,3,2,2,9,2,116,17,18,0,0,34,6,32,24
23,Capital                                 ,001,0008 ,0095,379,1,3,2,1,15,3,135,15,12,0,0,19,3,21,33
23,Capital                                 ,001,0008 ,1341,375,7,5,4,2,16,3,99,12,22,0,1,26,4,25,21
23,Capital                                 ,001,0008 ,1342,375,8,4,2,5,10,2,100,23,18,1,1,24,5,22,22
23,Capital                                 ,001,0008 ,1343,375,7,2,4,8,6,5,102,30,14,0,1,22,6,28,14
