codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00068,00069,00001,00005,00009,00066,00072,00070,00071
06,001,SAN FERNANDO,02206,056955,0,0,38,11,2,3,143,62,1,5,0,4
06,001,SAN FERNANDO,02206,056956,0,0,24,11,0,9,145,62,1,4,0,5
06,001,SAN FERNANDO,02206,056957,0,0,0,8,1,6,120,85,0,5,0,3
06,001,SAN FERNANDO,02206,056958,0,0,15,9,3,9,120,77,0,10,3,5
06,001,SAN FERNANDO,02206,056959,0,0,1,11,1,5,149,60,1,4,0,2
06,001,SAN FERNANDO,02206,056960,0,0,23,14,0,5,112,76,1,10,2,4
06,001,SAN FERNANDO,02206,056961,0,0,0,0,0,6,107,63,2,10,0,4
06,001,SAN FERNANDO,02206,056962,0,0,0,8,2,0,126,73,1,0,0,2
06,001,SAN FERNANDO,02206,056963,0,0,19,13,3,7,139,51,4,3,1,5
06,001,SAN FERNANDO,02206,056964,0,0,24,17,0,9,120,68,0,1,3,8
06,001,SAN FERNANDO,02206,056965,0,0,2,11,0,4,142,63,0,4,0,4
06,001,SAN FERNANDO,02206,056966,0,0,28,9,1,7,138,78,0,2,3,3
06,001,SAN FERNANDO,02206,056967,0,0,23,8,2,14,111,85,1,8,1,7
06,001,SAN FERNANDO,02206,056968,0,0,17,0,2,13,123,72,1,5,0,6
06,001,SAN FERNANDO,02206,056969,0,0,46,9,0,6,144,51,0,7,1,7
06,001,SAN FERNANDO,02206,056970,0,0,0,0,0,0,0,0,0,0,0,0
06,001,SAN FERNANDO,02206,056971,0,0,0,12,1,14,143,54,1,4,1,2
06,001,SAN FERNANDO,02206,056972,0,0,0,7,1,6,124,78,2,7,1,7
06,001,SAN FERNANDO,02206,056973,0,0,19,6,2,8,121,81,0,4,0,6
06,001,SAN FERNANDO,02206,056974,0,0,16,12,1,9,129,70,1,3,0,10
06,001,SAN FERNANDO,02206,056975,0,0,14,6,1,10,147,74,4,5,0,2
06,001,SAN FERNANDO,02206,056976,0,0,18,8,2,6,118,81,4,8,0,6
06,001,SAN FERNANDO,02206,056977,0,0,20,16,3,10,120,62,0,5,0,1
06,001,SAN FERNANDO,02206,056978,0,0,0,40,3,4,49,30,69,0,0,3
06,001,SAN FERNANDO,02206,056979,0,0,2,6,3,7,129,69,1,7,1,6
06,001,SAN FERNANDO,02206,056980,0,0,27,6,4,5,108,78,1,10,1,1
06,001,SAN FERNANDO,02206,056981,0,0,17,10,0,33,0,52,1,0,1,0
06,001,SAN FERNANDO,02206,056982,0,0,0,12,1,7,111,91,1,10,0,3
06,001,SAN FERNANDO,02207,056983,0,0,23,13,1,7,204,39,0,5,2,0
06,001,SAN FERNANDO,02207,056984,0,0,11,9,2,16,197,27,4,4,0,0
06,001,SAN FERNANDO,02207,056985,0,0,16,16,4,13,199,29,1,3,0,3
06,001,SAN FERNANDO,02207,056986,0,0,19,4,0,6,204,26,0,3,1,2
06,001,SAN FERNANDO,02207,056987,0,0,9,12,0,6,184,53,0,4,1,1
06,001,SAN FERNANDO,02207,056988,0,0,23,6,1,9,195,44,1,3,0,2
06,001,SAN FERNANDO,02207,056989,0,0,0,8,3,11,207,35,3,1,2,4
06,001,SAN FERNANDO,02207,056990,0,0,28,11,0,7,196,40,0,1,1,3
06,001,SAN FERNANDO,02207,056991,0,0,16,4,1,9,204,27,1,2,1,4
06,001,SAN FERNANDO,02207,056992,0,0,21,6,0,14,213,27,1,1,0,0
06,001,SAN FERNANDO,02207,056993,0,0,22,72,1,13,184,35,0,1,0,2
06,001,SAN FERNANDO,02207,056994,0,0,16,7,0,4,218,33,1,6,0,1
06,001,SAN FERNANDO,02207,056995,0,0,12,11,1,7,188,41,1,10,1,2
06,001,SAN FERNANDO,02207,056996,0,0,21,9,0,4,207,26,1,0,1,2
06,001,SAN FERNANDO,02207,056997,0,0,22,10,0,15,183,41,1,6,0,1
06,001,SAN FERNANDO,02207,056998,0,0,18,8,0,8,228,30,1,9,0,1
06,001,SAN FERNANDO,02207,056999,0,0,14,5,0,12,215,30,0,1,0,1
06,001,SAN FERNANDO,02207,057000,0,0,10,10,0,8,225,24,0,3,0,0
06,001,SAN FERNANDO,02207,057001,0,0,20,15,1,8,186,37,2,2,0,2
06,001,SAN FERNANDO,02207,057002,0,0,8,5,1,9,229,33,0,6,0,3
06,001,SAN FERNANDO,02207,057003,0,0,5,8,2,9,185,52,2,2,0,1
06,001,SAN FERNANDO,02207,057004,0,0,29,13,0,0,195,40,1,2,1,2
06,001,SAN FERNANDO,02207,057005,0,0,12,8,25,13,213,4,0,0,3,0
06,001,SAN FERNANDO,02207,057006,0,0,8,0,2,8,0,34,0,0,0,0
06,001,SAN FERNANDO,02207,057007,0,0,0,9,0,12,121,39,0,0,1,0
06,001,SAN FERNANDO,02207,057008,0,0,0,0,0,0,0,0,0,0,0,0
06,001,SAN FERNANDO,02207,057009,0,0,13,8,2,11,212,27,1,0,0,2
06,001,SAN FERNANDO,02207,057010,0,0,13,17,0,39,196,6,0,1,0,1
06,001,SAN FERNANDO,02207,057011,0,0,13,8,0,10,201,36,1,3,1,2
06,001,SAN FERNANDO,02207,057012,0,0,15,13,0,7,204,34,0,3,0,1
06,001,SAN FERNANDO,02207,057013,0,0,26,0,2,1,201,39,0,0,0,3
06,001,SAN FERNANDO,02208,057014,0,0,13,10,4,10,98,91,9,4,0,7
06,001,SAN FERNANDO,02208,057015,0,0,14,8,0,12,92,103,3,5,1,3
06,001,SAN FERNANDO,02208,057016,0,0,38,0,4,11,90,102,3,11,0,2
06,001,SAN FERNANDO,02208,057017,0,0,16,10,0,13,110,84,1,5,2,1
06,001,SAN FERNANDO,02208,057018,0,0,33,9,5,0,90,105,7,4,1,1
06,001,SAN FERNANDO,02208,057019,0,0,11,11,0,10,94,107,4,4,1,7
06,001,SAN FERNANDO,02208,057020,0,0,17,15,0,12,85,91,1,3,4,5
06,001,SAN FERNANDO,02208,057021,0,0,1,14,1,8,108,109,2,4,0,4
06,001,SAN FERNANDO,02208,057022,0,0,16,14,1,12,97,102,4,4,3,0
06,001,SAN FERNANDO,02208,057023,0,0,21,8,4,20,98,83,0,4,0,5
06,001,SAN FERNANDO,02208,057024,0,0,31,9,1,7,102,106,3,8,0,2
06,001,SAN FERNANDO,02208,057025,0,0,8,14,0,19,100,91,3,4,0,7
06,001,SAN FERNANDO,02208,057026,0,0,14,13,3,10,106,73,8,7,0,8
06,001,SAN FERNANDO,02208,057027,0,0,2,9,0,10,105,94,3,5,1,1
06,001,SAN FERNANDO,02208,057028,0,0,16,14,2,5,109,73,0,4,1,6
06,001,SAN FERNANDO,02208,057029,0,0,18,11,0,7,101,86,3,5,1,4
06,001,SAN FERNANDO,02208,057030,0,0,27,8,2,0,82,112,3,6,3,1
06,001,SAN FERNANDO,02208,057031,0,0,0,0,0,11,84,103,0,5,0,5
06,001,SAN FERNANDO,02209,057032,0,0,3,17,0,3,136,58,1,8,1,4
06,001,SAN FERNANDO,02209,057033,0,0,20,6,3,12,129,79,1,6,0,3
06,001,SAN FERNANDO,02209,057034,0,0,16,8,3,6,111,84,1,7,4,6
06,001,SAN FERNANDO,02209,057035,0,0,0,17,1,0,118,71,2,8,1,5
06,001,SAN FERNANDO,02209,057036,0,0,32,8,3,5,124,85,1,3,0,5
06,001,SAN FERNANDO,02209,057037,0,0,15,18,2,8,110,82,0,9,2,4
