codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0001G,1039,413,14,0,10,6,7,7,3,23,6,0,0,44,67,70,3
17,Capital                                 ,001,0001G,1040,413,6,3,8,15,6,10,8,18,6,0,2,45,64,58,3
17,Capital                                 ,001,0001G,1041,413,3,4,10,15,0,5,4,16,5,0,1,38,65,76,4
17,Capital                                 ,001,0001G,1042,413,6,5,9,16,18,1,5,17,3,0,2,46,63,57,0
17,Capital                                 ,001,0001G,1043,413,5,8,5,16,6,7,11,19,7,0,3,52,61,60,3
17,Capital                                 ,001,0001G,1044,412,4,7,5,12,2,7,9,16,4,0,0,48,62,63,2
17,Capital                                 ,001,0001G,1045,412,5,11,10,21,9,1,2,21,5,0,1,62,63,64,3
17,Capital                                 ,001,0001G,3044,429,5,8,6,15,3,7,6,31,4,0,0,53,67,80,4
17,Capital                                 ,001,0001G,3045,429,8,11,17,12,7,7,5,18,9,0,3,51,75,77,4
17,Capital                                 ,001,0001G,3046,429,5,10,17,12,9,7,9,21,2,0,4,36,77,90,2
17,Capital                                 ,001,0001G,3047,429,6,7,17,11,4,8,2,17,4,0,0,33,81,91,1
17,Capital                                 ,001,0001G,3048,429,5,8,12,8,8,8,6,18,4,0,2,43,76,85,4
17,Capital                                 ,001,0001G,3049,429,5,6,17,16,4,5,3,23,3,0,1,46,90,60,6
17,Capital                                 ,001,0001G,3050,428,6,8,11,18,8,4,2,26,9,0,3,42,78,76,0
17,Capital                                 ,001,0001G,3051,428,4,7,19,15,4,7,6,27,1,0,3,51,76,81,1
17,Capital                                 ,001,0002A,1046,411,4,9,10,10,1,5,3,15,6,0,2,54,69,62,3
17,Capital                                 ,001,0002A,1047,411,9,4,7,8,1,5,5,19,3,0,5,56,74,60,3
17,Capital                                 ,001,0002A,1048,410,0,0,6,11,9,6,2,27,5,0,1,40,67,63,3
17,Capital                                 ,001,0002A,1049,410,7,4,6,21,3,7,6,13,5,0,2,57,82,40,2
17,Capital                                 ,001,0002A,1050,410,11,5,8,15,3,2,4,15,4,0,4,56,66,74,6
17,Capital                                 ,001,0002A,1051,410,5,0,1,12,3,1,5,22,4,0,3,47,101,52,3
17,Capital                                 ,001,0002A,1052,410,5,3,5,11,3,8,3,18,4,0,2,56,71,61,2
17,Capital                                 ,001,0002A,1053,410,3,3,9,15,5,4,5,16,2,0,2,62,78,65,0
17,Capital                                 ,001,0002A,1054,410,7,5,2,11,2,9,10,13,6,0,2,52,80,59,2
17,Capital                                 ,001,0002A,3052,422,5,9,9,21,3,9,9,27,2,0,0,46,67,65,3
17,Capital                                 ,001,0002A,3053,422,2,7,9,5,3,10,1,21,3,0,2,53,70,74,3
17,Capital                                 ,001,0002A,3054,422,7,8,4,10,1,7,8,25,5,0,3,55,88,52,8
17,Capital                                 ,001,0002A,3055,422,4,3,9,8,3,4,8,29,2,0,1,52,95,68,4
17,Capital                                 ,001,0002A,3056,422,5,6,10,17,7,6,4,20,6,0,2,59,72,70,5
17,Capital                                 ,001,0002A,3057,422,2,1,6,7,5,5,4,30,4,0,5,62,72,66,1
17,Capital                                 ,001,0002A,3058,421,6,5,11,11,6,3,8,17,1,0,3,44,107,71,2
17,Capital                                 ,001,0002A,3059,421,0,9,16,17,4,5,5,31,1,0,2,46,78,69,3
17,Capital                                 ,001,0002A,3060,421,3,6,6,9,3,6,3,25,0,0,4,63,89,74,2
