codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,002,Río Grande,05667,098277,0,0,28,87,16,37,7,5,41
24,002,Río Grande,05667,098278,0,0,30,84,16,22,5,12,62
24,002,Río Grande,05667,098279,0,0,41,61,15,32,6,5,62
24,002,Río Grande,05667,098280,0,0,41,77,20,34,9,5,45
24,002,Río Grande,05667,098281,0,0,31,80,7,40,10,5,64
24,002,Río Grande,05667,098282,0,0,29,66,24,23,12,3,60
24,002,Río Grande,05667,098283,0,0,40,63,18,37,6,6,52
24,002,Río Grande,05667,098284,0,0,28,71,11,30,13,6,57
24,002,Río Grande,05667,098285,0,0,35,67,14,33,8,4,51
24,002,Río Grande,05667,098286,0,0,47,82,24,37,7,1,37
24,002,Río Grande,05667,098287,0,0,33,85,13,35,7,8,41
24,002,Río Grande,05667,098288,0,0,31,91,14,42,5,4,40
24,002,Río Grande,05667,098289,0,0,41,69,20,33,5,4,60
24,002,Río Grande,05667,098290,0,0,31,76,15,36,9,10,43
24,002,Río Grande,05667,098291,0,0,31,75,16,48,10,5,50
24,002,Río Grande,05667,098292,0,0,39,59,20,39,4,6,56
24,002,Río Grande,05667,098293,0,0,33,87,22,29,6,6,42
24,002,Río Grande,05667,098294,0,0,46,60,16,30,11,4,53
24,002,Río Grande,05667,098295,0,0,42,80,16,28,7,9,46
24,002,Río Grande,05667,098296,0,0,35,81,17,32,7,4,55
24,002,Río Grande,05667,098297,0,0,97,72,16,10,21,5,62
24,002,Río Grande,05667,098298,0,0,43,62,10,35,7,4,52
24,002,Río Grande,05667,098299,0,0,23,93,20,33,5,7,60
24,002,Río Grande,05667,098300,0,0,35,90,14,36,10,3,54
24,002,Río Grande,05667,098301,0,0,29,80,13,37,9,5,63
24,002,Río Grande,05667,098302,0,0,40,78,21,35,8,6,44
24,002,Río Grande,05667,098303,0,0,61,79,16,31,10,1,46
24,002,Río Grande,05667,098304,0,0,39,70,16,34,10,12,50
24,002,Río Grande,05667,098305,0,0,35,83,18,44,6,6,56
24,002,Río Grande,05667,098306,0,0,34,64,18,39,6,10,52
24,002,Río Grande,05667,098307,0,0,25,70,11,34,12,1,71
24,002,Río Grande,05667,098308,0,0,23,99,17,40,8,11,49
24,002,Río Grande,05667,098309,0,0,37,58,16,33,11,4,59
24,002,Río Grande,05667,098310,0,0,53,66,12,33,5,6,57
24,002,Río Grande,05667,098311,0,0,47,65,17,44,7,9,56
24,002,Río Grande,05667,098312,0,0,34,83,20,36,7,6,48
24,002,Río Grande,05667,098313,0,0,33,89,14,39,4,5,52
24,002,Río Grande,05667,098314,0,0,31,68,18,25,2,7,64
24,002,Río Grande,05667,098315,0,0,22,64,21,41,2,2,42
24,002,Río Grande,05667,101400,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05667,101401,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05667,101402,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05668,098316,0,0,25,74,14,48,4,5,52
24,002,Río Grande,05668,098317,0,0,35,67,11,45,9,5,55
24,002,Río Grande,05668,098318,0,0,22,84,21,44,10,1,47
24,002,Río Grande,05668,098319,0,0,32,68,14,45,9,5,43
24,002,Río Grande,05668,098320,0,0,46,73,15,35,2,4,52
24,002,Río Grande,05668,098321,0,0,28,79,12,52,6,8,33
24,002,Río Grande,05668,098322,0,0,29,73,17,38,4,3,44
