codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0006,0008,0009,0012,0019,0020,0033,0036,0040,0044,0047,0048,0050,0056,0120,0289,0290,0291,0292,0293,0543,0543,0586,0587
05,Capital,001,0002 ,0023,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,Capital,001,0002 ,0024,450,4,13,4,50,28,6,0,9,3,3,3,3,2,29,6,4,10,3,5,7,23,6,13,26,9,13,9,9,19,19
05,Capital,001,0002 ,0025,302,0,0,1,23,25,1,0,2,20,1,1,0,5,20,3,29,3,2,0,2,5,13,2,5,2,8,5,5,8,8
05,Capital,001,0002 ,0026,302,3,9,7,12,28,8,1,7,3,4,1,1,3,9,2,3,10,3,4,5,5,13,5,4,6,7,4,4,11,11
05,Capital,001,0002 ,0861,450,8,16,0,21,29,5,6,2,0,10,5,5,8,26,16,3,20,4,0,3,15,18,29,13,4,12,8,8,4,4
05,Capital,001,0002 ,0862,450,9,22,5,27,51,7,5,4,3,6,13,4,15,29,4,1,18,1,0,7,17,9,17,4,2,11,1,1,15,15
05,Capital,001,0002 ,0863,450,18,3,1,35,28,5,5,0,0,9,5,0,4,36,5,4,20,3,4,8,7,3,12,8,3,17,0,0,20,20
05,Capital,001,0002 ,0864,450,15,14,9,40,58,1,4,2,4,10,7,4,2,17,8,18,6,2,6,5,4,13,6,3,4,7,9,9,21,21
05,Capital,001,0002 ,0865,450,8,12,18,27,34,0,4,1,20,7,3,1,10,25,9,3,15,3,4,3,14,12,5,6,3,10,6,6,11,11
05,Capital,001,0002 ,0866,450,13,13,3,36,50,2,5,4,5,9,7,4,2,20,5,10,16,1,2,11,2,3,6,7,3,12,5,5,22,22
05,Capital,001,0002 ,0867,450,7,15,4,28,41,2,4,6,5,13,7,7,6,37,8,14,13,6,4,15,10,11,12,2,0,7,3,3,0,0
05,Capital,001,0002 ,0868,450,9,11,1,40,18,2,4,12,9,8,12,0,7,14,6,6,5,8,7,8,16,10,26,11,3,7,8,8,7,7
05,Capital,001,0002 ,0869,450,18,12,5,33,59,3,5,10,1,10,4,4,0,20,5,7,8,8,2,7,7,15,7,5,2,6,7,7,11,11
05,Capital,001,0002 ,0870,450,5,20,8,31,30,3,3,16,14,0,5,1,24,0,10,11,22,2,1,9,12,10,8,14,4,8,9,9,16,16
05,Capital,001,0002 ,0871,393,5,11,2,27,36,1,3,2,1,3,4,3,3,19,6,9,10,4,17,11,6,10,6,6,6,3,1,1,18,18
05,Capital,001,0002 ,0872,394,11,6,4,26,36,3,7,1,4,9,13,2,5,23,11,11,6,1,0,9,6,7,9,10,2,2,1,1,30,30
05,Capital,001,0002A,0027,450,14,13,10,45,48,0,0,15,8,11,4,6,3,26,10,28,7,6,2,27,6,15,9,5,0,4,5,5,21,21
05,Capital,001,0002A,0028,450,4,11,16,41,40,12,0,4,15,4,6,4,7,35,13,7,6,9,3,18,7,9,5,15,0,14,5,5,30,30
05,Capital,001,0002A,0029,450,1,12,6,36,38,13,0,9,3,9,1,4,1,20,22,7,4,2,1,23,3,11,32,2,2,9,3,3,54,54
05,Capital,001,0002A,0030,450,8,10,9,50,35,3,0,3,8,3,5,0,4,30,17,6,10,5,1,18,4,13,22,15,3,18,3,3,28,28
05,Capital,001,0002A,0031,450,7,13,5,41,27,0,0,1,26,11,15,4,7,20,11,11,4,2,2,20,11,17,18,5,3,5,7,7,32,32
05,Capital,001,0002A,0032,450,6,13,4,35,60,8,0,3,0,9,0,8,7,0,11,41,4,5,13,11,5,22,6,7,23,6,3,3,25,25
05,Capital,001,0002A,0033,450,5,5,4,47,31,7,0,1,5,8,2,0,3,28,25,6,14,3,2,14,4,22,3,22,1,22,2,2,41,41
05,Capital,001,0002A,0034,450,6,14,10,38,45,4,0,9,8,6,6,9,4,23,9,8,5,3,3,11,5,19,1,14,0,9,6,6,49,49
05,Capital,001,0002A,0035,450,5,17,4,32,26,14,0,20,0,7,4,0,13,21,33,20,4,5,0,9,11,12,13,13,0,10,1,1,25,25
05,Capital,001,0002A,0036,450,7,19,4,31,45,10,0,0,12,6,2,0,2,26,14,9,18,9,0,18,9,13,8,6,0,10,5,5,36,36
05,Capital,001,0002A,0037,450,5,8,6,40,28,2,0,9,5,9,12,6,5,36,9,20,3,4,0,12,14,22,14,18,0,7,8,8,31,31
05,Capital,001,0002A,0038,450,9,18,8,29,27,9,0,1,4,11,3,4,3,20,10,7,8,7,5,13,13,11,17,19,0,11,6,6,42,42
05,Capital,001,0002A,0039,450,10,11,7,32,40,2,0,5,1,12,1,1,2,33,14,26,3,6,5,7,4,10,4,4,1,30,5,5,30,30
05,Capital,001,0002A,0040,450,11,15,1,34,25,9,0,4,2,15,3,10,18,31,10,1,20,8,1,12,5,28,15,19,6,12,4,4,32,32
05,Capital,001,0002A,0041,450,6,16,6,18,56,4,1,11,0,7,4,7,8,24,11,9,12,8,0,23,9,23,6,13,3,7,8,8,26,26
05,Capital,001,0002A,0042,450,10,14,4,40,28,8,0,7,11,8,12,8,9,34,10,2,4,1,1,14,9,6,11,7,0,8,15,15,56,56
05,Capital,001,0002A,0043,418,7,16,16,24,29,9,0,6,3,9,5,2,9,24,10,13,35,9,3,5,4,9,10,18,2,4,3,3,17,17
05,Capital,001,0002A,0873,450,11,15,4,24,36,8,3,5,3,20,0,2,0,20,10,17,15,8,0,8,11,3,6,8,0,11,12,12,28,28
05,Capital,001,0002A,0874,450,0,0,7,32,30,7,7,0,9,8,0,4,2,27,15,8,6,3,1,19,24,7,7,3,8,8,78,78,114,114
05,Capital,001,0002A,0875,450,7,16,7,34,25,6,4,14,13,3,0,5,4,25,14,5,14,3,2,12,6,7,3,3,0,6,3,3,50,50
05,Capital,001,0002A,0876,450,10,17,7,42,43,6,4,10,4,7,0,10,7,29,7,16,9,11,6,6,6,6,9,2,6,6,13,13,24,24
05,Capital,001,0002A,0877,450,9,15,3,30,28,9,5,5,1,9,0,7,3,16,12,3,35,1,2,9,15,4,8,6,1,22,5,5,32,32
05,Capital,001,0002A,0878,450,12,19,3,35,29,1,0,4,8,13,0,2,9,21,8,15,5,5,6,18,1,16,6,21,1,7,4,4,16,16
05,Capital,001,0002A,0879,450,7,19,12,35,20,2,0,4,3,15,0,4,1,15,16,18,8,5,3,17,9,6,11,8,4,11,7,7,29,29
05,Capital,001,0002A,0880,450,4,17,4,35,23,1,4,10,0,14,0,11,6,31,5,14,19,2,4,11,5,7,2,12,8,13,7,7,12,12
05,Capital,001,0002A,0881,450,18,13,4,27,22,7,4,4,3,9,3,3,4,22,13,6,14,2,3,27,10,10,4,8,2,5,10,10,37,37
05,Capital,001,0002A,0882,450,16,11,1,32,25,0,2,4,11,11,0,2,1,25,13,4,9,5,3,7,10,10,5,10,7,15,12,12,30,30
05,Capital,001,0002A,0883,450,6,12,4,20,23,1,6,3,3,10,0,0,6,26,9,1,8,5,3,8,6,16,9,10,5,16,15,15,30,30
05,Capital,001,0002A,0884,450,12,18,8,33,12,9,6,5,8,12,0,0,6,29,13,9,18,2,8,27,2,8,9,5,5,7,3,3,31,31
05,Capital,001,0002A,0885,450,13,9,11,23,35,2,4,1,1,4,0,5,8,32,10,11,10,3,1,20,19,15,9,11,6,6,5,5,17,17
05,Capital,001,0002A,0886,450,5,14,23,19,24,12,2,5,6,12,0,6,4,12,4,0,16,11,7,32,1,18,20,3,7,9,5,5,13,13
05,Capital,001,0002A,0887,322,9,7,3,19,20,2,4,7,5,9,0,4,2,28,10,17,9,6,3,10,2,9,1,7,4,7,8,8,6,6
05,Capital,001,0002A,0888,322,8,8,5,24,11,1,3,2,1,8,0,2,0,24,5,3,4,3,3,12,5,2,12,5,2,15,9,9,24,24
05,Capital,001,0003 ,0044,450,8,12,3,26,43,4,0,14,6,2,0,0,2,27,8,22,36,4,1,6,4,28,8,15,3,1,4,4,10,10
05,Capital,001,0003 ,0045,450,3,9,8,18,46,1,0,8,2,6,15,5,3,27,4,10,7,4,3,5,6,28,26,8,2,3,4,4,23,23
05,Capital,001,0003 ,0046,450,10,12,2,16,51,4,1,10,10,5,20,3,4,25,7,13,20,1,3,2,4,19,10,3,7,4,2,2,16,16
