codprov,coddepto,depto,circuito,mesa,electores,blancos,00036,00050,00037,00047
19,001,Pueyrredon,1008E,000208,338,20,8,153,89,18
19,001,Pueyrredon,1008E,000209,340,16,10,132,100,22
19,001,Pueyrredon,1008E,000210,341,22,13,115,118,17
19,001,Pueyrredon,1008E,000211,336,8,9,129,112,23
19,001,Pueyrredon,1008E,000212,340,25,11,124,110,18
19,001,Pueyrredon,1008E,000213,338,21,9,105,116,17
19,001,Pueyrredon,1008E,000214,339,23,8,140,96,20
19,001,Pueyrredon,1008E,000215,335,19,8,129,99,18
19,001,Pueyrredon,1008E,000216,336,34,13,106,115,22
19,001,Pueyrredon,1008E,000217,339,20,12,130,104,18
19,001,Pueyrredon,1008E,000218,339,20,5,151,89,22
19,001,Pueyrredon,1008E,000219,340,15,6,140,98,18
19,001,Pueyrredon,1008E,000220,348,26,11,128,96,18
19,001,Pueyrredon,01009,000221,337,31,9,148,62,20
19,001,Pueyrredon,01009,000222,339,21,8,157,85,14
19,001,Pueyrredon,01009,000223,335,21,16,145,69,18
19,001,Pueyrredon,01009,000224,339,24,5,139,82,15
19,001,Pueyrredon,01009,000225,334,23,9,148,71,14
19,001,Pueyrredon,01009,000226,340,24,8,146,77,18
19,001,Pueyrredon,01009,000227,338,24,12,147,78,21
19,001,Pueyrredon,01009,000228,335,29,13,161,70,13
19,001,Pueyrredon,01009,000229,333,17,11,148,76,12
19,001,Pueyrredon,01009,000230,348,18,4,172,82,21
19,001,Pueyrredon,01009,000231,343,24,12,157,71,17
19,001,Pueyrredon,01010,000232,332,26,10,102,103,20
19,001,Pueyrredon,01010,000233,331,23,5,126,98,13
19,001,Pueyrredon,01010,000234,335,21,6,124,105,22
19,001,Pueyrredon,01010,000235,334,32,5,117,91,20
19,001,Pueyrredon,01010,000236,333,26,9,103,107,19
19,001,Pueyrredon,01010,000237,330,24,6,110,94,16
19,001,Pueyrredon,01010,000238,333,17,7,105,110,19
19,001,Pueyrredon,01010,000239,330,17,17,101,96,17
19,001,Pueyrredon,01010,000240,336,27,8,93,114,23
19,001,Pueyrredon,01010,000241,339,18,9,120,104,24
19,001,Pueyrredon,01011,000242,318,33,12,113,71,6
19,001,Pueyrredon,01011,000243,313,28,8,113,74,19
19,001,Pueyrredon,01011,000244,316,18,13,111,71,14
19,001,Pueyrredon,01011,000245,313,24,6,124,67,14
19,001,Pueyrredon,01011,000246,313,32,6,105,73,13
19,001,Pueyrredon,01011,000247,316,26,11,104,83,13
19,001,Pueyrredon,01011,000248,316,20,7,104,79,18
19,001,Pueyrredon,01011,000249,312,29,9,100,78,16
19,001,Pueyrredon,01011,000250,327,23,9,112,75,27
19,001,Pueyrredon,01011,000251,319,22,9,95,99,14
19,001,Pueyrredon,01012,000252,342,19,7,146,70,17
19,001,Pueyrredon,01012,000253,340,29,7,142,63,15
19,001,Pueyrredon,01012,000254,341,17,2,146,80,10
19,001,Pueyrredon,01012,000255,348,21,12,127,79,17
19,001,Pueyrredon,01012,000256,339,14,8,129,81,15
19,001,Pueyrredon,01012,000257,341,17,13,145,71,11
19,001,Pueyrredon,01012,000258,345,20,10,137,69,14
19,001,Pueyrredon,01012,000259,347,15,10,151,76,14
19,001,Pueyrredon,01012,000260,352,27,10,138,82,16
19,001,Pueyrredon,01013,000261,336,13,13,144,61,17
19,001,Pueyrredon,01013,000262,336,28,14,137,67,10
19,001,Pueyrredon,01013,000263,335,28,11,153,70,3
19,001,Pueyrredon,01013,000264,336,24,8,164,53,10
19,001,Pueyrredon,01013,000265,336,14,10,146,68,18
19,001,Pueyrredon,01013,000266,334,18,18,145,62,9
19,001,Pueyrredon,01013,000267,336,14,7,156,62,14
19,001,Pueyrredon,01013,000268,335,26,10,156,50,19
19,001,Pueyrredon,01013,000269,336,22,6,153,66,13
19,001,Pueyrredon,01013,000270,331,19,13,140,54,12
19,001,Pueyrredon,01013,000271,335,24,5,151,71,13
19,001,Pueyrredon,01013,000272,334,19,11,137,68,11
19,001,Pueyrredon,01013,000273,344,16,5,151,69,17
19,001,Pueyrredon,01013,000274,342,22,11,135,81,12
19,001,Pueyrredon,01014,000275,331,21,8,154,64,13
19,001,Pueyrredon,01014,000276,338,21,10,155,71,11
19,001,Pueyrredon,01014,000277,334,22,6,140,64,16
19,001,Pueyrredon,01014,000278,362,21,4,164,74,16
19,001,Pueyrredon,01014,000279,334,18,6,150,78,16
19,001,Pueyrredon,01014,000280,338,19,3,162,67,12
19,001,Pueyrredon,01014,000281,335,21,7,144,84,12
19,001,Pueyrredon,01014,000282,347,17,6,149,76,15
19,001,Pueyrredon,01014,000283,358,18,3,166,97,11
19,001,Pueyrredon,01015,000284,346,20,9,62,161,18
19,001,Pueyrredon,01015,000285,345,40,6,76,144,17
19,001,Pueyrredon,01015,000286,346,34,4,81,148,10
19,001,Pueyrredon,01015,000287,341,32,11,78,148,12
19,001,Pueyrredon,01015,000288,351,30,13,78,142,8
19,001,Pueyrredon,01016,000289,321,15,4,121,84,13
19,001,Pueyrredon,01016,000290,318,27,10,127,68,10
19,001,Pueyrredon,01016,000291,318,24,5,109,100,14
19,001,Pueyrredon,01016,000292,320,29,3,97,82,15
19,001,Pueyrredon,01016,000293,322,24,12,122,81,14
19,001,Pueyrredon,01016,000294,322,17,6,121,73,13
19,001,Pueyrredon,01016,000295,319,18,10,119,81,11
19,001,Pueyrredon,01016,000296,324,29,6,121,75,15
19,001,Pueyrredon,01017,000297,346,20,5,141,83,13
19,001,Pueyrredon,01017,000298,348,17,7,170,62,14
19,001,Pueyrredon,01017,000299,346,20,12,153,69,13
19,001,Pueyrredon,01017,000300,346,26,8,145,76,17
19,001,Pueyrredon,01017,000301,346,23,10,149,69,15
19,001,Pueyrredon,01017,000302,343,21,2,150,59,16
19,001,Pueyrredon,01017,000303,350,32,11,144,62,18
19,001,Pueyrredon,01017,000304,342,14,13,138,71,14
19,001,Pueyrredon,01017,000305,345,35,13,127,74,17
19,001,Pueyrredon,01017,000306,346,22,9,153,67,17
19,001,Pueyrredon,01017,000307,347,23,4,138,63,23
19,001,Pueyrredon,01017,000308,351,32,6,151,66,16
19,001,Pueyrredon,01017,000309,350,19,7,121,91,9
19,001,Pueyrredon,01017,000310,348,28,11,143,64,19
19,001,Pueyrredon,01017,000311,360,20,8,153,71,13
19,001,Pueyrredon,01017,000312,353,19,6,130,76,21
19,001,Pueyrredon,01018,000313,346,22,9,123,87,13
19,001,Pueyrredon,01018,000314,346,17,17,135,76,12
19,001,Pueyrredon,01018,000315,345,16,8,129,83,17
19,001,Pueyrredon,01018,000316,347,25,13,149,68,9
19,001,Pueyrredon,01018,000317,347,11,10,136,85,17
19,001,Pueyrredon,01018,000318,342,20,14,124,76,19
19,001,Pueyrredon,01018,000319,348,23,14,112,88,20
19,001,Pueyrredon,01018,000320,343,29,5,133,89,14
19,001,Pueyrredon,01018,000321,344,24,7,132,81,16
19,001,Pueyrredon,01018,000322,347,26,9,139,68,24
19,001,Pueyrredon,01018,000323,348,28,6,125,78,16
19,001,Pueyrredon,01018,000324,346,12,5,122,93,14
19,001,Pueyrredon,01018,000325,344,20,12,135,77,11
19,001,Pueyrredon,01018,000326,345,38,11,118,84,19
19,001,Pueyrredon,01018,000327,343,13,13,133,77,14
19,001,Pueyrredon,01018,000328,355,22,11,135,66,19
