codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00101,00050,00036,00074
17,001,Capital,0002F,001191,334,27,0,57,38,112,8,3
17,001,Capital,0002F,001192,329,18,0,59,39,122,17,5
17,001,Capital,0002F,001193,332,12,1,54,24,147,6,10
17,001,Capital,0002F,001194,333,12,5,57,32,123,16,10
17,001,Capital,0002F,001195,333,19,1,60,30,129,12,13
17,001,Capital,0002F,001196,334,14,3,70,26,115,8,14
17,001,Capital,0002F,001197,335,18,0,55,27,125,6,6
17,001,Capital,0002F,001198,334,11,0,65,23,122,14,9
17,001,Capital,0002F,001199,333,28,3,53,18,124,12,9
17,001,Capital,0002F,001200,333,17,0,53,29,119,13,8
17,001,Capital,0002F,001201,334,27,3,59,28,112,14,9
17,001,Capital,0002F,001202,333,32,0,53,31,115,11,7
17,001,Capital,0002F,001203,334,17,1,45,39,129,17,3
17,001,Capital,0002F,001204,333,15,0,62,29,109,13,9
17,001,Capital,0002F,001205,336,17,0,69,33,112,11,11
17,001,Capital,0002G,001206,343,28,0,81,26,106,18,7
17,001,Capital,0002G,001207,345,17,0,64,36,114,6,11
17,001,Capital,0002G,001208,345,23,2,86,33,110,16,5
17,001,Capital,0002G,001209,344,22,0,73,34,118,15,12
17,001,Capital,0002G,001210,345,41,1,63,37,116,5,7
17,001,Capital,0002G,001211,343,27,0,87,24,121,7,11
17,001,Capital,0002G,001212,345,25,0,82,31,104,11,13
17,001,Capital,0002G,001213,344,25,0,88,24,116,14,9
17,001,Capital,0002G,001214,344,24,1,82,48,100,11,7
17,001,Capital,0002G,001215,345,27,1,77,31,106,16,9
17,001,Capital,0002G,001216,344,23,5,68,27,127,13,6
17,001,Capital,0002G,001217,342,17,0,79,29,119,19,10
17,001,Capital,0002G,001218,345,18,3,77,26,115,17,11
17,001,Capital,0002G,001219,342,21,4,73,39,101,22,3
17,001,Capital,0002G,001220,345,19,0,74,36,115,9,11
17,001,Capital,0002G,001221,345,28,4,80,27,116,8,8
17,001,Capital,0002G,001222,343,17,4,65,29,120,21,11
17,001,Capital,0002G,001223,343,33,0,60,31,116,10,8
17,001,Capital,0002G,001224,342,23,0,57,36,122,12,16
17,001,Capital,0002G,001225,344,31,1,70,22,95,18,13
17,001,Capital,0002G,001226,344,24,5,62,26,127,9,7
17,001,Capital,0002G,001227,344,25,2,89,38,81,13,16
17,001,Capital,0002G,001228,343,9,4,67,35,127,10,8
17,001,Capital,0002G,001229,343,21,0,78,24,109,19,4
17,001,Capital,0002G,001230,343,14,1,66,31,121,11,11
17,001,Capital,0002G,001231,345,11,0,59,32,131,12,9
17,001,Capital,0002G,001232,341,29,0,78,25,104,13,13
17,001,Capital,0002G,001233,347,28,0,67,40,115,16,7
17,001,Capital,0002H,001234,304,8,0,52,24,122,12,5
17,001,Capital,0002H,001235,304,20,3,43,21,102,6,11
17,001,Capital,0002H,001236,304,17,0,61,19,104,4,9
17,001,Capital,0002H,001237,303,22,2,60,26,126,3,4
17,001,Capital,0002H,001238,304,17,0,45,18,131,12,3
17,001,Capital,0002H,001239,305,8,3,42,26,135,10,5
17,001,Capital,0002H,001240,306,15,3,51,23,113,10,6
17,001,Capital,0002I,001241,342,22,4,101,46,91,10,3
17,001,Capital,0002I,001242,346,25,0,91,35,87,10,6
17,001,Capital,0002I,001243,341,27,3,93,44,105,11,7
17,001,Capital,0002I,001244,344,31,1,93,38,94,7,5
17,001,Capital,0002I,001245,343,29,0,98,34,85,11,12
17,001,Capital,0002I,001246,343,20,1,97,43,92,12,9
17,001,Capital,0002I,001247,345,19,3,98,43,87,12,6
17,001,Capital,0002I,001248,342,30,0,89,46,94,14,12
17,001,Capital,0002I,001249,341,24,0,80,29,110,12,12
17,001,Capital,0002I,001250,344,31,4,94,29,96,13,12
17,001,Capital,0002I,001251,341,23,1,101,34,94,15,8
17,001,Capital,0002I,001252,344,24,8,89,59,74,11,12
17,001,Capital,0002I,001253,341,31,7,88,29,103,13,12
17,001,Capital,0002I,001254,343,32,2,79,47,89,16,11
17,001,Capital,0002I,001255,344,31,2,82,37,99,7,10
17,001,Capital,0002I,001256,344,34,2,89,32,106,12,7
17,001,Capital,0002I,001257,343,23,1,101,31,87,10,5
17,001,Capital,0002I,001258,342,31,7,91,38,94,9,14
17,001,Capital,0002I,001259,343,15,6,87,39,99,14,10
17,001,Capital,0002I,001260,341,25,1,85,43,89,11,6
17,001,Capital,0002I,001261,341,23,0,74,34,112,10,7
17,001,Capital,0002I,001262,342,24,4,83,40,85,9,10
17,001,Capital,0002I,001263,344,33,2,89,37,83,10,15
17,001,Capital,0002I,001264,344,27,5,89,36,87,18,6
17,001,Capital,0002I,001265,342,27,1,85,46,79,10,8
17,001,Capital,0002I,001266,347,18,0,90,48,92,11,8
17,001,Capital,0002J,001267,344,19,2,88,43,115,15,10
17,001,Capital,0002J,001268,343,30,0,96,34,112,6,4
17,001,Capital,0002J,001269,344,18,3,91,40,105,13,6
17,001,Capital,0002J,001270,342,22,4,111,37,92,6,9
17,001,Capital,0002J,001271,344,30,0,96,41,96,10,16
17,001,Capital,0002J,001272,343,28,3,104,42,94,8,8
17,001,Capital,0002J,001273,343,40,2,84,37,101,4,7
17,001,Capital,0002J,001274,346,24,2,112,41,96,6,8
17,001,Capital,0002J,001275,342,30,3,99,36,78,18,12
17,001,Capital,0002J,001276,343,27,0,99,32,84,9,10
17,001,Capital,0002J,001277,343,20,1,89,37,92,18,12
17,001,Capital,0002J,001278,343,20,0,115,40,76,13,6
17,001,Capital,0002J,001279,346,29,0,105,39,86,15,10
17,001,Capital,0002J,001280,343,23,2,121,35,65,10,5
17,001,Capital,0002J,001281,343,27,0,104,27,93,10,7
17,001,Capital,0002J,001282,343,29,3,97,39,79,10,9
17,001,Capital,0002J,001283,339,24,4,79,31,108,12,10
17,001,Capital,0002J,001284,343,18,0,86,48,98,15,8
17,001,Capital,0002J,001285,343,29,1,98,32,87,20,7
17,001,Capital,0002J,001286,341,31,1,105,44,74,10,11
17,001,Capital,0002J,001287,346,20,4,102,34,91,10,11
17,001,Capital,0002J,001288,344,25,0,88,31,108,10,12
17,001,Capital,0002J,001289,339,28,4,96,42,66,13,10
17,001,Capital,0002J,001290,339,22,1,85,30,111,10,4
17,001,Capital,0002J,001291,341,24,2,78,35,111,7,11
17,001,Capital,0002J,001292,344,24,0,85,40,91,14,12
17,001,Capital,0002K,001293,343,22,2,86,24,100,17,9
17,001,Capital,0002K,001294,344,13,1,80,39,136,9,9
17,001,Capital,0002K,001295,344,20,1,89,35,101,12,9
17,001,Capital,0002K,001296,345,28,0,94,44,85,14,7
17,001,Capital,0002K,001297,342,22,0,98,41,90,12,13
17,001,Capital,0002K,001298,345,24,0,101,34,103,5,15
17,001,Capital,0002K,001299,342,18,4,78,35,89,15,16
17,001,Capital,0002K,001300,343,20,4,84,32,112,9,11
17,001,Capital,0002K,001301,342,17,7,98,36,94,15,11
17,001,Capital,0002K,001302,343,24,4,80,36,115,6,14
17,001,Capital,0002K,001303,343,22,1,82,39,113,9,12
17,001,Capital,0002K,001304,347,32,0,76,41,110,6,7
17,001,Capital,0002K,001305,344,17,2,68,40,113,17,7
17,001,Capital,0002K,001306,341,19,5,63,43,97,6,14
17,001,Capital,0002K,001307,344,22,0,79,35,110,7,15
17,001,Capital,0002K,001308,341,34,2,89,26,81,18,18
17,001,Capital,0002K,001309,345,9,1,73,55,94,14,8
17,001,Capital,0002L,001310,330,12,2,112,39,98,9,5
17,001,Capital,0002L,001311,332,19,4,76,28,103,12,5
17,001,Capital,0002L,001312,330,18,2,115,37,75,4,8
17,001,Capital,0002L,001313,331,31,4,92,24,81,9,7
17,001,Capital,0002L,001314,333,21,1,91,32,96,7,8
17,001,Capital,0002L,001315,331,32,1,94,28,84,6,7
17,001,Capital,0002L,001316,330,15,2,86,33,113,6,7
17,001,Capital,0002L,001317,329,21,0,88,26,84,15,10
17,001,Capital,0002L,001318,335,19,1,87,41,101,3,9
17,001,Capital,0002L,001319,330,10,1,107,24,96,6,12
17,001,Capital,0002L,001320,331,18,0,82,26,103,13,10
17,001,Capital,0002L,001321,331,26,1,83,28,95,12,9
17,001,Capital,0002L,001322,332,23,3,80,32,98,11,6
17,001,Capital,0002L,001323,331,12,2,99,36,103,8,9
17,001,Capital,0002L,001324,335,17,0,82,39,88,9,14
17,001,Capital,0002M,001325,345,19,9,85,46,95,9,6
17,001,Capital,0002M,001326,344,30,0,102,35,98,9,3
17,001,Capital,0002M,001327,346,25,2,75,43,102,17,9
17,001,Capital,0002M,001328,347,40,4,91,35,97,8,8
17,001,Capital,0002M,001329,346,25,5,85,31,103,6,10
17,001,Capital,0002M,001330,346,2,0,105,46,94,12,6
17,001,Capital,0002M,001331,345,25,0,79,36,118,9,11
17,001,Capital,0002M,001332,344,36,0,91,40,88,11,10
17,001,Capital,0002M,001333,348,35,3,87,40,97,13,4
17,001,Capital,0002M,001334,346,20,0,88,33,115,7,7
17,001,Capital,0002M,001335,347,15,1,100,41,100,9,9
17,001,Capital,0002M,001336,345,29,0,97,41,81,13,8
17,001,Capital,0002M,001337,348,25,4,88,39,91,19,10
