codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0005,0012,0014,0017,0038,0050,0056,0057,0060,0175,0187,0209,0210,0211,0212,0213,0442
22,Capital                                 ,001,0004 ,0075,450,33,2,8,6,0,1,0,11,16,4,0,1,2,18,152,2,13,19,26,2
22,Capital                                 ,001,0004 ,0076,450,0,0,5,8,0,2,0,7,12,4,2,0,9,18,182,2,16,24,25,1
22,Capital                                 ,001,0004 ,0077,450,0,0,5,5,1,0,0,10,17,1,0,0,10,18,151,0,14,15,34,5
22,Capital                                 ,001,0004 ,0078,450,0,3,8,16,0,2,0,11,0,0,0,0,5,10,177,3,14,22,33,1
22,Capital                                 ,001,0004 ,0079,253,0,0,3,5,0,0,0,5,5,1,0,0,7,4,100,1,9,16,19,3
22,Capital                                 ,001,0005 ,0071,450,6,0,9,36,0,0,0,3,17,2,2,2,0,18,71,19,8,21,9,12
22,Capital                                 ,001,0005 ,0072,450,37,2,8,30,1,1,0,4,27,0,4,1,1,9,86,21,4,23,7,5
22,Capital                                 ,001,0005 ,0073,450,1,4,19,30,1,4,0,1,26,1,4,0,4,11,75,26,3,17,4,5
22,Capital                                 ,001,0005 ,0074,450,31,5,12,29,2,3,0,6,24,1,4,0,3,13,79,25,3,30,5,9
22,Capital                                 ,001,0005 ,0075,269,28,0,6,15,0,0,0,3,8,0,3,0,0,7,45,17,4,18,9,8
22,Capital                                 ,001,0005 ,0080,450,50,8,11,33,0,2,0,3,0,1,4,0,4,13,91,21,5,17,9,4
22,Capital                                 ,001,0005 ,0081,450,2,3,9,37,1,0,0,1,31,3,0,0,8,11,88,19,2,18,6,5
22,Capital                                 ,001,0005 ,0082,450,0,3,17,32,1,0,0,3,23,4,2,1,11,8,81,14,7,15,15,1
22,Capital                                 ,001,0005 ,0083,450,3,0,25,31,3,1,0,5,33,4,0,0,4,11,77,16,3,15,7,6
22,Capital                                 ,001,0005 ,0084,450,1,1,15,32,0,1,0,1,39,3,4,0,5,12,77,14,6,13,7,10
22,Capital                                 ,001,0005 ,0085,386,16,0,16,27,2,1,0,1,27,2,2,0,2,15,76,13,2,16,0,3
22,Capital                                 ,001,0006 ,0076,450,39,2,13,18,0,1,0,3,19,1,0,1,9,12,98,24,8,10,22,2
22,Capital                                 ,001,0006 ,0077,450,0,0,13,21,0,1,0,5,26,3,3,0,3,12,121,14,6,14,9,1
22,Capital                                 ,001,0006 ,0078,450,4,5,8,9,1,2,0,2,13,4,1,0,4,18,110,5,9,37,17,4
22,Capital                                 ,001,0006 ,0079,450,7,2,9,25,0,4,0,3,0,2,0,0,30,20,124,5,5,16,17,5
22,Capital                                 ,001,0006 ,0080,450,29,1,10,19,0,0,0,4,12,4,2,0,7,16,93,5,3,20,27,2
22,Capital                                 ,001,0006 ,0081,450,33,2,11,12,2,0,0,7,9,2,0,3,12,15,134,10,9,19,15,2
22,Capital                                 ,001,0006 ,0082,450,26,5,10,23,0,0,0,4,14,0,0,0,4,14,106,20,7,21,8,3
22,Capital                                 ,001,0006 ,0083,450,3,2,10,19,1,2,0,0,20,2,1,2,9,5,114,7,7,15,13,5
22,Capital                                 ,001,0006 ,0084,450,44,3,10,19,0,4,0,2,12,0,3,1,2,16,127,11,6,7,16,6
22,Capital                                 ,001,0006 ,0085,450,0,0,12,19,1,3,0,5,11,2,6,0,17,15,95,9,6,17,20,5
22,Capital                                 ,001,0006 ,0086,900,5,2,28,40,4,2,0,12,40,0,2,2,8,36,284,22,18,36,48,12
22,Capital                                 ,001,0006 ,0087,531,35,3,32,50,0,2,0,2,28,4,2,0,20,34,246,16,16,52,40,4
22,Capital                                 ,001,0006 ,0088,450,2,3,10,22,0,0,0,2,12,1,1,0,14,13,127,7,10,28,24,1
22,Capital                                 ,001,0006 ,0089,450,3,0,6,19,0,2,0,2,9,0,0,0,4,17,136,6,8,13,24,1
22,Capital                                 ,001,0006 ,0090,450,27,2,11,20,1,2,0,4,23,1,0,0,16,27,92,9,14,23,16,5
22,Capital                                 ,001,0006 ,0091,450,19,7,14,20,0,2,0,3,17,0,1,1,7,17,106,4,8,23,26,6
22,Capital                                 ,001,0006 ,0092,450,4,0,9,10,1,3,0,4,18,2,2,0,3,19,115,8,8,17,31,2
22,Capital                                 ,001,0006 ,0093,450,33,1,15,19,1,1,0,5,2,2,1,0,5,9,144,10,3,14,19,2
22,Capital                                 ,001,0006 ,0094,450,0,0,0,27,0,1,0,0,10,3,1,0,11,18,126,22,6,30,18,0
22,Capital                                 ,001,0006 ,0095,450,22,2,7,24,0,2,0,1,13,3,2,2,8,13,138,4,16,11,11,3
22,Capital                                 ,001,0006 ,0096,450,1,4,3,28,0,5,0,2,19,1,0,0,9,12,133,7,12,15,17,4
22,Capital                                 ,001,0006 ,0097,450,0,0,11,22,2,0,0,0,17,1,3,0,5,15,121,4,12,25,10,3
22,Capital                                 ,001,0006 ,0098,450,0,0,9,20,2,1,0,1,19,1,0,0,6,11,145,10,20,15,14,2
22,Capital                                 ,001,0006 ,0099,104,3,2,2,6,0,1,0,0,4,0,0,0,2,5,30,1,1,6,4,0
22,Capital                                 ,001,0007 ,0088,450,0,0,8,14,2,2,0,6,9,4,0,2,11,8,129,4,16,11,31,4
22,Capital                                 ,001,0007 ,0089,450,2,3,8,17,0,2,0,0,11,2,0,0,6,10,137,8,7,12,27,5
22,Capital                                 ,001,0007 ,0090,450,7,6,8,16,0,1,0,7,12,1,0,2,7,4,119,7,9,24,28,8
22,Capital                                 ,001,0007 ,0091,450,0,0,8,9,2,3,0,1,16,0,1,1,5,7,173,3,9,14,17,4
22,Capital                                 ,001,0007 ,0092,450,5,4,6,16,1,1,0,7,6,4,0,4,10,13,119,4,13,19,31,10
22,Capital                                 ,001,0007 ,0093,450,0,0,8,13,0,1,0,5,12,2,0,1,14,12,127,7,14,15,30,2
22,Capital                                 ,001,0007 ,0094,450,4,4,4,0,1,0,0,5,17,2,1,0,10,18,143,6,10,14,28,3
22,Capital                                 ,001,0007 ,0095,450,0,0,6,10,0,2,0,7,4,1,1,1,6,12,147,14,8,11,26,3
22,Capital                                 ,001,0007 ,0096,450,0,0,10,15,6,1,0,3,8,0,3,1,10,10,129,8,9,15,19,5
22,Capital                                 ,001,0007 ,0097,450,4,5,8,6,1,1,0,3,18,1,0,0,8,14,126,7,13,19,35,0
22,Capital                                 ,001,0007 ,0098,450,5,4,11,18,1,2,0,2,8,2,0,0,6,9,135,4,0,12,31,4
22,Capital                                 ,001,0007 ,0099,450,3,2,3,8,0,2,0,1,8,3,0,2,3,8,155,8,12,16,19,5
22,Capital                                 ,001,0007 ,0100,900,4,2,28,24,0,2,0,2,30,2,0,2,18,16,346,12,40,32,58,14
22,Capital                                 ,001,0007 ,0101,900,0,0,22,28,2,8,0,6,30,6,4,4,28,18,336,16,22,40,58,4
22,Capital                                 ,001,0007 ,0102,900,2,3,18,44,0,4,0,10,28,6,2,4,18,16,286,12,40,32,58,8
22,Capital                                 ,001,0007 ,0103,900,23,6,32,54,6,4,0,12,0,2,8,2,22,22,282,14,22,44,48,12
22,Capital                                 ,001,0007 ,0104,900,22,4,16,30,2,0,0,8,26,4,0,4,22,50,320,18,24,38,60,8
22,Capital                                 ,001,0007 ,0105,900,1,7,38,26,2,10,0,12,30,6,2,2,12,18,274,18,32,38,66,10
22,Capital                                 ,001,0007 ,0106,900,14,6,14,16,2,2,0,10,20,2,2,10,20,18,284,16,70,38,84,8
22,Capital                                 ,001,0007 ,0107,900,0,0,26,40,0,2,0,8,22,4,4,4,18,26,468,12,32,52,62,16
22,Capital                                 ,001,0007 ,0108,900,3,0,18,28,4,12,0,6,0,2,4,4,18,42,348,6,28,36,66,10
22,Capital                                 ,001,0007 ,0109,900,4,9,30,40,0,4,0,12,14,2,2,0,18,32,272,4,28,64,64,16
22,Capital                                 ,001,0007 ,0110,900,5,3,20,18,2,2,0,10,34,2,0,2,26,38,292,10,32,42,64,10
22,Capital                                 ,001,0007 ,0111,900,6,1,18,36,2,2,0,4,28,8,12,0,14,30,290,26,40,28,90,4
22,Capital                                 ,001,0007 ,0112,846,10,8,16,42,0,2,0,10,26,4,0,0,20,22,306,18,28,40,58,4
22,Capital                                 ,001,0007 ,0113,450,4,4,3,12,0,2,0,3,0,1,0,3,6,9,167,7,10,31,24,5
22,Capital                                 ,001,0007 ,0114,450,0,0,0,11,1,2,0,7,0,2,1,9,9,11,160,3,15,16,32,4
22,Capital                                 ,001,0007 ,0115,450,5,0,1,15,0,0,0,5,8,2,0,1,3,8,159,6,10,23,27,3
22,Capital                                 ,001,0007 ,0116,450,0,0,8,0,0,2,0,6,29,1,0,0,10,16,142,6,15,16,38,3
22,Capital                                 ,001,0007 ,0117,450,2,4,7,8,1,1,0,3,10,0,0,0,6,7,146,5,12,23,37,3
22,Capital                                 ,001,0007 ,0118,450,4,8,8,19,0,1,0,7,9,2,2,1,5,12,160,5,15,14,30,1
22,Capital                                 ,001,0007 ,0119,450,31,2,5,11,2,1,0,0,8,2,0,0,4,11,176,11,8,19,22,7
22,Capital                                 ,001,0007 ,0120,450,4,5,16,1,0,0,0,3,1,2,0,0,9,13,169,9,15,12,31,0
22,Capital                                 ,001,0007 ,0121,450,7,5,7,18,0,2,0,2,8,4,1,2,11,14,161,6,6,13,24,3
22,Capital                                 ,001,0007 ,0122,450,0,0,5,14,0,1,0,0,21,1,3,0,13,0,126,6,14,15,28,7
22,Capital                                 ,001,0007 ,0123,450,38,5,8,17,2,2,0,5,10,1,1,1,6,14,133,8,11,20,39,2
22,Capital                                 ,001,0007 ,0124,450,5,2,7,13,0,1,0,5,21,2,0,0,7,22,154,7,23,19,27,4
22,Capital                                 ,001,0007 ,0125,450,0,0,10,16,1,1,0,3,15,5,0,0,11,7,168,5,11,17,36,1
22,Capital                                 ,001,0007 ,0126,450,0,0,1,11,0,2,0,1,17,3,0,2,10,7,158,8,0,0,27,5
22,Capital                                 ,001,0007 ,0127,450,0,0,9,17,0,3,0,1,4,1,0,1,10,12,140,8,24,28,30,3
22,Capital                                 ,001,0007 ,0128,406,3,4,7,8,3,1,0,2,10,2,2,1,12,11,136,7,11,22,26,2
22,Capital                                 ,001,0007A,0113,450,5,2,10,3,0,0,0,6,28,0,2,3,11,12,125,16,6,18,31,7
22,Capital                                 ,001,0007A,0114,450,6,4,11,1,0,3,0,2,18,2,2,0,11,14,106,9,12,17,25,8
22,Capital                                 ,001,0007A,0115,450,5,5,8,10,0,1,0,3,13,2,3,0,3,10,135,5,6,14,20,4
22,Capital                                 ,001,0007A,0116,450,0,0,13,19,0,1,0,2,12,3,1,0,5,8,117,15,11,12,16,10
22,Capital                                 ,001,0007A,0117,450,8,1,10,15,1,1,0,2,10,2,2,1,13,5,133,5,9,14,23,3
22,Capital                                 ,001,0007A,0118,450,0,0,8,18,0,0,0,4,8,2,0,1,8,14,122,9,17,15,20,5
22,Capital                                 ,001,0007A,0119,450,0,0,10,18,2,1,0,0,9,3,3,0,9,11,131,14,3,22,22,2
22,Capital                                 ,001,0007A,0120,450,6,7,10,3,0,1,0,4,11,0,0,0,5,16,109,6,6,21,37,7
22,Capital                                 ,001,0007A,0121,450,0,0,0,20,0,0,0,3,14,3,3,2,12,4,11,7,8,26,25,8
