codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0005,0022,0047,0050,0052,0055,0187,0245,0249,0250,0436,0437,0438
24,Ushuaia                                 ,001,0005 ,0044,387,38,10,12,9,11,57,14,6,24,23,9,22,19,3,2,11
24,Ushuaia                                 ,001,0005 ,0045,388,63,9,17,12,6,54,14,6,21,16,3,32,24,5,4,16
24,Ushuaia                                 ,001,0005 ,0153,383,49,11,18,5,13,4,8,7,11,14,9,37,19,5,6,1
24,Ushuaia                                 ,001,0005 ,0154,382,39,12,17,15,2,48,14,10,16,16,10,22,32,8,1,6
24,Ushuaia                                 ,001,0005 ,0155,380,46,6,17,14,3,38,12,5,22,24,17,23,20,8,4,4
24,Ushuaia                                 ,001,0005 ,0156,381,56,2,13,10,4,43,17,10,14,18,15,17,22,3,5,7
24,Ushuaia                                 ,001,0005 ,0157,385,45,8,16,9,7,36,0,0,0,26,11,29,28,6,0,5
24,Ushuaia                                 ,001,0005 ,0158,388,47,5,17,13,7,30,11,8,19,21,14,31,10,7,2,7
24,Ushuaia                                 ,001,0005 ,0159,382,51,7,15,7,7,43,8,7,18,16,9,0,28,2,6,16
24,Ushuaia                                 ,001,0005 ,0160,385,42,8,22,0,8,48,0,0,0,8,8,31,27,5,8,10
24,Ushuaia                                 ,001,0005 ,0161,386,0,0,18,12,7,42,8,6,19,14,5,19,26,3,1,5
24,Ushuaia                                 ,001,0005 ,0162,384,62,5,16,8,0,40,11,6,15,16,16,25,21,5,3,7
24,Ushuaia                                 ,001,0005 ,0163,383,47,10,19,15,4,43,7,9,15,16,7,30,21,6,7,6
24,Ushuaia                                 ,001,0005 ,0164,382,57,8,8,11,4,33,9,6,29,22,10,25,24,3,5,9
24,Ushuaia                                 ,001,0005 ,0165,382,49,12,13,8,11,49,6,4,12,24,9,16,22,4,8,8
24,Ushuaia                                 ,001,0005 ,0166,391,56,7,17,12,4,39,14,6,18,11,5,25,27,8,8,9
24,Ushuaia                                 ,001,0006 ,0046,398,49,11,6,16,3,43,15,8,17,18,2,48,23,13,2,8
24,Ushuaia                                 ,001,0006 ,0047,401,0,0,20,22,11,50,14,8,25,21,4,24,24,8,2,16
24,Ushuaia                                 ,001,0006 ,0048,406,41,8,12,12,6,61,19,9,19,24,9,41,20,4,5,15
24,Ushuaia                                 ,001,0006 ,0049,395,55,11,11,3,6,49,15,14,14,31,6,31,25,10,9,14
24,Ushuaia                                 ,001,0006 ,0050,399,48,13,11,12,1,43,13,3,27,25,12,26,25,12,3,5
24,Ushuaia                                 ,001,0006 ,0051,397,58,7,13,13,5,43,14,6,19,31,9,22,32,7,5,6
24,Ushuaia                                 ,001,0006 ,0052,401,55,7,15,19,9,40,10,5,18,38,10,20,29,0,5,7
24,Ushuaia                                 ,001,0006 ,0053,421,53,17,17,3,9,34,15,6,14,24,16,38,37,6,7,17
24,Ushuaia                                 ,001,0006 ,0167,385,45,16,11,5,4,39,11,6,16,32,7,23,28,6,4,8
24,Ushuaia                                 ,001,0006 ,0168,382,41,10,14,1,4,44,16,2,20,24,7,37,30,2,6,12
24,Ushuaia                                 ,001,0006 ,0169,383,45,11,13,7,7,44,19,9,11,23,11,30,22,3,3,9
24,Ushuaia                                 ,001,0006 ,0170,382,53,10,17,11,9,42,7,12,16,24,13,27,17,7,3,9
24,Ushuaia                                 ,001,0006 ,0171,383,60,6,13,18,4,41,14,7,7,18,9,26,26,6,2,11
24,Ushuaia                                 ,001,0006 ,0172,380,69,6,16,15,2,34,15,4,15,31,9,23,26,4,4,7
24,Ushuaia                                 ,001,0006 ,0173,382,57,7,18,19,6,39,7,5,10,28,12,16,25,7,6,5
24,Ushuaia                                 ,001,0006 ,0174,380,34,12,15,18,4,50,9,10,21,14,5,25,37,6,4,5
24,Ushuaia                                 ,001,0006 ,0175,383,64,8,16,16,10,39,13,8,20,16,9,20,23,6,1,12
24,Ushuaia                                 ,001,0006 ,0176,436,67,8,17,22,7,40,15,10,17,27,5,23,23,3,2,9
24,Río Grande                              ,002,0008 ,0055,376,39,14,11,18,1,32,16,5,14,41,8,26,39,6,16,9
24,Río Grande                              ,002,0008 ,0056,382,0,0,14,35,3,37,12,6,11,26,17,14,39,12,11,6
24,Río Grande                              ,002,0008 ,0057,378,39,7,19,7,1,35,11,2,8,52,8,26,30,2,7,8
24,Río Grande                              ,002,0008 ,0058,377,0,25,14,18,2,28,19,9,8,35,16,19,32,10,6,8
24,Río Grande                              ,002,0008 ,0059,376,30,13,2,12,2,36,29,5,10,53,10,23,35,11,11,7
24,Río Grande                              ,002,0008 ,0060,376,37,9,17,33,1,46,12,4,9,36,8,14,35,10,11,3
24,Río Grande                              ,002,0008 ,0061,382,0,0,14,29,4,41,0,11,7,31,11,24,25,8,7,4
24,Río Grande                              ,002,0008 ,0062,379,0,0,8,18,0,57,17,5,7,20,4,21,4,8,9,4
24,Río Grande                              ,002,0008 ,0063,378,42,6,13,23,2,35,8,5,12,39,9,17,35,9,8,8
24,Río Grande                              ,002,0008 ,0178,385,45,8,13,40,1,34,12,5,17,21,13,16,40,8,4,8
24,Río Grande                              ,002,0008 ,0179,386,66,7,17,17,0,28,19,8,8,26,13,23,20,9,9,6
24,Río Grande                              ,002,0008 ,0180,386,39,5,10,32,1,30,10,7,9,19,19,17,35,10,6,10
24,Río Grande                              ,002,0008 ,0181,382,53,7,12,19,2,29,14,1,4,45,20,26,31,10,8,3
24,Río Grande                              ,002,0008 ,0182,382,41,11,11,43,2,35,17,4,7,27,7,23,25,10,9,3
24,Río Grande                              ,002,0008 ,0183,382,40,8,6,18,0,27,19,6,9,22,16,37,37,14,6,7
24,Río Grande                              ,002,0008 ,0184,387,54,16,17,41,0,37,7,3,6,26,6,14,19,12,11,8
24,Río Grande                              ,002,0008 ,0185,386,40,5,11,28,0,45,6,4,8,26,16,24,31,20,3,4
24,Río Grande                              ,002,0008 ,0186,383,44,8,12,29,1,19,16,6,10,22,8,18,33,18,12,5
24,Río Grande                              ,002,0008 ,0187,383,22,22,12,40,3,26,11,5,13,34,12,22,28,17,11,6
24,Río Grande                              ,002,0009 ,0064,366,40,9,8,35,1,41,11,6,10,29,9,13,22,9,16,14
24,Río Grande                              ,002,0009 ,0065,367,35,17,5,15,0,48,17,5,9,30,2,16,23,21,6,8
24,Río Grande                              ,002,0009 ,0066,373,43,18,11,18,1,44,24,5,1,20,10,22,26,12,5,5
24,Río Grande                              ,002,0009 ,0067,367,37,11,12,13,2,47,14,9,9,23,7,12,7,9,40,7
24,Río Grande                              ,002,0009 ,0068,371,42,12,11,28,0,53,19,8,6,17,7,23,16,16,5,8
24,Río Grande                              ,002,0009 ,0188,344,39,13,14,13,0,35,11,8,9,12,16,20,24,16,6,4
24,Río Grande                              ,002,0009 ,0189,346,34,10,12,17,2,35,15,6,9,20,10,16,23,10,4,5
24,Río Grande                              ,002,0009 ,0190,345,39,6,6,35,4,46,9,9,7,22,14,18,24,13,4,5
24,Río Grande                              ,002,0009 ,0191,347,46,8,8,17,5,36,18,6,4,23,7,22,28,17,5,5
24,Río Grande                              ,002,0009 ,0192,342,38,7,10,31,4,40,15,5,5,9,5,11,29,16,4,4
24,Río Grande                              ,002,0009 ,0193,346,50,10,0,0,2,36,11,3,6,22,13,14,18,15,7,2
24,Río Grande                              ,002,0010 ,0069,385,43,22,14,31,3,38,9,4,6,27,10,21,45,7,6,9
24,Río Grande                              ,002,0010 ,0070,385,40,11,15,27,4,44,18,7,6,21,6,18,43,17,8,7
24,Río Grande                              ,002,0010 ,0071,387,59,14,13,21,3,44,16,3,10,26,7,15,35,16,5,9
24,Río Grande                              ,002,0010 ,0072,389,1,11,13,29,1,56,11,6,11,17,8,13,45,14,4,14
24,Río Grande                              ,002,0010 ,0073,385,44,10,12,22,2,49,9,6,13,22,13,23,36,14,3,6
24,Río Grande                              ,002,0010 ,0074,389,41,9,13,34,1,47,9,9,5,28,7,20,24,12,7,10
24,Río Grande                              ,002,0010 ,0075,389,38,4,11,27,3,43,16,4,16,25,14,18,31,11,8,14
24,Río Grande                              ,002,0010 ,0076,387,1,5,13,13,4,35,16,9,10,28,7,18,39,8,6,10
24,Río Grande                              ,002,0010 ,0077,390,43,6,16,29,3,45,14,7,9,26,12,13,33,15,4,12
24,Río Grande                              ,002,0010 ,0078,385,40,8,18,22,1,33,20,8,8,29,5,19,37,9,3,11
24,Río Grande                              ,002,0010 ,0079,388,0,0,20,24,2,41,20,11,8,25,13,17,37,12,5,8
24,Río Grande                              ,002,0010 ,0080,389,43,12,23,16,2,45,12,9,12,23,8,15,37,22,8,5
24,Río Grande                              ,002,0010 ,0081,387,0,0,10,34,34,53,6,9,10,23,10,9,40,52,4,14
24,Río Grande                              ,002,0010 ,0082,384,31,16,12,27,5,53,8,9,10,23,7,19,31,9,6,7
24,Río Grande                              ,002,0010 ,0083,387,8,8,16,26,3,49,5,7,7,25,6,15,40,9,6,7
24,Río Grande                              ,002,0010 ,0084,387,0,0,7,22,0,97,7,13,17,35,10,20,41,10,9,4
24,Río Grande                              ,002,0010 ,0085,386,47,14,16,29,3,33,24,8,0,29,8,17,30,18,7,6
24,Río Grande                              ,002,0010 ,0086,387,24,7,22,30,3,48,14,11,14,25,9,22,35,12,9,8
24,Río Grande                              ,002,0010 ,0087,387,42,13,11,27,5,44,11,7,9,28,16,17,37,10,5,6
24,Río Grande                              ,002,0010 ,0088,387,49,16,15,23,2,40,17,9,8,24,7,18,42,10,8,12
24,Río Grande                              ,002,0010 ,0194,400,58,12,13,29,2,37,11,9,6,22,8,21,34,18,7,6
24,Río Grande                              ,002,0010 ,0195,401,58,3,8,17,4,39,11,3,14,17,12,21,39,21,5,6
24,Río Grande                              ,002,0010 ,0196,398,50,2,19,24,2,49,10,52,12,27,9,17,32,14,7,5
24,Río Grande                              ,002,0010 ,0197,399,0,0,25,15,3,43,15,2,16,30,21,16,24,18,13,2
24,Río Grande                              ,002,0010 ,0198,403,39,11,11,16,7,46,5,11,10,25,16,21,37,15,11,6
24,Río Grande                              ,002,0010 ,0199,399,50,14,19,35,1,40,11,9,6,21,10,21,34,13,6,6
24,Río Grande                              ,002,0010 ,0200,399,38,11,15,25,2,43,9,7,8,27,16,32,40,18,7,7
24,Río Grande                              ,002,0010 ,0201,400,40,9,21,35,2,55,14,8,4,24,6,9,23,19,7,9
24,Río Grande                              ,002,0010 ,0202,402,41,8,14,42,3,37,9,10,10,21,13,15,31,23,16,7
24,Río Grande                              ,002,0010 ,0203,399,33,10,20,39,4,44,13,8,10,16,9,16,27,12,7,6
24,Río Grande                              ,002,0010 ,0204,400,42,15,16,37,0,49,6,7,6,18,5,15,32,17,6,10
24,Río Grande                              ,002,0010 ,0205,398,39,9,13,25,2,35,18,6,9,34,18,13,30,21,8,9
24,Río Grande                              ,002,0010 ,0206,400,45,10,14,27,1,26,9,5,12,26,5,18,39,14,10,14
24,Río Grande                              ,002,0010 ,0207,400,40,9,16,37,0,43,15,6,9,29,5,22,31,17,4,5
24,Río Grande                              ,002,0010 ,0208,401,51,6,19,18,2,45,12,6,10,18,16,17,42,22,6,11
24,Río Grande                              ,002,0010 ,0209,399,50,14,14,38,1,28,11,11,12,14,9,22,32,25,7,6
24,Río Grande                              ,002,0010 ,0210,397,0,0,7,18,1,35,11,5,11,31,11,17,30,28,12,12
24,Río Grande                              ,002,0010 ,0211,400,44,12,14,26,6,35,22,10,13,34,7,21,32,17,6,8
24,Río Grande                              ,002,0010 ,0212,399,59,15,22,24,0,31,27,3,13,25,11,20,0,17,10,3
24,Río Grande                              ,002,0010 ,0213,401,45,14,19,35,0,45,14,9,6,18,3,16,35,13,8,9
24,Río Grande                              ,002,0011 ,0089,388,43,10,14,24,3,34,11,11,5,25,9,14,21,20,8,7
24,Río Grande                              ,002,0011 ,0090,385,35,8,22,26,1,45,21,12,8,13,8,12,16,16,5,5
24,Río Grande                              ,002,0011 ,0091,386,51,6,12,18,1,29,28,6,11,27,17,4,17,16,6,8
24,Río Grande                              ,002,0011 ,0092,389,39,18,14,12,1,27,30,6,11,35,9,14,18,16,3,7
24,Río Grande                              ,002,0011 ,0214,361,41,3,12,17,1,39,11,13,9,14,8,14,19,15,8,5
24,Río Grande                              ,002,0011 ,0215,362,0,0,10,28,1,31,13,7,9,16,11,13,7,13,7,1
24,Río Grande                              ,002,0011 ,0216,362,26,5,17,33,1,22,15,8,6,14,12,9,18,14,6,7
24,Río Grande                              ,002,0011 ,0217,360,28,20,11,16,3,29,12,8,9,20,11,16,16,15,5,5
24,Río Grande                              ,002,0011 ,0218,411,27,4,14,27,0,43,11,2,6,27,14,15,21,12,5,4
24,Río Grande                              ,002,0012 ,0093,338,39,11,9,35,4,34,7,4,4,27,4,21,22,19,4,12
24,Río Grande                              ,002,0012 ,0094,342,43,1,8,12,2,23,24,2,8,36,11,18,26,10,5,12
24,Río Grande                              ,002,0012 ,0095,344,36,6,7,32,1,38,7,2,6,24,2,22,27,27,6,10
24,Río Grande                              ,002,0012 ,0096,342,45,9,10,13,1,24,16,4,6,24,11,28,30,12,13,8
24,Río Grande                              ,002,0012 ,0097,341,41,7,10,37,4,30,23,5,9,31,4,13,20,10,3,7
24,Río Grande                              ,002,0012 ,0098,345,30,15,7,18,3,28,11,3,5,26,13,22,39,17,7,15
24,Río Grande                              ,002,0012 ,0219,396,48,7,12,21,1,22,14,4,10,30,14,24,22,23,9,7
