codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00024,00050
03,001,Capital,00003,000128,344,37,0,140,12,53
03,001,Capital,00003,000129,343,46,0,144,11,53
03,001,Capital,00003,000130,343,35,0,129,22,69
03,001,Capital,00003,000131,344,39,0,142,10,62
03,001,Capital,00003,000132,343,36,0,137,24,63
03,001,Capital,00003,000133,346,34,0,148,14,49
03,001,Capital,00003,000134,344,40,0,148,10,56
03,001,Capital,00003,000135,342,42,0,126,15,71
03,001,Capital,00003,000136,344,41,0,140,22,72
03,001,Capital,00003,000137,342,36,0,147,23,54
03,001,Capital,00003,000138,343,37,0,157,11,57
03,001,Capital,00003,000139,342,24,0,136,21,66
03,001,Capital,00003,000140,340,37,0,128,9,69
03,001,Capital,00003,000141,342,31,0,132,18,59
03,001,Capital,00003,000142,343,44,0,125,16,52
03,001,Capital,00003,000143,345,37,0,141,16,62
03,001,Capital,00003,000144,345,36,0,156,18,50
03,001,Capital,00003,000145,341,48,0,126,11,63
03,001,Capital,00003,000146,342,45,0,120,15,66
03,001,Capital,00003,000147,342,34,0,135,9,73
03,001,Capital,00003,000148,346,31,0,157,13,68
03,001,Capital,00003,000035,342,50,0,142,12,58
03,001,Capital,00003,000036,343,30,4,160,22,48
03,001,Capital,00003,000037,344,66,0,145,15,64
03,001,Capital,00003,000038,343,44,5,146,18,54
03,001,Capital,00003,000039,342,39,0,123,15,73
03,001,Capital,00003,000040,341,52,0,149,16,60
03,001,Capital,00003,000041,344,30,0,155,15,60
03,001,Capital,00003,000042,343,37,0,127,28,72
03,001,Capital,00003,000043,344,32,0,148,17,54
03,001,Capital,00003,000044,344,32,5,149,19,52
03,001,Capital,00003,000045,340,41,0,168,13,62
03,001,Capital,00003,000046,345,42,0,140,18,75
03,001,Capital,00003,000047,342,35,0,126,13,74
03,001,Capital,00003,000048,346,25,0,132,13,71
03,001,Capital,00003,000049,344,34,0,147,17,61
03,001,Capital,00003,000050,343,41,0,134,18,72
03,001,Capital,00003,000051,343,40,0,132,18,75
03,001,Capital,00003,000052,344,38,0,160,18,70
03,001,Capital,00003,000053,342,30,0,165,15,52
03,001,Capital,00003,000054,344,37,0,134,9,82
03,001,Capital,00003,000055,341,51,0,126,0,69
03,001,Capital,00003,000056,346,43,0,137,17,79
03,001,Capital,00003,000057,344,42,0,129,16,70
03,001,Capital,00003,000058,343,31,0,146,18,65
03,001,Capital,00003,000059,344,41,0,138,20,76
03,001,Capital,00003,000060,344,36,0,125,19,74
03,001,Capital,00003,000061,347,30,0,155,14,69
03,001,Capital,00003,000062,343,43,0,142,16,57
03,001,Capital,00003,000063,344,54,0,147,19,53
03,001,Capital,00003,000064,342,28,0,164,13,59
03,001,Capital,00003,000065,343,41,0,129,18,82
03,001,Capital,00003,000066,343,31,0,157,18,58
03,001,Capital,00003,000067,344,40,0,139,19,62
03,001,Capital,00003,000068,342,50,0,138,14,50
03,001,Capital,00003,000069,344,33,0,137,13,68
03,001,Capital,00003,000070,346,25,0,126,20,76
03,001,Capital,00003,000071,343,28,0,141,22,67
03,001,Capital,00003,000072,343,34,0,146,13,68
03,001,Capital,00003,000073,344,34,0,135,27,67
03,001,Capital,00003,000074,344,42,0,138,14,63
03,001,Capital,00003,000075,345,37,0,127,18,71
03,001,Capital,00003,000076,342,34,0,151,14,64
03,001,Capital,00003,000077,344,28,0,138,24,71
03,001,Capital,00003,000078,346,30,0,152,19,57
03,001,Capital,00003,000079,345,47,0,122,21,79
03,001,Capital,00003,000080,344,42,0,123,19,71
03,001,Capital,00003,000081,345,27,0,138,13,68
03,001,Capital,00003,000082,342,28,0,131,19,74
03,001,Capital,00003,000083,343,40,0,146,20,54
03,001,Capital,00003,000084,344,28,0,135,14,73
03,001,Capital,00003,000085,343,32,0,154,15,53
03,001,Capital,00003,000086,345,27,0,125,18,72
03,001,Capital,00003,000087,346,33,0,135,13,86
03,001,Capital,00003,000088,344,25,0,138,13,73
03,001,Capital,00003,000089,343,34,0,142,13,70
03,001,Capital,00003,000090,345,45,0,138,13,73
03,001,Capital,00003,000091,344,29,0,157,26,60
03,001,Capital,00003,000092,343,47,0,141,18,53
03,001,Capital,00003,000093,345,30,0,154,17,54
03,001,Capital,00003,000094,345,23,0,156,16,64
03,001,Capital,00003,000095,344,39,0,134,15,70
03,001,Capital,00003,000096,344,46,0,131,20,57
03,001,Capital,00003,000097,344,33,0,152,12,56
03,001,Capital,00003,000098,343,35,0,131,18,72
03,001,Capital,00003,000099,345,35,0,140,22,57
03,001,Capital,00004,000149,343,29,1,135,7,93
03,001,Capital,00004,000150,343,40,0,121,4,88
03,001,Capital,00004,000151,340,38,3,106,7,115
03,001,Capital,00004,000152,339,44,0,89,10,107
03,001,Capital,00004,000153,340,28,1,110,16,96
03,001,Capital,00004,000154,337,27,6,97,19,87
03,001,Capital,00004,000155,340,34,2,98,16,118
03,001,Capital,00004,000156,341,25,2,119,21,109
03,001,Capital,00004,000157,339,28,3,134,15,76
03,001,Capital,00004,000158,341,35,1,120,14,97
03,001,Capital,00004,000159,339,37,5,120,7,91
03,001,Capital,00004,000160,341,35,2,108,8,96
03,001,Capital,00004,000161,337,18,3,103,10,116
03,001,Capital,00004,000162,343,30,0,130,9,89
03,001,Capital,00005,000163,341,32,0,148,14,55
03,001,Capital,00005,000164,340,28,5,156,11,56
03,001,Capital,00005,000165,340,27,3,169,16,43
03,001,Capital,00005,000166,340,36,4,149,16,48
03,001,Capital,00005,000167,341,44,0,149,19,60
03,001,Capital,00005,000168,340,26,0,148,11,51
03,001,Capital,00005,000169,341,27,0,151,16,58
03,001,Capital,00005,000170,340,32,0,155,11,44
03,001,Capital,00005,000171,341,37,1,141,17,57
03,001,Capital,00005,000172,342,11,1,176,16,52
03,001,Capital,00005,000173,340,31,1,164,13,53
03,001,Capital,00005,000174,339,32,6,183,6,44
03,001,Capital,00005,000175,339,31,0,165,10,44
03,001,Capital,00005,000176,339,37,4,180,7,34
03,001,Capital,00005,000177,342,38,0,172,16,44
03,001,Capital,00005,000178,340,31,0,161,7,56
03,001,Capital,00005,000179,340,31,2,141,16,51
03,001,Capital,00005,000180,339,11,1,170,18,52
03,001,Capital,00005,000181,336,21,5,161,5,60
03,001,Capital,00005,000182,338,35,2,167,10,55
03,001,Capital,00005,000183,339,29,0,170,13,38
03,001,Capital,00005,000184,340,26,0,157,7,56
03,001,Capital,00005,000185,341,31,1,171,17,42
03,001,Capital,00005,000186,342,38,2,171,14,40
03,001,Capital,00005,000187,340,30,2,159,28,40
03,001,Capital,00005,000188,337,22,0,177,7,44
03,001,Capital,00005,000189,337,25,1,165,11,55
03,001,Capital,00005,000190,340,41,1,166,25,38
03,001,Capital,00005,000191,338,25,0,169,15,37
03,001,Capital,00005,000192,341,24,0,159,8,59
03,001,Capital,00006,000193,336,35,3,120,14,93
03,001,Capital,00006,000194,338,35,5,112,18,87
03,001,Capital,00006,000195,337,30,0,113,9,105
03,001,Capital,00006,000196,335,34,0,126,17,88
03,001,Capital,00006,000197,338,32,1,134,8,84
03,001,Capital,00006,000198,337,30,0,104,9,99
03,001,Capital,00006,000199,337,37,1,91,16,104
03,001,Capital,00006,000200,336,41,0,114,11,98
03,001,Capital,00006,000201,338,43,0,118,18,73
03,001,Capital,00006,000202,335,32,2,119,8,89
03,001,Capital,00006,000203,334,32,0,117,21,92
03,001,Capital,00006,000204,337,25,2,124,15,98
03,001,Capital,00006,000205,339,34,3,106,12,97
03,001,Capital,00007,000206,343,31,1,143,14,76
03,001,Capital,00007,000207,345,24,5,121,12,103
03,001,Capital,00007,000208,344,33,4,114,17,95
03,001,Capital,00007,000209,345,33,2,145,13,67
03,001,Capital,00007,000210,345,26,0,131,10,95
03,001,Capital,00007,000211,345,35,0,120,16,71
03,001,Capital,00007,000212,343,34,1,126,9,92
03,001,Capital,00007,000213,344,30,0,81,17,125
03,001,Capital,00007,000214,342,27,1,145,26,69
03,001,Capital,00007,000215,343,35,2,136,16,79
03,001,Capital,00007,000216,344,31,4,123,23,78
03,001,Capital,00007,000217,344,26,3,116,17,92
03,001,Capital,00007,000218,345,33,0,124,18,83
03,001,Capital,00007,000219,345,22,3,124,19,84
03,001,Capital,00007,000220,345,25,1,131,16,82
03,001,Capital,00007,000221,345,32,0,136,16,75
03,001,Capital,00007,000222,345,43,0,114,21,86
03,001,Capital,00007,000223,342,36,0,140,12,62
03,001,Capital,00007,000224,344,33,2,114,17,113
03,001,Capital,00007,000225,346,32,4,101,18,90
03,001,Capital,00007,000226,344,44,3,130,20,68
03,001,Capital,00007,000227,345,31,0,138,19,80
03,001,Capital,00007,000228,343,32,6,125,21,82
03,001,Capital,00007,000229,343,39,0,115,18,90
03,001,Capital,00007,000230,342,36,3,105,24,106
03,001,Capital,00007,000231,345,34,2,124,10,87
03,001,Capital,00007,000232,346,34,2,145,16,60
03,001,Capital,00007,000233,345,40,2,122,22,75
03,001,Capital,00007,000234,343,32,1,107,15,92
03,001,Capital,00007,000235,345,41,0,122,31,88
03,001,Capital,00007,000236,350,36,2,143,15,67
03,001,Capital,00007,000237,345,39,1,140,12,70
03,001,Capital,00007,000238,346,32,4,123,17,73
03,001,Capital,00007,000239,345,43,0,115,15,96
03,001,Capital,00007,000240,345,35,0,127,11,75
03,001,Capital,00007,000241,345,27,2,141,19,90
03,001,Capital,00007,000242,344,30,3,158,13,63
03,001,Capital,00007,000243,345,33,7,129,15,84
03,001,Capital,00007,000244,342,51,0,91,20,97
03,001,Capital,00007,000245,345,41,0,113,14,102
03,001,Capital,00007,000246,341,32,1,123,17,76
03,001,Capital,00007,000247,347,37,0,125,15,83
03,001,Capital,00007,000248,344,46,2,125,12,86
03,001,Capital,00007,000249,343,35,1,120,22,80
03,001,Capital,00007,000250,343,26,0,108,10,122
03,001,Capital,00007,000251,342,24,4,135,21,89
03,001,Capital,00007,000252,346,33,0,119,19,88
03,001,Capital,00007,000253,345,39,3,123,12,90
03,001,Capital,00007,000254,345,26,4,112,16,103
03,001,Capital,00007,000255,344,28,3,131,25,69
03,001,Capital,00007,000256,346,26,1,115,18,101
03,001,Capital,00007,000257,344,27,1,140,15,92
03,001,Capital,00007,000258,343,38,3,103,26,81
03,001,Capital,00007,000259,344,43,0,122,16,88
03,001,Capital,00007,000260,345,41,2,121,13,93
03,001,Capital,00007,000261,345,38,0,107,21,94
03,001,Capital,00007,000262,343,100,1,129,16,69
03,001,Capital,00007,000263,347,59,0,128,0,79
03,001,Capital,00007,000264,343,36,3,116,19,85
03,001,Capital,00007,000265,346,31,0,132,13,87
03,001,Capital,00007,000266,345,25,0,107,20,105
03,001,Capital,00007,000267,343,34,1,123,14,86
03,001,Capital,00007,000268,345,39,0,110,18,86
03,001,Capital,00007,000269,345,34,0,108,15,97
03,001,Capital,00007,000270,346,44,4,135,17,79
03,001,Capital,00007,000271,343,32,0,124,18,88
03,001,Capital,00007,000272,344,40,8,131,14,70
03,001,Capital,00007,000273,342,41,0,138,15,70
03,001,Capital,00007,000274,343,41,0,117,10,87
03,001,Capital,00007,000275,342,38,2,110,15,101
03,001,Capital,00007,000276,345,32,2,132,12,81
03,001,Capital,00007,000277,342,38,5,107,18,102
03,001,Capital,00007,000278,347,31,3,114,12,91
03,001,Capital,00007,000279,343,24,1,130,22,78
03,001,Capital,00007,000280,341,32,2,112,20,84
03,001,Capital,00007,000281,343,30,0,109,20,87
03,001,Capital,00007,000282,344,36,2,113,29,85
03,001,Capital,00007,000283,345,39,3,117,18,74
03,001,Capital,00007,000284,345,35,4,112,21,81
03,001,Capital,00007,000285,343,35,0,124,16,87
03,001,Capital,00007,000286,344,39,2,123,20,66
03,001,Capital,00007,000287,345,33,1,114,28,84
03,001,Capital,00007,000288,345,36,0,115,18,96
03,001,Capital,00007,000289,348,36,2,120,23,79
03,001,Capital,00007,000290,344,23,2,110,18,87
03,001,Capital,00007,000291,345,40,2,117,22,78
03,001,Capital,00007,000292,346,32,0,130,21,83
03,001,Capital,00007,000293,344,45,1,130,16,68
03,001,Capital,00007,000294,345,32,9,118,9,90
03,001,Capital,00007,000295,346,40,1,131,19,91
03,001,Capital,00007,000296,345,26,1,132,17,89
03,001,Capital,00007,000297,343,34,2,124,16,97
03,001,Capital,00007,000298,344,32,0,116,16,96
03,001,Capital,00007,000299,342,39,0,131,15,72
03,001,Capital,00007,000300,344,34,4,132,19,75
03,001,Capital,00007,000301,347,33,1,137,15,83
03,001,Capital,00007,000302,342,32,0,110,22,102
03,001,Capital,00007,000303,343,36,3,112,16,75
03,001,Capital,00007,000304,345,34,2,123,17,96
03,001,Capital,00007,000305,344,32,3,114,24,89
03,001,Capital,00007,000306,342,41,0,134,11,73
03,001,Capital,00007,000307,343,33,0,135,26,71
03,001,Capital,00007,000308,343,28,2,121,17,85
03,001,Capital,00007,000309,343,25,0,102,5,104
03,001,Capital,00007,000310,344,45,0,112,19,77
03,001,Capital,00007,000311,342,37,0,107,20,102
03,001,Capital,00007,000312,345,41,3,133,14,86
03,001,Capital,00007,000313,345,39,0,117,12,91
03,001,Capital,00007,000314,345,40,0,131,17,67
03,001,Capital,00007,000315,344,35,1,123,11,88
03,001,Capital,00007,000316,343,29,7,114,12,95
03,001,Capital,00007,000317,342,36,4,112,14,88
03,001,Capital,00007,000318,344,36,3,119,21,77
03,001,Capital,00007,000319,344,20,3,124,19,82
03,001,Capital,00007,000320,342,48,0,126,8,69
03,001,Capital,00007,000321,343,31,1,133,26,75
03,001,Capital,00007,000322,345,40,3,108,16,90
03,001,Capital,00007,000323,342,29,2,128,6,93
03,001,Capital,00007,000324,344,37,0,121,14,99
03,001,Capital,00007,000325,343,25,5,115,16,87
03,001,Capital,00007,000326,343,30,0,144,20,86
03,001,Capital,00007,000327,344,24,1,135,13,73
03,001,Capital,00007,000328,342,31,2,114,27,81
03,001,Capital,00007,000329,342,43,1,115,19,94
03,001,Capital,00007,000330,343,37,0,119,18,87
03,001,Capital,00007,000331,344,38,2,119,14,82
03,001,Capital,00007,000332,341,33,0,132,25,65
03,001,Capital,00007,000333,342,33,0,113,18,81
03,001,Capital,00007,000334,342,38,7,130,14,72
03,001,Capital,00007,000335,345,47,1,123,15,84
03,001,Capital,00008,000336,346,33,3,132,20,84
03,001,Capital,00008,000337,342,29,2,131,22,67
03,001,Capital,00008,000338,345,32,0,118,22,99
03,001,Capital,00008,000339,346,43,0,114,18,82
03,001,Capital,00008,000340,344,34,1,115,12,98
03,001,Capital,00008,000341,345,40,1,142,31,61
03,001,Capital,00008,000342,345,34,3,147,10,83
03,001,Capital,00008,000343,346,35,0,138,17,85
03,001,Capital,00008,000344,343,45,1,125,13,81
03,001,Capital,00008,000345,345,25,0,145,20,78
03,001,Capital,00008,000346,345,30,1,139,14,94
03,001,Capital,00008,000347,345,37,3,121,17,85
03,001,Capital,00008,000348,346,36,2,137,15,78
03,001,Capital,00008,000349,342,29,2,110,19,108
03,001,Capital,00008,000350,344,43,2,120,18,91
03,001,Capital,00008,000351,346,36,1,118,14,110
03,001,Capital,00008,000352,344,30,0,120,19,86
03,001,Capital,00008,000353,346,35,1,123,20,84
03,001,Capital,00008,000354,343,36,0,120,13,89
03,001,Capital,00008,000355,342,46,1,120,18,95
03,001,Capital,00008,000356,345,30,1,126,13,90
03,001,Capital,00008,000357,346,49,0,120,17,82
03,001,Capital,00008,000358,344,49,0,123,20,102
03,001,Capital,00008,000359,344,35,8,136,11,73
03,001,Capital,00008,000360,344,47,0,117,8,93
03,001,Capital,00008,000361,344,42,3,133,13,87
03,001,Capital,00008,000362,344,50,2,117,16,86
03,001,Capital,00008,000363,342,37,1,128,17,82
03,001,Capital,00008,000364,344,47,0,130,16,78
03,001,Capital,00008,000365,345,40,0,115,15,88
03,001,Capital,00008,000366,344,42,0,117,12,104
03,001,Capital,00008,000367,342,23,4,134,21,84
03,001,Capital,00008,000368,344,34,4,131,16,79
03,001,Capital,00008,000369,344,41,1,125,18,66
03,001,Capital,00008,000370,342,44,4,142,13,79
03,001,Capital,00008,000371,345,39,2,133,16,82
03,001,Capital,00008,000372,343,43,0,131,18,75
03,001,Capital,00008,000373,342,34,3,103,12,107
03,001,Capital,00008,000374,345,38,5,141,10,74
03,001,Capital,00008,000375,344,36,0,136,12,75
03,001,Capital,00008,000376,343,44,1,121,16,75
03,001,Capital,00008,000377,345,32,1,131,11,88
03,001,Capital,00008,000378,344,30,4,122,9,85
03,001,Capital,00008,000379,344,26,3,127,16,78
03,001,Capital,00008,000380,347,25,2,122,13,99
03,001,Capital,00009,000381,337,43,0,107,12,99
03,001,Capital,00009,000382,338,32,0,141,10,89
03,001,Capital,00009,000383,338,25,0,117,17,110
03,001,Capital,00009,000384,337,44,0,148,16,71
03,001,Capital,00009,000385,340,26,3,124,3,105
03,001,Capital,00009,000386,340,42,1,121,10,92
03,001,Capital,00009,000387,338,28,8,121,14,91
03,001,Capital,00009,000388,339,32,4,106,25,80
03,001,Capital,00009,000389,337,25,4,130,14,92
03,001,Capital,00009,000390,338,20,23,128,19,82
03,001,Capital,00009,000391,341,32,5,115,21,93
03,001,Capital,00009,000392,338,32,0,126,12,107
03,001,Capital,00009,000393,340,32,0,129,11,105
03,002,Capayan,00010,000394,58,13,0,34,0,0
03,002,Capayan,00011,000395,279,37,0,100,5,78
03,002,Capayan,00011,000396,278,21,0,123,2,61
03,002,Capayan,00012,000397,324,39,0,145,7,62
03,002,Capayan,00012,000398,322,30,0,178,3,48
03,002,Capayan,00012,000399,326,29,0,201,0,42
03,002,Capayan,00012,000400,322,13,0,173,7,46
03,002,Capayan,00012,000401,323,19,0,160,9,45
03,002,Capayan,00012,000402,321,35,0,157,7,60
03,002,Capayan,00012,000403,324,38,0,170,3,52
03,002,Capayan,00012,000404,327,18,0,200,7,45
03,002,Capayan,00012,000405,327,49,0,147,7,53
03,002,Capayan,00012,000406,325,40,0,148,7,51
03,002,Capayan,00013,000407,343,138,0,142,2,13
03,002,Capayan,00013,000408,343,150,0,128,0,16
03,002,Capayan,00013,000409,343,131,0,137,2,18
03,002,Capayan,00013,000410,343,133,0,134,2,18
03,002,Capayan,00013,000411,345,122,0,150,1,14
03,002,Capayan,00013,000412,342,138,0,130,1,19
03,002,Capayan,00013,000413,340,124,0,141,2,25
03,002,Capayan,00013,000414,342,117,0,143,2,25
03,002,Capayan,00013,000415,341,95,0,181,0,14
03,002,Capayan,00013,000416,344,126,0,156,1,14
03,002,Capayan,00013,000417,341,114,0,163,1,14
03,002,Capayan,00013,000418,347,122,0,134,1,14
03,002,Capayan,00014,000419,313,51,0,154,8,28
03,002,Capayan,00014,000420,314,37,0,176,4,33
03,002,Capayan,00014,000421,312,52,0,160,6,26
03,002,Capayan,00014,000422,312,32,0,163,6,35
03,002,Capayan,00014,000423,311,28,0,160,8,45
03,002,Capayan,00014,000424,312,34,0,149,2,51
03,002,Capayan,00014,000425,313,40,0,157,9,42
03,002,Capayan,00014,000426,314,31,0,172,5,31
03,002,Capayan,00015,000427,189,19,0,95,5,20
03,002,Capayan,00015,000428,191,14,0,84,9,32
03,002,Capayan,00016,000429,294,12,0,126,9,72
03,002,Capayan,00016,000430,297,39,0,116,5,56
03,002,Capayan,00016,000431,297,30,0,121,9,47
03,002,Capayan,00016,000432,296,33,0,127,6,61
03,002,Capayan,00016,000433,295,44,0,124,10,57
03,002,Capayan,00016,000434,301,35,0,115,6,67
03,002,Capayan,00017,000435,41,6,0,19,2,3
03,002,Capayan,00018,000436,314,64,0,162,0,26
03,002,Capayan,00019,000437,343,65,0,175,0,30
03,002,Capayan,00020,000438,277,66,0,124,0,6
03,002,Capayan,00021,000439,276,30,0,166,2,22
03,002,Capayan,00021,000440,280,41,0,167,1,15
03,003,La Paz,00022,000441,86,9,0,47,0,7
03,003,La Paz,00023,000442,175,5,0,60,3,76
03,003,La Paz,00024,000443,269,34,0,88,9,83
03,003,La Paz,00024,000444,270,23,0,126,5,67
03,003,La Paz,00024,000445,269,33,0,114,5,64
03,003,La Paz,00024,000446,270,23,1,114,13,63
03,003,La Paz,00025,000447,341,44,6,146,4,80
03,003,La Paz,00025,000448,339,25,1,171,5,75
03,003,La Paz,00025,000449,338,39,3,171,1,72
03,003,La Paz,00025,000450,340,44,2,146,3,67
03,003,La Paz,00025,000451,339,46,0,139,1,79
03,003,La Paz,00025,000452,338,42,2,181,5,51
03,003,La Paz,00025,000453,339,31,0,153,7,79
03,003,La Paz,00025,000454,342,38,1,154,4,79
03,003,La Paz,00026,000455,287,45,0,119,8,56
03,003,La Paz,00026,000456,287,31,0,108,9,71
03,003,La Paz,00026,000457,289,42,0,132,8,52
03,003,La Paz,00027,000458,289,19,2,138,1,90
03,003,La Paz,00028,000459,273,35,0,155,2,26
03,003,La Paz,00028,000460,273,43,1,124,1,55
03,003,La Paz,00028,000461,272,36,2,118,2,50
03,003,La Paz,00028,000462,276,49,0,119,1,44
03,003,La Paz,00029,000463,330,44,4,139,8,60
03,003,La Paz,00030,000464,334,44,0,149,29,66
03,003,La Paz,00030,000465,336,35,0,127,28,76
03,003,La Paz,00030,000466,334,58,0,120,24,69
03,003,La Paz,00030,000467,335,45,0,144,24,69
03,003,La Paz,00030,000468,336,47,1,149,35,39
03,003,La Paz,00030,000469,336,44,1,139,29,61
03,003,La Paz,00030,000470,336,46,0,147,15,56
03,003,La Paz,00030,000471,336,54,3,139,25,62
03,003,La Paz,00030,000472,336,43,4,130,24,86
03,003,La Paz,00030,000473,333,34,0,143,21,69
03,003,La Paz,00030,000474,334,42,0,127,26,68
03,003,La Paz,00030,000475,337,51,1,133,26,62
03,003,La Paz,00030,000476,334,42,1,132,19,96
03,003,La Paz,00030,000477,335,48,0,130,20,77
03,003,La Paz,00030,000478,341,52,0,139,25,72
03,003,La Paz,00030,000479,337,52,0,125,19,73
03,003,La Paz,00030,000480,335,73,0,136,31,34
03,003,La Paz,00030,000481,336,42,1,139,17,82
03,003,La Paz,00030,000482,332,51,0,138,19,68
03,003,La Paz,00030,000483,336,43,0,119,24,74
03,003,La Paz,00030,000484,336,33,1,132,34,76
03,003,La Paz,00030,000485,333,46,0,146,28,55
03,003,La Paz,00030,000486,336,44,2,154,21,59
03,003,La Paz,00030,000487,336,52,0,138,29,65
03,003,La Paz,00030,000488,336,61,0,105,16,87
03,003,La Paz,00030,000489,335,37,0,156,22,65
03,003,La Paz,00030,000490,333,54,0,116,17,73
03,003,La Paz,00030,000491,334,47,0,125,21,81
03,003,La Paz,00030,000492,333,31,1,150,22,66
03,003,La Paz,00030,000493,335,46,0,140,23,72
03,003,La Paz,00030,000494,336,51,1,126,24,76
03,003,La Paz,00030,000495,334,42,0,136,16,75
03,003,La Paz,00030,000496,337,40,1,121,26,78
03,003,La Paz,00031,000497,215,20,2,91,4,62
03,003,La Paz,00031,000498,218,18,2,103,5,46
03,003,La Paz,00032,000499,312,43,0,133,1,61
03,003,La Paz,00032,000500,314,35,0,147,1,56
03,003,La Paz,00032,000501,313,38,2,165,5,39
03,003,La Paz,00032,000502,315,39,3,127,3,81
03,003,La Paz,00032,000503,311,36,0,124,0,81
03,003,La Paz,00032,000504,317,38,0,139,4,73
03,004,Ancasti,00033,000505,193,14,1,81,1,72
03,004,Ancasti,00033,000506,196,25,1,73,1,70
03,004,Ancasti,00034,000507,272,42,0,129,2,74
03,004,Ancasti,00035,000508,89,11,1,35,0,28
03,004,Ancasti,00036,000509,177,40,0,64,0,49
03,004,Ancasti,00037,000510,286,40,0,107,0,114
03,004,Ancasti,00038,000511,330,55,1,124,0,88
03,004,Ancasti,00039,000512,165,12,0,53,0,72
03,004,Ancasti,00040,000513,34,8,0,10,0,11
03,004,Ancasti,00041,000514,167,20,1,83,0,44
03,004,Ancasti,00042,000515,256,25,0,132,1,62
03,004,Ancasti,00042,000516,252,34,0,104,0,85
03,004,Ancasti,00042,000517,253,23,0,119,0,82
03,004,Ancasti,00043,000518,238,10,0,123,0,72
03,005,El Alto,00044,000519,247,63,0,110,0,49
03,005,El Alto,0044A,000520,346,55,0,193,0,82
03,005,El Alto,0044A,000521,345,74,0,157,1,91
03,005,El Alto,0044A,000522,345,64,0,188,0,61
03,005,El Alto,00045,000523,162,36,0,105,0,6
03,005,El Alto,00046,000524,308,55,0,140,8,50
03,005,El Alto,00046,000525,315,59,1,148,5,53
03,005,El Alto,00047,000526,119,14,0,76,1,5
03,005,El Alto,00048,000527,228,65,0,106,0,39
03,005,El Alto,00049,000528,192,23,0,110,5,9
03,005,El Alto,00049,000529,192,23,0,114,3,8
