codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05087,093788,0,0,28,99,26,82,14,5,1,2,6
22,001,CAPITAL,05087,093789,0,0,22,129,22,54,16,7,0,1,2
22,001,CAPITAL,05087,093790,0,0,30,96,19,92,0,8,0,2,3
22,001,CAPITAL,05087,093791,0,0,13,98,31,76,19,6,0,4,6
22,001,CAPITAL,05087,093792,0,0,33,98,25,74,0,12,0,0,2
22,001,CAPITAL,05087,093793,0,0,14,124,23,55,16,6,1,1,8
22,001,CAPITAL,05087,093794,0,0,48,83,28,63,8,1,1,6,1
22,001,CAPITAL,05087,093795,0,0,18,107,28,72,19,5,1,0,6
22,001,CAPITAL,05087,093796,0,0,21,109,23,78,9,10,0,1,6
22,001,CAPITAL,05087,093797,0,0,19,105,13,98,12,4,0,4,6
22,001,CAPITAL,05087,093798,0,0,19,95,26,68,18,6,0,4,4
22,001,CAPITAL,05087,093799,0,0,45,110,40,61,0,0,0,6,6
22,001,CAPITAL,05087,093800,0,0,24,101,26,86,15,7,0,3,11
22,001,CAPITAL,05087,093801,0,0,24,95,30,81,16,0,0,0,3
22,001,CAPITAL,05087,093802,0,0,11,118,31,59,16,7,0,2,4
22,001,CAPITAL,05087,093803,0,0,19,128,9,66,21,5,1,3,5
22,001,CAPITAL,05087,093804,0,0,19,76,20,96,16,11,1,2,11
22,001,CAPITAL,05087,093805,0,0,16,107,21,70,19,14,0,3,8
22,001,CAPITAL,05087,093806,0,0,16,108,38,65,16,5,0,3,3
22,001,CAPITAL,05088,093807,0,0,14,99,26,69,26,4,2,2,13
22,001,CAPITAL,05088,093808,0,0,15,119,32,52,20,5,1,1,4
22,001,CAPITAL,05088,093809,0,0,39,108,28,64,0,0,0,8,6
22,001,CAPITAL,05088,093810,0,0,3,99,27,94,17,6,2,4,10
22,001,CAPITAL,05088,093811,0,0,0,111,44,63,19,4,2,2,3
22,001,CAPITAL,05088,093812,0,0,0,124,36,55,15,4,0,3,8
22,001,CAPITAL,05088,093813,0,0,24,121,29,52,19,9,0,3,2
22,001,CAPITAL,05088,093814,0,0,18,115,32,61,14,4,0,1,3
22,001,CAPITAL,05088,093815,0,0,17,143,27,50,18,6,2,2,3
22,001,CAPITAL,05088,093816,0,0,15,133,22,49,12,6,2,3,2
22,001,CAPITAL,05088,093817,0,0,12,117,36,49,17,6,1,1,12
22,001,CAPITAL,05088,093818,0,0,15,129,15,61,15,6,0,2,8
22,001,CAPITAL,05088,093819,0,0,14,114,26,60,15,7,1,3,9
22,001,CAPITAL,05088,093820,0,0,16,134,22,49,22,5,0,0,4
22,001,CAPITAL,05088,093821,0,0,17,118,33,72,14,6,1,4,4
22,001,CAPITAL,05088,093822,0,0,3,132,39,42,12,4,0,3,3
22,001,CAPITAL,05088,093823,0,0,18,114,18,64,16,11,0,2,8
22,001,CAPITAL,05088,093824,0,0,20,41,6,29,12,6,133,1,5
