codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00062,00008,00005,00065,00063,00009,00002,00051,00064,00004
04,001,CAPITAL,01404,045635,0,0,10,17,12,16,53,0,29,102,1,2,0,8
04,001,CAPITAL,01404,045636,0,0,15,5,10,21,57,1,27,88,0,1,0,5
04,001,CAPITAL,01404,045637,0,0,8,13,11,18,45,0,29,98,1,1,0,10
04,001,CAPITAL,01404,045638,0,0,10,5,7,9,49,0,21,119,1,0,0,9
04,001,CAPITAL,01404,045639,0,0,11,10,6,18,48,0,26,104,2,0,0,7
04,001,CAPITAL,01404,045640,0,0,0,13,7,21,49,3,32,97,2,0,0,5
04,001,CAPITAL,01404,045641,0,0,5,20,9,15,38,1,38,96,3,1,0,5
04,001,CAPITAL,01404,045642,0,0,5,6,8,12,44,2,34,115,5,1,0,10
04,001,CAPITAL,01404,045643,0,0,6,13,10,21,39,2,24,113,3,2,0,5
04,001,CAPITAL,01404,045644,0,0,3,14,4,13,54,1,39,110,2,3,0,6
04,001,CAPITAL,01404,045645,0,0,10,13,8,16,40,2,27,113,4,0,0,9
04,001,CAPITAL,01404,045646,0,0,6,14,0,12,44,5,21,119,1,0,0,6
04,001,CAPITAL,01404,045647,0,0,4,8,8,23,43,1,30,114,2,0,0,6
04,001,CAPITAL,01404,045648,0,0,4,17,9,16,53,1,26,108,5,9,1,0
04,001,CAPITAL,01404,045649,0,0,5,8,10,20,45,2,45,92,1,0,1,7
04,001,CAPITAL,01404,045650,0,0,7,7,8,8,40,0,41,122,2,1,0,4
04,001,CAPITAL,01404,045651,0,0,6,18,9,12,63,1,18,108,3,1,2,12
04,001,CAPITAL,01404,045652,0,0,8,13,0,0,49,0,28,106,0,0,0,5
04,001,CAPITAL,01404,045653,0,0,5,5,9,17,50,0,29,118,0,1,2,9
04,001,CAPITAL,01404,045654,0,0,2,16,8,22,59,1,34,95,0,0,0,7
04,001,CAPITAL,01404,045655,0,0,9,14,15,8,53,1,31,125,1,0,0,6
04,001,CAPITAL,01404,045656,0,0,9,12,7,18,41,1,30,111,7,0,1,7
04,001,CAPITAL,01404,045657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,001,CAPITAL,01404,045658,0,0,1,13,23,16,39,1,26,109,4,0,1,8
04,001,CAPITAL,01404,045659,0,0,6,13,12,16,52,2,26,101,5,0,0,8
04,001,CAPITAL,01404,045660,0,0,4,10,9,22,50,2,27,104,4,1,0,11
04,001,CAPITAL,01404,045661,0,0,7,13,7,15,49,2,31,99,2,4,1,8
04,001,CAPITAL,01404,045662,0,0,5,17,7,14,48,2,33,114,2,2,0,8
04,001,CAPITAL,01404,045663,0,0,3,5,10,12,42,1,31,120,2,1,0,6
04,001,CAPITAL,01404,045664,0,0,7,16,14,9,57,2,16,104,2,3,0,10
04,001,CAPITAL,01404,045665,0,0,9,8,14,21,35,2,27,114,0,2,0,9
04,001,CAPITAL,01404,045666,0,0,1,10,15,14,53,0,25,109,1,0,0,8
04,001,CAPITAL,01404,045667,0,0,7,8,10,16,44,0,29,96,1,2,0,10
04,001,CAPITAL,01404,045668,0,0,5,18,8,13,49,1,27,96,5,1,0,11
04,001,CAPITAL,01404,045669,0,0,5,14,11,17,58,2,18,97,1,1,1,8
04,001,CAPITAL,01404,045670,0,0,9,11,6,12,34,2,28,124,3,0,0,11
04,001,CAPITAL,01404,045671,0,0,1,12,6,18,54,1,34,99,3,0,0,18
04,001,CAPITAL,01405,045672,0,0,8,7,20,9,47,3,16,104,7,1,0,7
04,001,CAPITAL,01405,045673,0,0,5,15,17,16,40,2,17,105,2,1,0,0
04,001,CAPITAL,01405,045674,0,0,9,14,15,22,34,2,32,99,4,0,0,8
04,001,CAPITAL,01405,045675,0,0,8,9,3,16,49,6,26,114,3,2,0,5
04,001,CAPITAL,01405,045676,0,0,10,18,4,16,38,0,27,110,5,0,0,9
04,001,CAPITAL,01405,045677,0,0,2,16,8,8,43,4,37,114,0,1,2,2
04,001,CAPITAL,01405,045678,0,0,0,7,11,19,39,1,20,115,3,0,0,4
04,001,CAPITAL,01405,045679,0,0,1,14,9,14,42,3,12,144,0,0,0,7
04,001,CAPITAL,01405,045680,0,0,3,6,6,7,49,1,20,118,3,0,0,8
04,001,CAPITAL,01405,045681,0,0,4,7,10,18,54,2,25,106,5,0,0,8
04,001,CAPITAL,01405,045682,0,0,5,11,8,10,33,2,29,134,5,2,0,9
04,001,CAPITAL,01405,045683,0,0,5,20,11,8,29,3,26,118,1,2,0,5
04,001,CAPITAL,01405,045684,0,0,5,7,16,16,38,2,22,115,0,3,0,10
04,001,CAPITAL,01405,045685,0,0,3,18,10,10,49,2,27,102,3,0,0,9
04,001,CAPITAL,01405,045686,0,0,5,14,16,14,33,0,24,124,6,0,0,6
04,001,CAPITAL,01405,045687,0,0,9,13,16,17,49,1,28,117,1,1,0,4
04,001,CAPITAL,01405,045688,0,0,7,10,12,13,44,2,20,119,1,1,0,4
04,001,CAPITAL,01405,045689,0,0,6,10,11,18,35,2,25,110,5,0,0,6
04,001,CAPITAL,01405,045690,0,0,12,8,20,7,42,3,30,125,3,1,0,6
04,001,CAPITAL,01405,045691,0,0,42,12,11,12,45,3,25,114,0,0,0,9
04,001,CAPITAL,01405,045692,0,0,1,12,8,9,45,2,25,128,0,0,0,9
04,001,CAPITAL,01405,045693,0,0,9,10,14,14,41,1,18,115,7,0,0,10
04,001,CAPITAL,01405,045694,0,0,10,13,7,12,37,1,26,20,1,0,0,9
04,001,CAPITAL,01405,045695,0,0,6,12,8,15,63,0,10,103,3,0,0,10
04,001,CAPITAL,01405,045696,0,0,6,8,12,20,39,0,25,114,5,0,0,6
04,001,CAPITAL,01405,045697,0,0,2,20,6,19,28,0,22,109,3,0,0,7
04,001,CAPITAL,01405,045698,0,0,5,11,12,18,39,0,22,116,3,0,0,9
04,001,CAPITAL,01405,045699,0,0,1,11,8,12,43,4,35,4,7,0,0,4
04,001,CAPITAL,01405,045700,0,0,6,11,5,16,37,1,21,108,4,0,0,12
04,001,CAPITAL,01405,045701,0,0,7,10,9,14,37,1,17,109,3,3,0,12
04,001,CAPITAL,01405,045702,0,0,6,11,11,10,34,2,20,108,1,1,1,13
04,001,CAPITAL,01405,045703,0,0,15,10,5,14,39,2,21,107,5,2,0,12
04,001,CAPITAL,01405,045704,0,0,0,10,10,25,47,2,20,102,4,0,0,11
04,001,CAPITAL,01405,045705,0,0,8,9,11,18,47,30,0,117,2,0,1,5
04,001,CAPITAL,01405,045706,0,0,1,7,8,12,46,0,22,118,5,0,1,9
04,001,CAPITAL,01405,045707,0,0,3,7,7,17,43,0,24,119,6,0,0,10
04,001,CAPITAL,01405,045708,0,0,3,18,8,15,42,3,18,110,3,0,0,5
04,001,CAPITAL,01405,045709,0,0,5,9,13,13,41,0,32,121,2,1,1,9
04,001,CAPITAL,01405,045710,0,0,0,19,20,9,40,0,25,95,3,0,0,10
04,001,CAPITAL,01405,045711,0,0,5,13,15,22,42,1,22,128,0,1,0,7
04,001,CAPITAL,01405,045712,0,0,6,16,15,0,44,3,24,104,1,1,0,8
04,001,CAPITAL,01405,045713,0,0,3,15,13,14,42,0,22,116,3,1,0,8
04,001,CAPITAL,01405,045714,0,0,2,9,12,13,47,2,28,97,4,0,0,9
04,001,CAPITAL,01405,045715,0,0,1,16,7,17,48,5,19,120,5,0,0,9
04,001,CAPITAL,01405,045716,0,0,4,9,11,22,35,0,21,132,2,2,0,9
04,001,CAPITAL,01405,045717,0,0,8,9,4,14,32,0,26,126,1,0,0,10
04,001,CAPITAL,01405,045718,0,0,0,9,9,11,43,3,28,116,4,0,0,6
04,001,CAPITAL,01405,045719,0,0,3,9,5,15,39,2,19,119,6,0,0,10
04,001,CAPITAL,01405,045720,0,0,3,16,17,18,42,1,33,103,4,0,0,8
04,001,CAPITAL,01405,045721,0,0,5,10,8,10,56,1,25,111,5,0,0,6
04,001,CAPITAL,01405,045722,0,0,4,12,10,11,45,5,31,102,2,0,0,10
04,001,CAPITAL,01405,045723,0,0,2,20,8,8,34,2,25,124,3,0,0,9
04,001,CAPITAL,01405,045724,0,0,9,13,12,13,47,0,23,107,3,0,0,7
04,001,CAPITAL,01405,045725,0,0,4,5,8,13,50,1,27,120,5,0,0,8
04,001,CAPITAL,01405,045726,0,0,5,7,14,13,49,18,18,100,3,0,0,10
04,001,CAPITAL,01405,045727,0,0,7,7,7,9,59,0,22,121,0,1,0,3
04,001,CAPITAL,01405,045728,0,0,0,6,6,10,50,2,23,104,1,0,0,6
04,001,CAPITAL,01405,045729,0,0,4,8,13,13,47,1,17,113,1,1,0,7
04,001,CAPITAL,01405,045730,0,0,4,9,9,16,45,0,24,107,1,0,0,10
04,001,CAPITAL,01405,045731,0,0,10,17,7,12,55,8,25,108,2,0,0,8
04,001,CAPITAL,01405,045732,0,0,3,13,7,11,27,0,24,131,3,1,0,7
04,001,CAPITAL,01405,045733,0,0,4,8,8,10,33,1,19,147,2,0,0,10
