codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00011,00009,00059,00012,00013,00006,00018,00017,00058
02,003,ALMIRANTE BROWN,00180,007564,0,0,7,29,9,77,1,143,0,0,1,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007565,0,0,16,28,11,75,1,124,0,1,0,2,0,0,0
02,003,ALMIRANTE BROWN,00180,007566,0,0,13,31,12,65,0,157,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007567,0,0,15,37,15,68,0,142,0,3,1,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007568,0,0,21,17,13,76,1,149,0,2,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007569,0,0,20,19,17,54,2,143,0,1,1,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007570,0,0,22,23,12,82,0,125,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007571,0,0,17,30,8,61,1,154,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007572,0,0,17,29,11,59,0,143,0,8,0,0,0,1,0
02,003,ALMIRANTE BROWN,00180,007573,0,0,14,26,14,78,1,131,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007574,0,0,10,21,21,81,1,134,0,5,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007575,0,0,19,22,14,76,2,143,0,5,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007577,0,0,11,20,6,66,0,159,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007578,0,0,11,25,21,78,1,139,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007579,0,0,13,22,11,77,1,149,0,5,2,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007580,0,0,26,35,10,68,4,139,0,8,0,2,0,1,0
02,003,ALMIRANTE BROWN,00180,007581,0,0,16,23,12,85,0,152,0,4,0,0,0,0,0
