codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,001,Ushuaia,05662,098213,0,0,9,19,4,15,5,5,6
24,001,Ushuaia,05663,098214,0,0,27,87,16,38,13,17,34
24,001,Ushuaia,05663,098215,0,0,18,96,16,35,3,9,36
24,001,Ushuaia,05663,098216,0,0,23,70,24,50,7,13,28
24,001,Ushuaia,05663,098217,0,0,22,80,22,38,0,19,38
24,001,Ushuaia,05663,098218,0,0,19,100,16,38,6,11,29
24,001,Ushuaia,05663,098219,0,0,25,90,17,48,7,16,18
24,001,Ushuaia,05663,098220,0,0,22,81,16,42,6,22,24
24,001,Ushuaia,05663,098221,0,0,26,88,17,42,6,16,18
24,001,Ushuaia,05663,098222,0,0,30,80,22,46,6,10,25
24,001,Ushuaia,05663,098223,0,0,21,107,14,38,5,11,30
24,001,Ushuaia,05663,098224,0,0,21,81,20,50,3,8,38
24,001,Ushuaia,05663,098225,0,0,19,88,14,47,3,13,26
24,001,Ushuaia,05663,098226,0,0,35,70,19,62,10,11,25
24,001,Ushuaia,05663,098227,0,0,16,93,23,39,11,11,23
24,001,Ushuaia,05663,098228,0,0,18,88,15,58,10,7,30
24,001,Ushuaia,05663,098229,0,0,28,83,23,44,5,9,24
24,001,Ushuaia,05663,098230,0,0,21,86,19,46,7,8,33
24,001,Ushuaia,05663,098231,0,0,15,91,16,39,6,10,29
24,001,Ushuaia,05663,098232,0,0,32,96,12,41,7,12,19
24,001,Ushuaia,05663,098233,0,0,28,85,21,49,3,11,24
24,001,Ushuaia,05663,098234,0,0,13,38,4,24,4,8,10
24,001,Ushuaia,05664,098235,0,0,30,97,11,45,6,17,35
24,001,Ushuaia,05664,098236,0,0,22,95,16,41,8,23,29
24,001,Ushuaia,05664,098237,0,0,27,103,18,38,7,13,31
24,001,Ushuaia,05664,098238,0,0,29,104,13,30,7,10,36
24,001,Ushuaia,05664,098239,0,0,18,109,19,47,4,17,32
24,001,Ushuaia,05664,098240,0,0,18,102,18,56,11,12,26
24,001,Ushuaia,05664,098241,0,0,28,104,21,29,7,18,27
24,001,Ushuaia,05664,098242,0,0,8,18,7,19,1,4,2
24,001,Ushuaia,05664,101399,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05665,098243,0,0,27,67,20,50,8,13,24
24,001,Ushuaia,05665,098244,0,0,19,75,17,47,6,18,31
24,001,Ushuaia,05665,098245,0,0,19,77,22,49,11,20,29
24,001,Ushuaia,05665,098246,0,0,23,87,21,55,11,11,24
24,001,Ushuaia,05665,098247,0,0,17,71,26,57,8,11,28
24,001,Ushuaia,05665,098248,0,0,19,73,15,71,9,19,24
24,001,Ushuaia,05665,098249,0,0,13,73,25,66,6,16,21
24,001,Ushuaia,05665,098250,0,0,28,75,22,56,5,21,24
24,001,Ushuaia,05665,098251,0,0,25,79,16,57,8,15,20
24,001,Ushuaia,05665,098252,0,0,20,77,25,61,6,13,30
24,001,Ushuaia,05665,098253,0,0,30,79,13,46,6,9,28
24,001,Ushuaia,05665,098254,0,0,13,65,19,56,11,17,21
24,001,Ushuaia,05665,098255,0,0,10,62,12,30,4,12,25
24,001,Ushuaia,05666,098256,0,0,13,37,9,36,6,12,14
24,002,Río Grande,05667,098257,0,0,30,83,23,32,10,6,50
24,002,Río Grande,05667,098258,0,0,20,110,16,17,3,9,47
24,002,Río Grande,05667,098259,0,0,27,94,15,24,2,5,65
24,002,Río Grande,05667,098260,0,0,31,82,18,40,6,5,56
24,002,Río Grande,05667,098261,0,0,26,73,24,38,5,10,66
24,002,Río Grande,05667,098262,0,0,31,85,23,35,2,8,63
24,002,Río Grande,05667,098263,0,0,35,84,15,33,0,6,56
24,002,Río Grande,05667,098264,0,0,16,80,12,48,8,6,48
24,002,Río Grande,05667,098265,0,0,25,85,8,43,8,7,53
24,002,Río Grande,05667,098266,0,0,28,76,26,45,4,9,47
24,002,Río Grande,05667,098267,0,0,22,79,10,52,5,8,45
24,002,Río Grande,05667,098268,0,0,29,77,18,31,6,7,61
24,002,Río Grande,05667,098269,0,0,10,94,28,37,6,8,37
24,002,Río Grande,05667,098270,0,0,23,102,15,31,3,6,49
24,002,Río Grande,05667,098271,0,0,25,83,16,36,11,4,48
24,002,Río Grande,05667,098272,0,0,25,75,24,48,4,5,39
24,002,Río Grande,05667,098273,0,0,20,83,18,44,4,9,58
24,002,Río Grande,05667,098274,0,0,25,72,21,41,5,11,51
24,002,Río Grande,05667,098275,0,0,27,62,14,45,5,7,56
24,002,Río Grande,05667,098276,0,0,28,88,19,32,9,5,46
24,002,Río Grande,05667,098277,0,0,19,94,17,38,6,5,40
24,002,Río Grande,05667,098278,0,0,17,96,18,22,4,10,62
