codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0006 ,0076,323,2,5,0,4,2,540,0,10,3,2,18,2,56,29,104,7
23,Capital,001,0006 ,0077,323,1,7,0,1,5,540,2,11,5,3,15,2,41,18,103,10
23,Capital,001,0006 ,0078,323,1,0,0,2,0,540,0,12,4,2,18,0,46,32,98,7
23,Capital,001,0006 ,0079,323,2,5,1,6,3,540,0,14,2,3,18,0,44,22,101,4
23,Capital,001,0006 ,0080,322,3,3,1,2,1,540,1,10,6,2,14,1,49,22,105,9
23,Capital,001,0006 ,0081,322,2,5,1,4,2,540,0,10,1,1,28,1,45,26,111,8
23,Capital,001,0006 ,0082,322,2,3,1,2,4,540,0,17,3,3,20,2,47,20,96,9
23,Capital,001,0006 ,0083,322,3,3,0,5,6,540,2,13,3,1,22,1,48,28,99,7
23,Capital,001,0006 ,1629,302,2,4,1,3,2,540,0,11,4,2,14,0,51,27,91,9
23,Capital,001,0006 ,1630,302,3,3,2,3,5,540,0,13,3,3,16,1,37,33,85,3
23,Capital,001,0006 ,1631,302,4,2,0,2,2,540,1,15,3,2,15,0,58,25,90,10
23,Capital,001,0006 ,1632,302,4,3,0,8,5,540,0,11,4,3,26,1,36,20,87,8
23,Capital,001,0006 ,1633,302,2,1,3,2,2,540,1,14,4,2,15,0,33,30,104,9
23,Capital,001,0006 ,1634,302,1,1,0,4,2,540,1,7,2,2,23,1,39,34,90,9
23,Capital,001,0006 ,1635,302,8,1,1,5,3,540,0,15,2,1,17,1,34,30,92,10
23,Capital,001,0007 ,0084,332,1,2,1,4,3,540,0,9,6,0,18,1,65,33,86,4
23,Capital,001,0007 ,0085,332,0,6,0,8,4,540,0,20,3,4,28,0,64,14,73,12
23,Capital,001,0007 ,0086,332,2,2,1,5,0,540,0,10,1,2,23,1,62,30,76,8
23,Capital,001,0007 ,0087,332,6,11,1,3,3,540,0,11,5,5,19,1,83,17,75,6
23,Capital,001,0007 ,0088,332,7,3,0,8,1,540,1,10,6,1,27,2,64,26,76,10
23,Capital,001,0007 ,0089,332,2,2,0,3,1,540,0,10,2,3,24,0,73,25,67,17
23,Capital,001,0007 ,0090,331,3,4,3,5,3,540,2,19,1,3,29,0,70,20,68,7
23,Capital,001,0007 ,0091,331,1,2,0,11,2,540,0,10,5,2,18,1,78,22,72,8
23,Capital,001,0007 ,1636,332,7,1,1,4,3,540,1,10,7,5,18,1,42,40,77,4
23,Capital,001,0007 ,1637,331,4,10,2,5,1,540,1,17,1,8,33,1,53,36,44,9
23,Capital,001,0007 ,1638,331,6,6,1,3,1,540,1,20,2,1,13,0,69,30,67,7
23,Capital,001,0007 ,1639,331,5,5,2,7,3,540,2,14,3,2,22,1,68,35,60,8
23,Capital,001,0007 ,1640,331,6,3,1,2,3,540,1,21,6,2,25,0,56,26,80,8
23,Capital,001,0007 ,1641,331,0,3,6,11,7,540,3,18,3,4,21,1,60,23,74,6
23,Capital,001,0007 ,1642,331,4,5,1,10,1,540,3,17,7,4,21,2,58,28,77,9
23,Capital,001,0007A,0092,325,1,5,0,3,3,540,0,16,3,4,22,0,87,23,63,7
23,Capital,001,0007A,0093,325,0,7,0,2,4,540,0,10,2,0,29,0,78,27,73,13
23,Capital,001,0007A,0094,324,1,7,2,3,1,540,2,6,5,4,20,1,77,22,69,8
23,Capital,001,0007A,0095,324,5,5,0,5,2,540,2,16,1,1,21,1,75,15,71,9
23,Capital,001,0007A,0096,324,5,6,2,4,1,540,1,6,6,4,30,1,63,22,80,13
23,Capital,001,0007A,0097,324,2,8,1,4,4,540,0,13,6,4,31,0,76,18,74,8
23,Capital,001,0007A,0098,324,0,4,1,8,2,540,1,16,2,2,32,3,69,16,62,11
23,Capital,001,0007A,0099,324,3,6,2,5,3,540,0,6,3,3,22,1,60,21,67,15
23,Capital,001,0007A,0100,324,3,4,0,4,1,540,4,9,2,6,26,0,78,14,68,11
23,Capital,001,0007A,0101,324,4,2,0,2,0,540,2,14,1,1,29,1,73,21,72,5
23,Capital,001,0007A,0102,324,0,6,1,0,3,540,1,10,5,0,30,1,88,25,62,5
23,Capital,001,0007A,1643,340,5,2,3,6,1,540,0,24,6,3,24,0,78,38,52,7
23,Capital,001,0007A,1644,340,5,6,0,6,2,540,3,9,2,1,24,1,77,28,70,6
23,Capital,001,0007A,1645,339,4,13,1,8,2,540,1,9,4,3,23,1,64,22,69,9
23,Capital,001,0007A,1646,339,5,6,0,3,3,540,0,19,4,4,15,0,71,34,73,5
23,Capital,001,0007A,1647,339,7,0,0,6,2,540,3,16,3,1,26,3,78,30,77,10
23,Capital,001,0007A,1648,339,0,6,0,3,3,540,0,17,3,4,28,0,69,24,77,9
23,Capital,001,0007A,1649,339,1,4,1,10,5,540,2,13,3,2,26,1,72,35,65,11
23,Capital,001,0007A,1650,339,4,10,0,2,4,540,0,15,1,6,23,2,77,44,56,6
