codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0003 ,0061,315,3,0,1,0,0,0,1,2,3,0,0,0,6,2,25,0,16,158
01,Comuna 01,001,0003 ,0062,315,1,0,1,0,2,0,0,0,3,0,0,1,7,1,30,0,13,174
01,Comuna 01,001,0003 ,0063,315,4,0,0,0,0,0,0,0,1,1,0,1,9,3,21,1,20,171
01,Comuna 01,001,0003 ,0064,315,1,0,1,0,0,2,0,0,5,0,1,3,6,0,14,0,23,176
01,Comuna 01,001,0003 ,0065,315,0,0,0,1,2,0,0,1,6,0,0,0,2,4,31,0,15,165
01,Comuna 01,001,0003 ,0066,314,1,0,0,0,1,0,0,0,3,0,0,5,7,0,32,0,16,172
01,Comuna 01,001,0003 ,0067,314,0,0,0,1,0,0,0,1,1,0,0,5,2,0,23,0,16,174
01,Comuna 01,001,0004 ,0068,308,3,0,0,0,0,0,0,0,1,0,0,1,6,0,19,2,25,158
01,Comuna 01,001,0004 ,0069,308,4,0,0,0,0,0,0,0,6,1,1,1,5,0,27,0,11,176
01,Comuna 01,001,0004 ,0070,307,2,0,0,0,0,0,0,0,3,0,1,3,0,0,21,1,19,163
01,Comuna 01,001,0004 ,0071,308,1,1,2,1,1,1,0,0,2,1,0,0,2,2,17,0,15,166
01,Comuna 01,001,0004 ,0072,308,1,2,0,1,0,0,0,0,2,1,0,0,7,0,23,1,16,168
01,Comuna 01,001,0004 ,0073,307,2,0,0,1,0,0,0,0,4,0,0,1,6,1,27,0,17,153
01,Comuna 01,001,0004 ,0074,307,1,1,3,0,0,0,0,0,5,0,0,2,5,1,25,1,14,154
01,Comuna 01,001,0005 ,0075,347,2,4,0,3,1,0,0,0,2,1,0,6,6,28,34,1,59,58
01,Comuna 01,001,0005 ,0076,347,2,3,0,0,1,0,0,0,3,0,1,11,13,35,23,6,76,49
01,Comuna 01,001,0005 ,0077,347,1,5,1,0,2,0,0,1,1,1,0,13,5,21,27,2,89,42
01,Comuna 01,001,0005 ,0078,346,6,3,0,0,4,3,0,0,0,1,1,4,4,19,22,3,73,56
01,Comuna 01,001,0005 ,0079,347,3,3,2,0,3,1,1,0,2,0,0,14,14,16,34,3,79,44
01,Comuna 01,001,0005 ,0080,348,3,6,0,0,0,1,0,0,4,2,0,7,2,13,36,0,98,57
