codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0038,0045,0187,0188,0243,0325,0326,0327,0328,0329
10,General Belgrano                        ,001,0008 ,0089,393,54,0,2,2,3,0,71,3,1,27,27,26,7,77
10,General Belgrano                        ,001,0008 ,0090,393,0,0,3,2,3,0,72,4,8,17,41,16,15,85
10,General Belgrano                        ,001,0008 ,0091,393,41,13,0,0,0,1,82,0,4,26,37,19,13,65
10,General Belgrano                        ,001,0008 ,0092,393,43,10,0,2,2,0,73,0,3,24,34,14,9,77
10,General Belgrano                        ,001,0008 ,0093,393,0,0,0,0,3,0,58,0,4,33,38,27,12,69
10,General Belgrano                        ,001,0008 ,0094,393,35,16,1,0,2,1,83,0,1,17,51,20,10,67
10,General Belgrano                        ,001,0008 ,0095,393,0,0,1,1,2,0,67,0,4,14,40,22,10,70
10,General Belgrano                        ,001,0008 ,0096,393,2,51,1,0,2,1,73,0,6,21,43,27,6,79
10,General Belgrano                        ,001,0008 ,0097,393,43,9,2,2,3,0,73,1,6,15,42,19,6,86
10,General Belgrano                        ,001,0008 ,0098,393,0,0,2,1,4,1,80,0,4,18,53,16,10,66
10,General Belgrano                        ,001,0008 ,0099,393,0,0,0,2,3,0,83,0,3,10,41,25,5,87
10,General Belgrano                        ,001,0008 ,0100,393,42,6,2,1,1,0,67,0,2,19,52,14,6,81
10,General Belgrano                        ,001,0008 ,0101,393,31,17,2,5,7,1,83,0,2,18,36,24,9,67
10,General Belgrano                        ,001,0008 ,0102,393,0,0,3,2,2,0,77,1,2,15,36,25,13,76
10,General Belgrano                        ,001,0008 ,0103,393,43,4,3,0,6,0,82,0,2,16,45,18,10,81
10,General Belgrano                        ,001,0008 ,0104,393,35,4,2,4,5,0,63,0,2,19,38,30,7,82
10,General Belgrano                        ,001,0008 ,0674,396,2,1,4,1,1,0,57,2,5,22,47,11,6,69
10,General Belgrano                        ,001,0008 ,0675,396,29,7,2,0,2,0,62,1,3,18,39,16,16,76
10,General Belgrano                        ,001,0008 ,0676,396,0,0,0,3,4,2,80,2,2,14,45,14,8,63
10,General Belgrano                        ,001,0008 ,0677,396,33,5,0,3,4,1,67,2,3,18,39,23,8,75
10,General Belgrano                        ,001,0008 ,0678,396,4,0,2,5,0,0,53,3,3,17,46,14,14,71
10,General Belgrano                        ,001,0008 ,0679,396,0,0,0,1,6,1,66,0,2,15,38,24,17,48
10,General Belgrano                        ,001,0008 ,0680,396,0,0,2,0,3,0,69,0,3,7,46,18,11,71
10,General Belgrano                        ,001,0008 ,0681,396,0,0,3,0,5,1,68,0,3,19,38,27,14,59
10,General Belgrano                        ,001,0008 ,0682,395,32,10,1,1,6,1,73,1,3,22,41,17,9,63
10,General Belgrano                        ,001,0008 ,0683,395,0,0,1,6,3,0,66,8,1,15,38,17,3,66
10,General Belgrano                        ,001,0008 ,0684,395,8,12,0,0,6,1,66,0,2,12,72,24,6,74
10,General Belgrano                        ,001,0008 ,0685,395,0,0,0,0,4,1,68,1,3,11,38,14,13,60
10,General Belgrano                        ,001,0008 ,0686,395,19,3,0,4,3,1,86,3,2,14,40,11,16,70
10,General Belgrano                        ,001,0008 ,0687,395,0,0,3,0,1,2,64,6,4,17,51,19,10,63
10,General Belgrano                        ,001,0008 ,0688,395,28,4,0,4,2,0,64,1,3,15,37,15,12,78
10,General Belgrano                        ,001,0008 ,0689,395,256,0,5,0,5,1,73,2,7,13,47,24,3,76
10,General Belgrano                        ,001,0008 ,0690,395,23,2,0,2,4,3,69,2,0,14,45,26,7,59
10,General Belgrano                        ,001,0008 ,0691,395,36,9,2,1,3,1,68,4,6,21,44,17,8,72
10,General Belgrano                        ,001,0008 ,0692,395,39,13,1,1,7,2,57,2,4,15,36,25,7,70
10,General Belgrano                        ,001,0008 ,0693,395,0,0,1,0,1,1,107,3,2,22,30,25,6,53
10,General Belgrano                        ,001,0008 ,0694,395,28,7,2,1,5,0,84,0,0,18,51,14,7,69
10,General Belgrano                        ,001,0008 ,0695,395,29,7,2,1,2,0,67,0,2,10,39,20,3,91
10,General Belgrano                        ,001,0008 ,0696,395,0,3,1,1,2,1,80,0,9,21,38,14,10,64
10,General Belgrano                        ,001,0008 ,0697,395,0,0,2,2,2,2,74,1,4,11,35,17,5,70
10,General Belgrano                        ,001,0008 ,0698,395,0,0,2,2,4,0,75,3,2,15,31,21,8,63
10,General Belgrano                        ,001,0008 ,0699,395,0,0,1,0,6,1,69,0,1,10,21,20,12,69
10,General Belgrano                        ,001,0008 ,0700,395,3,5,2,2,8,1,54,1,6,14,41,21,19,63
10,General Belgrano                        ,001,0008 ,0701,395,32,9,2,0,0,0,71,0,1,19,50,25,11,64
10,General Belgrano                        ,001,0008 ,0702,395,0,0,1,2,4,0,44,0,4,11,56,32,15,65
