codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0548
09,Formosa,001,0003 ,0583,430,3,4,143,141
09,Formosa,001,0003 ,0584,429,10,9,150,134
09,Formosa,001,0003 ,0585,429,12,6,147,138
09,Formosa,001,0003 ,0586,429,25,6,138,132
09,Formosa,001,0003 ,0587,429,5,13,150,158
09,Formosa,001,0003 ,0588,429,15,3,153,123
09,Formosa,001,0003 ,0589,429,1,4,145,135
09,Formosa,001,0003 ,0590,429,6,0,130,148
09,Formosa,001,0003 ,0591,429,12,5,157,147
09,Formosa,001,0003 ,0592,429,12,7,130,136
09,Formosa,001,0003 ,0593,429,1,8,179,113
09,Formosa,001,0003 ,0594,429,17,10,137,136
09,Formosa,001,0004 ,0092,422,9,3,164,128
09,Formosa,001,0004 ,0093,422,16,5,124,146
09,Formosa,001,0004 ,0094,422,7,3,141,146
09,Formosa,001,0004 ,0095,422,30,3,141,134
09,Formosa,001,0004 ,0096,422,6,5,162,132
09,Formosa,001,0004 ,0097,422,1,11,0,0
09,Formosa,001,0004 ,0098,422,35,3,138,132
09,Formosa,001,0004 ,0099,422,14,8,155,137
09,Formosa,001,0004 ,0100,422,16,3,143,140
09,Formosa,001,0004 ,0101,422,18,6,157,141
09,Formosa,001,0004 ,0102,422,11,5,160,148
09,Formosa,001,0004 ,0103,422,13,5,151,138
09,Formosa,001,0004 ,0104,422,3,3,137,160
09,Formosa,001,0004 ,0105,422,8,5,113,159
09,Formosa,001,0004 ,0106,422,5,8,161,117
09,Formosa,001,0004 ,0107,422,2,10,133,157
09,Formosa,001,0004 ,0108,422,11,8,171,142
09,Formosa,001,0004 ,0109,422,3,4,167,144
09,Formosa,001,0004 ,0110,422,0,4,122,167
09,Formosa,001,0004 ,0111,422,12,6,157,133
09,Formosa,001,0004 ,0112,422,3,3,142,152
09,Formosa,001,0004 ,0113,422,3,11,148,130
09,Formosa,001,0004 ,0114,422,13,3,154,157
09,Formosa,001,0004 ,0115,422,11,6,159,146
09,Formosa,001,0004 ,0116,421,12,9,151,149
09,Formosa,001,0004 ,0117,421,6,9,133,160
09,Formosa,001,0004 ,0595,435,4,8,134,138
09,Formosa,001,0004 ,0596,435,9,7,159,115
09,Formosa,001,0004 ,0597,435,21,5,138,129
09,Formosa,001,0004 ,0598,435,10,7,139,153
09,Formosa,001,0004 ,0599,435,12,6,150,134
09,Formosa,001,0004 ,0600,435,15,7,129,146
09,Formosa,001,0004 ,0601,435,10,13,134,143
09,Formosa,001,0004 ,0602,435,4,7,134,146
09,Formosa,001,0004 ,0603,435,11,9,138,132
09,Formosa,001,0004 ,0604,435,17,2,131,146
09,Formosa,001,0004 ,0605,435,14,7,124,139
09,Formosa,001,0004 ,0606,435,13,5,141,144
09,Formosa,001,0004 ,0607,435,8,2,137,142
09,Formosa,001,0004 ,0608,435,19,3,136,149
09,Formosa,001,0004 ,0609,435,13,11,167,124
09,Formosa,001,0004 ,0610,435,16,5,152,135
09,Formosa,001,0004 ,0611,435,12,3,150,151
09,Formosa,001,0004 ,0612,435,8,8,139,143
09,Formosa,001,0004 ,0613,435,16,9,153,116
09,Formosa,001,0004 ,0614,435,15,4,138,136
09,Formosa,001,0004 ,0615,435,19,9,147,133
09,Formosa,001,0004 ,0616,435,13,3,0,0
09,Formosa,001,0004 ,0617,434,8,10,156,134
09,Formosa,001,0005 ,0118,423,16,12,195,92
09,Formosa,001,0005 ,0119,423,16,11,191,105
