codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00039,00050,00108
21,002,Caseros,04600,084194,0,0,9,28,6,72,0,145,9
21,002,Caseros,04600,084195,0,0,6,34,4,83,0,144,5
21,002,Caseros,04600,084196,0,0,1,17,4,104,0,123,3
21,002,Caseros,04600,084197,0,0,10,24,5,80,0,168,2
21,002,Caseros,04600,084198,0,0,6,18,3,76,0,174,5
21,002,Caseros,04600,084199,0,0,0,7,5,42,0,58,0
21,002,Caseros,04601,084200,0,0,18,38,9,92,0,137,4
21,002,Caseros,04601,084201,0,0,15,42,4,97,0,133,2
21,002,Caseros,04601,084202,0,0,12,37,4,84,0,142,3
21,002,Caseros,04601,084203,0,0,3,12,4,72,0,71,3
21,002,Caseros,04601,084204,0,0,5,30,2,51,0,76,0
21,002,Caseros,04602,084205,0,0,8,15,7,105,0,136,6
21,002,Caseros,04602,084206,0,0,8,27,6,83,0,156,5
21,002,Caseros,04602,084207,0,0,7,34,3,100,0,140,2
21,002,Caseros,04602,084208,0,0,6,14,7,103,0,156,1
21,002,Caseros,04602,084209,0,0,11,15,3,74,0,123,3
21,002,Caseros,04603,084210,0,0,3,22,4,77,0,165,6
21,002,Caseros,04603,084211,0,0,10,27,4,78,0,155,8
21,002,Caseros,04603,084212,0,0,17,25,3,88,0,143,9
21,002,Caseros,04603,084213,0,0,1,22,4,78,0,154,6
21,002,Caseros,04603,084214,0,0,5,21,4,94,0,133,9
21,002,Caseros,04603,084215,0,0,5,19,1,78,0,168,6
21,002,Caseros,04603,084216,0,0,1,7,4,19,0,40,0
21,002,Caseros,04604,084217,0,0,13,34,3,64,0,172,1
21,002,Caseros,04604,084218,0,0,5,23,7,63,0,176,5
21,002,Caseros,04604,084219,0,0,2,26,9,70,0,172,5
21,002,Caseros,04604,084220,0,0,3,21,3,73,0,190,3
21,002,Caseros,04604,084221,0,0,14,29,5,72,0,169,7
21,002,Caseros,04604,084223,0,0,8,20,2,94,0,166,8
21,002,Caseros,04604,084224,0,0,14,25,3,102,0,131,4
21,002,Caseros,04604,084225,0,0,6,20,1,91,0,171,7
21,002,Caseros,04604,084226,0,0,10,24,5,69,0,164,8
21,002,Caseros,04604,084227,0,0,6,22,5,70,0,163,6
21,002,Caseros,04604,084228,0,0,4,22,6,88,0,167,5
21,002,Caseros,04604,084229,0,0,10,19,6,61,0,178,3
21,002,Caseros,04604,084230,0,0,11,29,5,104,0,131,8
21,002,Caseros,04604,084231,0,0,1,26,3,65,0,164,7
21,002,Caseros,04604,084232,0,0,8,24,4,79,0,171,3
21,002,Caseros,04604,084233,0,0,1,21,6,80,0,142,5
21,002,Caseros,04605,084234,0,0,5,36,6,93,0,135,4
21,002,Caseros,04605,084235,0,0,5,40,5,91,0,150,5
21,002,Caseros,04605,084236,0,0,7,34,2,96,0,136,4
21,002,Caseros,04605,084237,0,0,9,40,5,97,0,118,8
21,002,Caseros,04605,084238,0,0,4,19,2,54,0,67,3
21,002,Caseros,04606,084239,0,0,0,0,0,1,0,1,0
21,002,Caseros,04607,084240,0,0,6,19,6,132,0,105,2
21,002,Caseros,04607,084241,0,0,18,28,11,106,0,106,11
21,002,Caseros,04607,084242,0,0,14,27,3,116,0,112,4
21,002,Caseros,04607,084243,0,0,13,25,7,114,0,105,4
21,002,Caseros,04607,084244,0,0,4,37,8,97,0,134,2
21,002,Caseros,04607,084245,0,0,20,35,8,96,0,105,4
21,002,Caseros,04607,084246,0,0,9,30,5,89,0,134,9
21,002,Caseros,04607,084247,0,0,9,26,7,58,0,169,7
21,002,Caseros,04607,084248,0,0,6,25,6,81,0,154,2
21,002,Caseros,04607,084249,0,0,14,31,7,85,0,126,3
21,002,Caseros,04607,084250,0,0,8,29,9,70,0,152,8
21,002,Caseros,04607,084251,0,0,14,39,6,57,0,172,10
21,002,Caseros,04607,084252,0,0,14,41,8,74,0,142,7
21,002,Caseros,04607,084253,0,0,7,23,4,94,0,137,5
21,002,Caseros,04607,084254,0,0,4,33,6,90,0,131,5
21,002,Caseros,04607,084255,0,0,4,24,7,75,0,150,5
21,002,Caseros,04607,084256,0,0,8,31,6,95,0,116,6
21,002,Caseros,04607,084257,0,0,11,26,5,66,0,155,7
21,002,Caseros,04607,084258,0,0,11,39,6,112,0,119,2
21,002,Caseros,04607,084259,0,0,5,19,4,87,0,146,10
21,002,Caseros,04607,084260,0,0,7,32,9,57,0,178,6
21,002,Caseros,04607,084261,0,0,17,24,10,98,0,128,6
21,002,Caseros,04607,084262,0,0,14,28,7,72,0,142,9
21,002,Caseros,04607,084263,0,0,2,29,9,84,0,160,6
21,002,Caseros,04607,084264,0,0,5,36,4,73,0,156,4
21,002,Caseros,04607,084265,0,0,7,35,4,83,0,132,5
21,002,Caseros,04607,084266,0,0,13,32,12,95,0,136,3
21,002,Caseros,04607,084267,0,0,9,20,6,113,0,99,8
21,002,Caseros,04607,084268,0,0,8,34,4,114,0,92,12
21,002,Caseros,04607,084269,0,0,9,43,4,67,0,162,5
21,002,Caseros,04607,084270,0,0,6,27,4,93,0,142,3
21,002,Caseros,04607,084271,0,0,4,27,2,73,0,149,20
21,002,Caseros,04607,084272,0,0,10,40,9,106,0,124,5
21,002,Caseros,04607,084273,0,0,7,34,11,72,0,157,5
21,002,Caseros,04607,084274,0,0,11,29,6,56,0,158,11
21,002,Caseros,04607,084275,0,0,7,33,5,79,0,147,5
21,002,Caseros,04607,084276,0,0,21,27,7,107,0,97,6
21,002,Caseros,04607,084277,0,0,6,27,6,110,0,133,8
21,002,Caseros,04607,084278,0,0,8,28,7,106,0,120,7
21,002,Caseros,04607,084279,0,0,4,28,5,131,0,109,6
21,002,Caseros,04607,084280,0,0,13,25,5,95,0,124,9
21,002,Caseros,04607,084281,0,0,10,35,8,78,0,145,7
21,002,Caseros,04607,084282,0,0,5,36,9,74,0,124,7
21,002,Caseros,04607,084283,0,0,7,29,6,113,0,101,2
21,002,Caseros,04607,084284,0,0,2,24,6,96,0,118,8
21,002,Caseros,04607,084285,0,0,3,21,5,11,0,122,5
21,002,Caseros,04607,084286,0,0,10,32,8,68,0,172,7
21,002,Caseros,04607,084287,0,0,5,26,3,68,0,166,10
21,002,Caseros,04607,084288,0,0,5,22,2,102,0,130,8
21,002,Caseros,04607,084289,0,0,4,40,5,64,0,169,7
21,002,Caseros,04607,084290,0,0,10,24,10,111,0,108,12
21,002,Caseros,04607,084291,0,0,1,35,12,89,0,137,8
21,002,Caseros,04607,084292,0,0,12,33,4,99,0,127,7
21,002,Caseros,04607,084293,0,0,10,28,4,97,0,118,3
