codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00002,00085,00009,00008,00005,00001
15,001,Confluencia,00025,000174,335,22,6,5,51,97,21,53,12
15,001,Confluencia,00025,000175,337,38,6,5,56,104,22,34,13
15,001,Confluencia,00025,000176,333,21,6,4,54,100,19,63,12
15,001,Confluencia,00025,000177,337,23,4,6,40,119,15,52,17
15,001,Confluencia,00025,000178,339,20,8,5,46,92,19,57,12
15,001,Confluencia,00025,000179,343,17,4,3,48,128,16,45,17
15,001,Confluencia,00025,000180,338,16,2,2,40,114,12,70,12
15,001,Confluencia,00025,000181,336,23,3,5,38,116,16,60,17
15,001,Confluencia,00025,000182,335,20,3,2,39,123,16,56,11
15,001,Confluencia,00025,000183,334,15,11,0,43,104,20,58,18
15,001,Confluencia,00025,000184,337,12,7,6,41,110,19,71,6
15,001,Confluencia,00025,000185,336,21,6,5,35,101,18,67,18
15,001,Confluencia,00025,000186,338,26,7,3,43,105,21,47,12
15,001,Confluencia,00025,000187,343,17,5,7,43,116,18,51,18
15,001,Confluencia,00025,000188,337,16,4,5,52,116,22,53,14
15,001,Confluencia,00025,000189,335,27,3,7,52,122,18,35,14
15,001,Confluencia,00025,000190,336,17,8,6,46,109,23,57,10
15,001,Confluencia,00025,000191,336,16,6,3,48,99,24,69,16
15,001,Confluencia,00025,000192,336,19,6,3,33,114,16,57,12
15,001,Confluencia,00025,000193,341,18,6,2,43,100,26,59,13
15,001,Confluencia,00028,000194,333,13,3,4,33,126,16,39,14
15,001,Confluencia,00028,000195,332,22,4,5,33,117,4,47,12
15,001,Confluencia,00028,000196,334,24,1,3,34,135,12,31,11
15,001,Confluencia,00028,000197,331,22,4,2,38,108,10,51,10
15,001,Confluencia,00028,000198,334,10,2,2,35,109,16,57,11
15,001,Confluencia,00028,000199,332,12,3,1,41,127,8,41,13
15,001,Confluencia,00028,000200,337,16,6,2,40,126,9,39,21
15,001,Confluencia,00028,000201,333,13,2,4,45,131,12,59,8
15,001,Confluencia,00028,000202,338,19,1,0,39,112,13,52,9
15,001,Confluencia,00028,000203,341,16,4,5,36,111,16,54,11
15,001,Confluencia,00028,000204,336,14,10,2,39,119,11,46,10
15,001,Confluencia,00028,000205,335,10,2,2,45,119,11,52,10
15,001,Confluencia,00028,000206,331,15,6,1,25,123,10,58,18
15,001,Confluencia,00028,000207,331,11,8,5,34,120,9,51,12
15,001,Confluencia,00028,000208,332,17,6,2,42,109,15,52,8
15,001,Confluencia,00028,000209,334,12,5,2,48,112,15,49,17
15,001,Confluencia,00028,000210,334,15,4,2,36,120,19,45,10
15,001,Confluencia,00028,000211,332,8,6,2,49,123,15,45,7
15,001,Confluencia,00028,000212,333,12,5,4,48,102,10,54,11
15,001,Confluencia,00028,000213,330,14,3,2,32,136,15,49,18
15,001,Confluencia,00028,000214,342,14,6,5,41,139,12,46,7
15,001,Confluencia,00030,000215,344,17,4,3,53,124,14,46,11
15,001,Confluencia,00030,000216,344,20,10,3,48,95,15,62,24
15,001,Confluencia,00030,000217,346,9,4,5,36,138,14,55,13
15,001,Confluencia,00030,000218,345,13,6,6,45,97,14,67,19
15,001,Confluencia,00030,000219,346,13,7,2,48,119,11,70,8
15,001,Confluencia,00030,000220,342,18,5,2,37,112,16,62,13
15,001,Confluencia,00030,000221,346,1,27,2,46,110,17,57,13
15,001,Confluencia,00030,000222,344,22,3,1,43,117,10,61,9
15,001,Confluencia,00030,000223,347,21,8,2,42,105,15,63,14
15,001,Confluencia,00030,000224,344,17,4,4,37,109,16,57,18
15,001,Confluencia,00030,000225,343,22,2,4,41,116,12,63,14
15,001,Confluencia,00030,000226,344,17,9,3,35,110,14,64,12
15,001,Confluencia,00030,000227,342,24,10,6,43,93,16,63,14
15,001,Confluencia,00030,000228,344,32,12,5,43,106,16,47,15
15,001,Confluencia,00030,000229,343,22,10,2,43,89,12,61,11
15,001,Confluencia,00030,000230,342,24,8,1,36,91,10,54,12
15,001,Confluencia,00030,000231,340,13,6,0,41,109,11,62,16
15,001,Confluencia,00030,000232,348,17,5,4,45,113,14,67,9
15,001,Confluencia,00032,000233,343,21,22,5,63,51,19,77,9
15,001,Confluencia,00032,000234,350,35,4,6,54,81,15,72,9
15,001,Confluencia,00032,000235,348,13,13,13,69,59,9,74,15
15,001,Confluencia,00032,000236,346,21,12,2,45,78,15,81,21
15,001,Confluencia,00032,000237,344,30,11,6,37,86,17,69,9
15,001,Confluencia,00032,000238,358,19,10,5,53,81,23,79,11
15,001,Confluencia,00032,000239,348,28,17,3,70,81,8,63,8
15,001,Confluencia,00032,000240,350,21,10,4,73,64,8,78,7
15,001,Confluencia,00032,000241,345,19,17,2,60,76,10,81,13
15,001,Confluencia,00032,000242,344,28,10,6,59,63,14,74,7
15,001,Confluencia,00032,000243,346,29,10,2,64,68,15,82,9
15,001,Confluencia,00032,000244,354,13,13,3,59,55,20,86,12
15,001,Confluencia,00034,000245,342,27,9,2,53,72,25,71,10
15,001,Confluencia,00034,000246,344,12,14,1,54,91,12,86,8
15,001,Confluencia,00034,000247,341,26,11,4,45,74,17,83,16
15,001,Confluencia,00034,000248,343,22,18,6,53,66,22,81,12
15,001,Confluencia,00034,000249,345,24,12,6,66,69,18,68,15
15,001,Confluencia,00034,000250,343,25,16,1,50,77,19,80,14
15,001,Confluencia,00034,000251,343,25,10,8,60,70,21,64,18
15,001,Confluencia,00034,000252,352,29,10,6,48,76,22,86,10
15,001,Confluencia,00034,000253,344,20,12,9,68,82,14,70,9
15,001,Confluencia,00034,000254,345,24,6,2,55,85,14,85,8
15,001,Confluencia,00034,000255,341,13,14,6,59,86,11,75,15
15,001,Confluencia,00034,000256,344,18,17,4,57,79,13,75,9
15,001,Confluencia,00034,000257,346,28,12,4,51,66,14,88,18
15,001,Confluencia,00034,000258,342,14,12,5,55,92,18,76,9
15,001,Confluencia,00034,000259,345,17,8,3,54,77,24,77,11
15,001,Confluencia,00034,000260,347,31,9,5,59,68,16,78,15
15,001,Confluencia,00034,000261,345,34,2,7,48,94,15,65,15
15,001,Confluencia,00034,000262,340,34,5,1,52,69,24,88,14
15,001,Confluencia,00034,000263,344,33,6,5,58,75,14,73,13
15,001,Confluencia,00034,000264,341,17,16,6,47,75,12,88,15
15,001,Confluencia,00034,000265,343,32,0,2,52,66,14,84,15
15,001,Confluencia,00034,000266,344,25,2,4,53,81,14,79,8
15,001,Confluencia,00034,000267,348,35,0,4,43,71,19,92,17
15,001,Confluencia,00034,000268,345,23,11,6,65,76,23,69,14
15,001,Confluencia,00034,000269,344,19,7,4,49,79,20,94,16
15,001,Confluencia,00034,000270,345,18,12,5,69,59,19,84,20
15,001,Confluencia,00034,000271,346,23,21,3,46,88,25,70,11
15,001,Confluencia,00034,000272,345,24,9,5,59,80,21,81,12
15,001,Confluencia,00034,000273,343,23,8,8,54,74,18,77,9
15,001,Confluencia,00034,000274,345,27,9,4,69,68,20,87,9
15,001,Confluencia,00034,000275,351,29,10,3,55,68,14,86,10
15,001,Confluencia,00034,000276,342,21,15,2,48,62,16,95,11
15,001,Confluencia,00034,000277,341,23,14,3,65,56,13,85,12
15,001,Confluencia,00034,000278,342,21,11,3,66,69,27,73,16
15,001,Confluencia,00034,000279,345,17,9,7,70,75,13,74,15
15,001,Confluencia,00034,000280,342,30,24,0,55,67,20,73,12
15,001,Confluencia,00034,000281,347,18,17,6,53,72,24,84,13
15,001,Confluencia,00034,000282,343,26,10,1,53,68,22,90,10
15,001,Confluencia,00034,000283,339,31,18,3,39,78,22,90,8
15,001,Confluencia,00034,000284,344,21,14,5,51,74,18,86,10
15,001,Confluencia,00034,000285,340,30,17,9,57,59,19,85,11
15,001,Confluencia,00034,000286,341,18,7,4,59,76,19,80,22
15,001,Confluencia,00034,000287,340,15,15,2,54,59,23,84,16
15,001,Confluencia,00034,000288,341,31,12,1,61,64,17,76,12
15,001,Confluencia,00034,000289,346,34,15,8,69,60,13,58,10
15,001,Confluencia,00034,000290,341,26,16,5,60,61,22,84,6
15,001,Confluencia,00034,000291,345,29,10,4,63,72,14,69,14
15,001,Confluencia,00034,000292,341,20,6,5,52,81,17,66,12
15,001,Confluencia,00034,000293,343,31,12,6,37,79,21,81,21
15,001,Confluencia,00034,000294,342,19,14,1,36,65,14,97,19
15,001,Confluencia,00034,000295,343,18,12,6,68,69,14,83,11
15,001,Confluencia,00034,000296,344,27,10,8,57,84,16,68,5
15,001,Confluencia,00034,000297,347,23,7,5,71,72,9,64,14
15,001,Confluencia,00040,000298,328,24,6,3,41,109,17,43,16
15,001,Confluencia,00040,000299,328,26,4,3,33,107,16,46,24
15,001,Confluencia,00040,000300,327,23,8,4,35,121,12,43,12
15,001,Confluencia,00040,000301,334,25,6,2,33,121,9,52,17
15,001,Confluencia,00040,000302,328,18,4,5,53,94,14,65,16
15,001,Confluencia,00040,000303,322,24,6,2,46,92,17,55,24
15,001,Confluencia,00040,000304,360,29,0,1,34,112,14,58,18
15,001,Confluencia,00046,000305,352,26,13,3,51,58,16,108,13
15,001,Confluencia,00046,000306,350,33,11,4,66,62,25,77,13
15,001,Confluencia,00046,000307,349,16,6,4,52,75,25,105,12
15,001,Confluencia,00046,000308,351,29,18,3,49,56,18,106,13
15,001,Confluencia,00046,000309,351,26,13,5,68,68,15,78,12
15,001,Confluencia,00046,000310,352,41,8,6,64,34,12,104,15
15,001,Confluencia,00046,000311,351,39,13,2,69,51,21,91,15
