codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00036,00037,00050,00024,00108
01,001,Comuna 1,00007,000151,336,6,1,9,38,189,8,5
01,001,Comuna 1,00007,000152,333,5,2,8,38,179,11,8
01,001,Comuna 1,00007,000153,335,1,0,5,43,189,6,7
01,001,Comuna 1,00007,000154,335,7,2,3,42,180,6,7
01,001,Comuna 1,00007,000155,337,7,1,4,48,165,9,7
01,001,Comuna 1,00007,000156,332,10,1,6,33,204,8,8
01,001,Comuna 1,00007,000157,337,11,1,3,40,189,8,2
01,001,Comuna 1,00007,000158,336,12,1,7,42,189,15,9
01,001,Comuna 1,00007,000159,334,1,2,3,44,193,8,6
01,001,Comuna 1,00007,000160,338,8,0,9,38,196,7,0
01,001,Comuna 1,00007,000161,337,5,1,3,38,194,8,4
01,001,Comuna 1,00007,000162,355,6,2,5,43,174,10,8
01,001,Comuna 1,00007,000163,335,9,1,5,51,173,11,6
01,001,Comuna 1,00007,000164,337,5,1,7,38,185,9,11
01,001,Comuna 1,00007,000165,337,3,1,2,39,183,12,8
01,001,Comuna 1,00007,000166,335,8,1,5,44,173,16,3
01,001,Comuna 1,00007,000167,347,13,1,6,42,172,10,8
01,001,Comuna 1,00008,000168,347,7,3,4,68,150,7,5
01,001,Comuna 1,00008,000169,350,16,0,9,58,140,12,6
01,001,Comuna 1,00008,000170,350,5,0,6,47,155,15,5
01,001,Comuna 1,00008,000171,348,6,1,5,60,165,8,4
01,001,Comuna 1,00008,000172,347,9,3,8,61,137,7,9
01,001,Comuna 1,00008,000173,347,7,0,9,60,161,7,4
01,001,Comuna 1,00008,000174,349,5,1,9,48,162,5,8
01,001,Comuna 1,00008,000175,349,8,3,5,41,163,14,3
01,001,Comuna 1,00008,000176,349,8,1,9,45,148,12,5
01,001,Comuna 1,00008,000177,350,10,0,6,48,161,5,6
01,001,Comuna 1,00008,000178,349,7,0,8,45,159,4,7
01,001,Comuna 1,00008,000179,347,7,0,7,50,158,13,8
01,001,Comuna 1,00008,000180,348,2,0,4,49,171,8,6
01,001,Comuna 1,00008,000181,349,13,1,9,47,162,11,10
01,001,Comuna 1,00008,000182,345,7,3,9,75,155,6,4
01,001,Comuna 1,00008,000183,362,11,1,6,45,160,7,11
01,001,Comuna 1,00008,000184,348,6,3,6,54,164,6,6
01,001,Comuna 1,00008,000185,348,5,0,9,45,167,7,7
01,001,Comuna 1,00008,000186,350,10,1,2,50,161,12,7
01,001,Comuna 1,00008,000187,348,6,5,10,48,167,7,5
01,001,Comuna 1,00008,000188,349,14,0,9,63,132,9,9
01,001,Comuna 1,00008,000189,348,6,4,7,50,154,5,7
01,001,Comuna 1,00008,000190,347,2,4,5,70,160,12,5
01,001,Comuna 1,00008,000191,348,7,2,8,63,140,8,8
01,001,Comuna 1,00008,000192,372,6,0,8,61,148,13,4
01,001,Comuna 1,00009,000193,347,6,2,7,69,137,14,6
01,001,Comuna 1,00009,000194,348,7,3,10,74,140,11,5
01,001,Comuna 1,00009,000195,346,9,1,11,63,136,13,3
01,001,Comuna 1,00009,000196,345,12,1,5,68,147,7,6
01,001,Comuna 1,00009,000197,343,8,7,2,48,144,9,5
01,001,Comuna 1,00009,000198,345,6,1,6,76,143,12,7
01,001,Comuna 1,00009,000199,346,4,0,4,63,153,10,4
01,001,Comuna 1,00009,000200,347,6,0,8,65,141,8,4
01,001,Comuna 1,00009,000201,348,13,0,4,58,146,6,6
01,001,Comuna 1,00009,000202,347,7,1,10,70,136,7,3
01,001,Comuna 1,00009,000203,346,4,0,5,64,126,14,9
01,001,Comuna 1,00009,000204,347,6,1,10,70,146,13,5
01,001,Comuna 1,00009,000205,348,8,5,2,58,138,7,8
01,001,Comuna 1,00009,000206,347,12,2,4,71,126,12,5
01,001,Comuna 1,00009,000207,344,8,4,7,60,136,10,4
01,001,Comuna 1,00009,000208,344,6,2,9,56,140,16,5
01,001,Comuna 1,00009,000209,344,3,1,1,61,162,7,2
01,001,Comuna 1,00009,000210,345,4,4,4,57,148,3,5
01,001,Comuna 1,00009,000211,346,7,2,10,70,131,11,5
01,001,Comuna 1,00009,000212,343,6,3,12,66,136,9,7
01,001,Comuna 1,00009,000213,343,9,1,4,62,132,10,6
01,001,Comuna 1,00009,000214,344,10,3,6,63,149,16,5
01,001,Comuna 1,00009,000215,345,12,1,6,54,144,10,3
01,001,Comuna 1,00009,000216,347,6,3,9,74,141,16,3
01,001,Comuna 1,00009,000217,345,3,1,6,53,146,12,3
01,001,Comuna 1,00009,000218,346,3,0,5,59,164,15,5
01,001,Comuna 1,00009,000219,345,7,6,7,64,129,9,5
01,001,Comuna 1,00009,000220,347,14,0,2,76,126,7,9
01,001,Comuna 1,00009,000221,342,1,1,9,50,142,10,7
01,001,Comuna 1,00009,000222,345,7,2,9,68,132,13,7
01,001,Comuna 1,00009,000223,345,10,2,6,62,138,13,8
01,001,Comuna 1,00009,000224,345,8,0,6,69,134,11,8
01,001,Comuna 1,00009,000225,359,6,1,7,53,151,11,3
01,001,Comuna 1,00010,000226,344,7,0,9,85,142,13,1
01,001,Comuna 1,00010,000227,343,7,1,7,70,157,11,7
01,001,Comuna 1,00010,000228,339,10,1,4,64,148,6,6
01,001,Comuna 1,00010,000229,342,7,1,10,64,139,11,5
01,001,Comuna 1,00010,000230,341,10,2,7,65,146,15,4
01,001,Comuna 1,00010,000231,346,12,1,11,72,148,13,6
01,001,Comuna 1,00010,000232,336,14,5,10,67,144,6,4
01,001,Comuna 1,00010,000233,347,10,2,7,79,149,12,4
01,001,Comuna 1,00010,000234,342,13,3,7,68,144,6,6
01,001,Comuna 1,00010,000235,342,10,2,11,76,142,14,4
01,001,Comuna 1,00010,000236,342,4,0,8,69,158,12,9
01,001,Comuna 1,00010,000237,342,7,1,11,50,174,14,6
01,001,Comuna 1,00010,000238,343,7,0,6,72,138,21,10
01,001,Comuna 1,00010,000239,343,10,1,12,71,144,13,4
01,001,Comuna 1,00010,000240,343,6,0,9,76,149,15,3
01,001,Comuna 1,00010,000241,343,9,0,10,75,134,9,8
01,001,Comuna 1,00010,000242,340,11,2,11,71,125,14,8
01,001,Comuna 1,00010,000243,343,5,0,4,74,159,10,7
01,001,Comuna 1,00010,000244,343,3,0,20,61,130,13,9
01,001,Comuna 1,00010,000245,344,11,2,11,66,147,12,5
01,001,Comuna 1,00010,000246,341,8,1,4,70,146,17,11
01,001,Comuna 1,00010,000247,340,9,3,12,67,140,10,6
01,001,Comuna 1,00010,000248,340,4,3,10,76,137,15,9
01,001,Comuna 1,00010,000249,342,11,0,5,61,154,9,7
01,001,Comuna 1,00010,000250,342,10,1,9,66,153,17,10
01,001,Comuna 1,00010,000251,342,5,2,7,71,138,13,4
01,001,Comuna 1,00010,000252,343,9,2,11,72,136,14,5
01,001,Comuna 1,00010,000253,342,5,3,9,68,156,8,7
01,001,Comuna 1,00010,000254,341,8,2,8,73,140,10,4
01,001,Comuna 1,00010,000255,341,8,0,6,62,165,12,1
01,001,Comuna 1,00010,000256,342,7,1,10,74,136,11,7
01,001,Comuna 1,00010,000257,344,10,4,9,63,153,9,7
01,001,Comuna 1,00010,000258,344,5,1,16,71,153,13,4
01,001,Comuna 1,00010,000259,342,8,5,11,65,146,9,9
01,001,Comuna 1,00011,000260,340,6,1,13,86,123,12,2
01,001,Comuna 1,00011,000261,341,11,1,12,99,122,18,9
01,001,Comuna 1,00011,000262,340,9,3,10,84,123,16,4
01,001,Comuna 1,00011,000263,337,10,1,12,87,118,15,2
01,001,Comuna 1,00011,000264,341,2,3,9,87,118,14,1
01,001,Comuna 1,00011,000265,344,8,2,13,98,117,11,5
01,001,Comuna 1,00011,000266,342,4,2,5,111,134,14,7
01,001,Comuna 1,00011,000267,340,8,1,10,95,123,9,7
01,001,Comuna 1,00011,000268,341,6,2,11,102,99,12,5
01,001,Comuna 1,00011,000269,341,8,1,10,86,130,11,4
01,001,Comuna 1,00011,000270,345,10,2,11,80,129,10,6
01,001,Comuna 1,00011,000271,342,5,2,11,94,116,16,4
01,001,Comuna 1,00011,000272,342,3,0,12,94,124,10,5
01,001,Comuna 1,00011,000273,342,15,4,15,74,115,18,5
01,001,Comuna 1,00011,000274,342,9,2,4,93,110,10,8
01,001,Comuna 1,00011,000275,342,7,4,7,85,122,15,8
01,001,Comuna 1,00011,000276,342,4,1,19,75,110,20,6
01,001,Comuna 1,00011,000277,341,4,2,20,85,111,13,3
01,001,Comuna 1,00011,000278,342,18,1,13,87,101,11,4
01,001,Comuna 1,00011,000279,341,11,0,11,97,104,15,9
01,001,Comuna 1,00011,000280,342,10,2,5,95,106,12,4
01,001,Comuna 1,00011,000281,339,10,0,12,77,111,20,10
01,001,Comuna 1,00011,000282,343,8,0,10,91,120,9,4
01,001,Comuna 1,00011,000283,341,10,2,6,83,138,9,4
01,001,Comuna 1,00011,000284,345,9,2,9,82,110,9,5
01,001,Comuna 1,00011,000285,343,8,3,13,81,130,12,2
01,001,Comuna 1,00011,000286,342,10,3,10,96,115,13,3
01,001,Comuna 1,00011,000287,342,6,0,12,93,115,12,7
01,001,Comuna 1,00011,000288,338,7,5,8,93,106,18,10
01,001,Comuna 1,00011,000289,342,5,0,6,97,129,16,6
01,001,Comuna 1,00011,000290,341,7,3,9,88,118,10,7
