X1,X2,X3,X4,X5
127,"OVIEDO, Mercedes Margarita",Misiones,#FFCCCC,NA
128,"PAMPURO, José Juan Bautista",Buenos Aires,#CCFFFF,NA
129,"PARRILLI, Nanci María Agustina",Neuquén,#FFCCCC,NA
130,"PAZ, Elva Azucena",Formosa,#FFCCCC,NA
131,"PERCEVAL, María Cristina",Mendoza,#FFCCCC,NA
132,"PEREYRA, Guillermo Juan",Neuquén,#CCFFFF,NA
133,"PEREZ ALSINA, Juan Agustín",Salta,#CCFFFF,NA
134,"PERSICO, Daniel Raúl",San Luis,#CCFFFF,NA
135,"PETCOFF NAIDENOFF, Luis Carlos",Formosa,#CCFFFF,355.gif
136,"PICHETTO, Miguel Ángel",Río Negro,#CCFFFF,NA
137,"PILATTI VERGARA, Maria Ines Patricia",Chaco,#FFCCCC,435.gif
138,"PINCHETTI de SIERRA MORALES, Delia Norma",Tucumán,#FFCCCC,NA
139,"PRADES, Carlos Alfonso",Santa Cruz,#CCFFFF,NA
140,"PUERTA, Federico Ramón",Misiones,#CCFFFF,NA
141,"QUINTELA, Teresita Nicolasa",La Rioja,#FFCCCC,NA
142,"RACHED, Emilio Alberto",Santiago del Estero,#CCFFFF,NA
143,"REUTEMANN, Carlos Alberto",Santa Fe,#CCFFFF,232.gif
144,"RIOFRIO, Marina Raquel",San Juan,#FFCCCC,NA
145,"RÍOS, Roberto Fabián",Corrientes,#CCFFFF,NA
146,"RODRIGUEZ SAA, Adolfo",San Luis,#CCFFFF,365.gif
147,"ROJKES de ALPEROVICH, Beatriz L .",Tucumán,#FFCCCC,NA
148,"ROLDAN, José María",Corrientes,#CCFFFF,NA
149,"ROMERO, Juan Carlos",Salta,#CCFFFF,35.gif
150,"ROSSI, Carlos Alberto",Córdoba,#CCFFFF,NA
151,"ROZAS, Angel",Chaco,#CCFFFF,NA
152,"RUIZ DIAZ, Elsa Beatriz",Entre Ríos,#FFCCCC,NA
153,"SAADI, Ramón Eduardo",Catamarca,#CCFFFF,NA
154,"SALAZAR, Carlos Eduardo",Tucumán,#CCFFFF,NA
155,"SALVATORI, Pedro",Neuquén,#CCFFFF,NA
156,"SANCHEZ, María Dora",Corrientes,#FFCCCC,NA
157,"SANTILLI, Diego César",Ciudad Autónoma de Buenos Aires,#CCFFFF,NA
158,"SANZ, Ernesto Ricardo",Mendoza,#CCFFFF,NA
159,"SAPAG, Luz María",Neuquén,#FFCCCC,NA
160,"SOLANAS, Fernando Ezequiel",Ciudad Autónoma de Buenos Aires,#CCFFFF,NA
161,"SOSA, Maria Noemi",Río Negro,#FFCCCC,NA
162,"TAFFAREL, Ricardo Cesar",Entre Ríos,#CCFFFF,NA
163,"TERRAGNO, Rodolfo",Ciudad Autónoma de Buenos Aires,#CCFFFF,NA
164,"TORRES, Eduardo Enrique",Misiones,#CCFFFF,NA
165,"TROADELLO, Mónica",Mendoza,#FFCCCC,NA
166,"URQUIA, Roberto Daniel",Córdoba,#CCFFFF,NA
167,"URTUBEY, Rodolfo Julio",Salta,#CCFFFF,NA
168,"VERA, Arturo",Entre Ríos,#CCFFFF,NA
169,"VERANI, Pablo",Río Negro,#CCFFFF,NA
170,"VERNA, Carlos Alberto",La Pampa,#CCFFFF,NA
171,"VIANA, Luis Alberto",Misiones,#CCFFFF,NA
172,"VIGO, Elida María",Misiones,#FFCCCC,NA
173,"VIUDES, Isabel Josefa",Corrientes,#FFCCCC,NA
174,"YOMA, Jorge Raúl",La Rioja,#CCFFFF,NA
175,"ZAMORA, Gerardo",Santiago del Estero,#CCFFFF,NA
176,"ZAVALIA, José Luis",Santiago del Estero,#CCFFFF,NA
177,"ABAL MEDINA, Juan Manuel",Buenos Aires,#CCFFFF,NA
178,"BOYADJIAN, Miriam Ruth",Tierra del Fuego,#FFCCCC,NA
179,"BRAILLARD POCCARD, Néstor",Corrientes,#CCFFFF,463.gif
180,"MARTÍNEZ, Ernesto Félix",Córdoba,#CCFFFF,459.gif
181,"PINEDO, Federico",Ciudad Autónoma de Buenos Aires,#CCFFFF,NA
182,"RODRÍGUEZ MACHADO, Laura Elena",Córdoba,#FFCCCC,458.gif
183,"VARELA, Marta",Ciudad Autónoma de Buenos Aires,#FFCCCC,NA
184,"COBOS, Julio César Cleto",Mendoza,#CCFFFF,466.gif
185,"GIACOPPO, Silvia del Rosario",Jujuy,#FFCCCC,473.gif
186,"VERASAY, Pamela Fernanda",Mendoza,#FFCCCC,467.gif
187,"ALPEROVICH, José",Tucumán,#CCFFFF,327.gif
188,"ESPINOLA, Carlos Mauricio",Corrientes,#CCFFFF,461.gif
189,"MIRKIN, Beatriz Graciela",Tucumán,#FFCCCC,471.gif
190,"OJEDA, José Anatolio",Tierra del Fuego,#CCFFFF,NA
191,"PEROTTI, Omar Ángel",Santa Fe,#CCFFFF,NA
192,"DURANGO, Norma Haydée",La Pampa,#FFCCCC,465.gif
193,"LOVERA, Daniel Aníbal",La Pampa,#CCFFFF,464.gif
194,"CASERIO, Carlos Alberto",Córdoba,#CCFFFF,460.gif
195,"ALMIRON, Ana Claudia",Corrientes,#FFCCCC,462.gif
196,"FERNÁNDEZ SAGASTI, Anabel",Mendoza,#FFCCCC,468.gif
197,"GARCÍA, Virginia María",Santa Cruz,#FFCCCC,NA
198,"GONZÁLEZ, Nancy Susana",Chubut,#FFCCCC,456.gif
199,"SACNUN, María de los Ángeles",Santa Fe,#FFCCCC,470.gif
200,"LUENZO, Alfredo Héctor",Chubut,#CCFFFF,457.gif
201,"PAIS, Juan Mario",Chubut,#CCFFFF,455.gif
202,"MERA, Dalmacio Enrique",Catamarca,#CCFFFF,454.gif
204,"GONZÁLEZ, María Teresa Margarita",Formosa,#FFCCCC,477.gif
205,"BRIZUELA Y DORIA, Inés",La Rioja,#FFCCCC,NA
206,"BULLRICH, Esteban",Buenos Aires,#CCFFFF,478.gif
207,"CATALFAMO, Eugenia",San Luis,#FFCCCC,488.gif
208,"COSTA, Eduardo",Santa Cruz,#CCFFFF,490.gif
209,"FIAD, Mario",Jujuy,#CCFFFF,480.gif
210,"GONZALEZ, Gladys",Buenos Aires,#FFCCCC,494.gif
211,"IANNI, Ana María",Santa Cruz,#FFCCCC,492.gif
212,"LOPEZ VALVERDE, Cristina",San Juan,#FFCCCC,487.gif
213,"MARTINEZ, Julio",La Rioja,#CCFFFF,482.gif
214,"POGGI, Claudio",San Luis,#CCFFFF,489.gif
215,"PORCEL DE RICCOBELLI, Blanca",Santiago del Estero,#FFCCCC,NA
216,"SCHIAVONI, Humberto",Misiones,#CCFFFF,485.gif
217,"SNOPEK, Guillermo",Jujuy,#CCFFFF,481.gif
218,"SOLARI QUINTANA, Magdalena",Misiones,#FFCCCC,484.gif
219,"TAPIA, María Belén",Santa Cruz,#FFCCCC,491.gif
220,"UÑAC, José Rubén",San Juan,#CCFFFF,486.gif
221,"BLANCO, Pablo Daniel",Tierra del Fuego,#CCFFFF,511.gif
222,"DOÑATE, Claudio Martín",Río Negro,#CCFFFF,505.gif
223,"DURE, María Eugenia",Tierra del Fuego,#FFCCCC,512.gif
224,"GIMENEZ, Nora Del Valle",Salta,#FFCCCC,507.gif
225,"KUEIDER, Edgardo Darío",Entre Ríos,#CCFFFF,502.gif
226,"LEAVY, Sergio Napoleón",Salta,#CCFFFF,508.gif
227,"LEDESMA ABDALA DE ZAMORA, Claudia",Santiago del Estero,#FFCCCC,509.gif
228,"LOUSTEAU, Martín",Ciudad Autónoma de Buenos Aires,#CCFFFF,497.gif
229,"MIRABELLA, Roberto Mario",Santa Fe,#CCFFFF,496.gif
230,"NEDER, José Emilio",Santiago del Estero,#CCFFFF,510.gif
231,"OLALLA, Stella Maris",Entre Ríos,#FFCCCC,503.gif
232,"PARRILLI, Oscar Isidro",Neuquén,#CCFFFF,504.gif
233,"RECALDE, Mariano",Ciudad Autónoma de Buenos Aires,#CCFFFF,498.gif
234,"RODAS, Antonio Jose",Chaco,#CCFFFF,500.gif
235,"RODRIGUEZ, Matías David",Tierra del Fuego,#CCFFFF,513.gif
236,"SAPAG, Silvia",Neuquén,#FFCCCC,251.gif
237,"TAGLIAFERRI, Guadalupe",Ciudad Autónoma de Buenos Aires,#FFCCCC,499.gif
238,"TAIANA, Jorge Enrique",Buenos Aires,#CCFFFF,495.gif
239,"VEGA, María Clara Del Valle",La Rioja,#FFCCCC,514.gif
240,"WERETILNECK, Alberto Edgardo",Río Negro,#CCFFFF,506.gif
241,"ZIMMERMANN, Víctor",Chaco,#CCFFFF,501.gif
242,"GUERRA, Ricardo Antonio",La Rioja,#CCFFFF,515.gif
